Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Stadio Olimpico - Rome,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Roma,,,,,,,,,0 - 2,,,,,,,Manchester City FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,2,4,8,10,13,15,20,25,27,44,7,22,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Morgan De Sanctis,26,92'11,,6,-,-,-,1,1,-,1,-,10,-,-,-,2,3,16,16,1,1,19,20,0.95
Mapou Yanga-Mbiwa,2,92'11,4,,11,4,5,1,2,10,10,2,11,1,1,-,10,12,43,45,9,9,62,66,0.94
Radja Nainggolan,4,92'11,-,11,,7,3,6,6,5,11,6,6,2,-,3,13,16,42,45,11,15,66,76,0.87
Adem Ljajić,8,66'41,-,4,7,,8,4,3,4,4,-,2,-,-,-,1,2,24,26,11,13,36,41,0.88
Francesco Totti,10,70'06,-,2,6,5,,2,4,2,3,2,2,-,-,-,3,3,16,21,9,11,28,35,0.8
Maicon,13,78'08,-,-,4,6,1,,9,5,-,6,6,1,-,-,1,1,20,22,17,18,38,41,0.93
Miralem Pjanić,15,92'11,-,5,14,1,7,5,,11,2,6,8,-,-,1,4,5,37,38,19,21,60,64,0.94
Seydou Keita,20,92'11,3,10,13,6,4,9,9,,3,2,4,-,-,-,5,5,43,46,15,16,63,67,0.94
José Holebas,25,92'11,1,10,9,5,4,-,1,3,,5,-,-,-,-,1,1,27,28,10,12,38,41,0.93
Gervinho,27,92'11,-,-,4,-,3,4,6,1,-,,1,1,-,1,0,1,12,15,9,10,21,26,0.81
Kostas Manolas,44,92'11,7,8,5,2,3,7,11,10,1,1,,1,1,2,5,9,47,48,7,7,59,64,0.92
Juan Manuel Iturbe,7,25'30,-,1,1,-,-,-,-,2,1,-,-,,-,-,0,1,3,5,2,2,5,8,0.62
Mattia Destro 22,,22'04,-,-,2,-,-,1,-,-,-,-,-,-,,-,0,0,1,1,2,2,3,3,1
Alessandro Florenzi 24,,14'03,1,-,-,-,-,-,-,1,1,-,2,1,-,,2,3,4,5,0,0,6,8,0.75
Total passes received:,,,16,57,76,36,38,40,52,54,37,30,52,7,2,7,47,62,335 361 122 137,,,,504,560,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,6,7,8,10,15,20,22,25,26,11,21,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,92'11,,2,1,1,-,4,-,-,1,-,2,-,-,1,9,11,2,2,1,1,12,14,0.86
Pablo Zabaleta,5,92'11,1,,1,1,5,2,7,1,-,1,2,-,-,1,3,5,13,13,6,8,22,26,0.85
Fernando,6,92'11,-,-,,4,7,1,2,6,7,5,7,-,1,1,4,5,26,29,11,12,41,46,0.89
James Milner,7,92'11,-,1,2,,1,3,-,1,6,1,1,1,5,1,0,1,10,12,13,15,23,28,0.82
Samir Nasri,8,88'35,-,2,4,2,,6,9,1,5,5,-,-,3,-,2,2,20,21,15,18,37,41,0.9
Edin Džeko,10,78'05,-,3,2,3,2,,2,1,4,2,-,-,4,-,0,0,15,18,8,12,23,30,0.77
Jesús Navas,15,67'03,-,6,7,2,6,3,,1,-,1,-,-,-,-,1,2,16,20,9,12,26,34,0.76
Eliaquim Mangala,20,92'11,2,-,4,4,2,2,-,,11,5,4,-,-,-,4,5,25,27,5,7,34,39,0.87
Gaël Clichy,22,92'11,1,-,5,6,5,4,1,8,,5,1,-,4,-,0,3,35,38,5,5,40,46,0.87
Fernandinho,25,92'11,1,4,5,-,7,2,-,6,3,,4,-,2,-,1,2,22,24,11,13,34,39,0.87
Martín Demichelis,26,92'11,-,4,3,1,4,2,7,6,-,3,,-,-,-,3,3,23,24,4,4,30,31,0.97
Aleksandar Kolarov 11,,3'36,-,-,-,-,-,-,-,-,-,-,-,,-,1,0,0,1,1,0,0,1,1,1
David Silva 21,,25'08,-,1,1,8,1,-,-,1,1,1,1,-,,1,0,1,7,9,9,12,16,22,0.73
Stevan Jovetić 35,,14'06,-,-,2,2,1,-,-,-,-,-,-,-,1,,0,0,4,5,2,2,6,7,0.86
Total passes received:,,,5,23,37,34,41,29,28,32,38,29,22,1,20,6,27,40,219 243,,99,121,345,404,0.85
,,,,,,,,,,,,,,,,,,,,,,,,05:48:19CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
