Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,3 - 1,,,,,,Paris Saint-Germain,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,7,8,9,10,11,14,15,24,4,6,21,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,93'37,,6,1,-,1,-,-,-,5,6,2,-,1,-,5,6,14,14,3,3,22,23,0.96
Gerard Piqué,3,93'37,4,,5,2,4,-,3,1,19,20,18,1,-,-,8,9,62,63,7,7,77,79,0.97
Sergio Busquets,5,93'37,1,6,,5,5,5,14,2,12,5,2,5,5,-,4,4,49,50,14,16,67,70,0.96
Pedro Rodríguez,7,68'05,-,4,6,,1,3,3,1,1,8,1,-,-,-,2,2,18,21,8,8,28,31,0.9
Andrés Iniesta,8,73'59,1,2,3,4,,6,8,10,6,2,4,1,-,-,4,4,28,30,15,19,47,53,0.89
Luis Suárez,9,93'37,-,-,1,5,3,,8,7,-,1,6,2,3,-,0,0,20,21,16,19,36,40,0.9
Lionel Messi,10,93'37,-,-,6,3,9,8,,7,6,3,7,3,2,-,2,2,31,33,21,22,54,57,0.95
Neymar,11,93'37,-,6,2,2,9,8,8,,2,-,8,-,-,-,4,4,25,30,16,20,45,54,0.83
Javier Mascherano,14,93'37,5,8,11,1,8,2,3,4,,14,12,1,1,-,14,15,48,48,8,11,70,74,0.95
Marc Bartra,15,92'30,2,22,13,7,1,5,6,-,3,,2,5,-,-,5,5,51,55,10,10,66,70,0.94
Jérémy Mathieu,24,93'37,-,17,4,1,4,3,2,23,11,1,,-,2,-,2,3,53,58,13,14,68,75,0.91
Ivan Rakitić,4,25'33,2,-,4,-,-,1,5,-,1,1,-,,2,-,2,2,8,8,6,6,16,16,1
Xavi Hernández,6,19'38,-,-,4,-,-,2,3,3,2,1,1,1,,-,1,2,11,11,5,5,17,18,0.94
Adriano 21,,1'07,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,15,71,60,30,45,43,63,58,68,62,63,19,16,0,53,58,418 442 142 160,,,,613,660,0.93
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,30,2,7,8,9,10,14,17,23,24,32,22,27,PC,PA,PC,PA,PC,PA,PC,PA,%,
Salvatore Sirigu,30,93'37,,-,-,-,-,2,-,-,-,1,4,1,-,3,3,3,4,2,2,8,9,0.89,
Thiago Silva,2,93'37,1,,6,5,1,2,1,2,5,7,9,-,2,4,6,23,25,14,14,41,45,0.91,
Lucas,7,93'37,-,1,,2,3,5,3,-,4,3,1,-,3,2,2,16,16,7,8,25,26,0.96,
Thiago Motta,8,93'37,-,9,2,,1,7,7,9,3,15,7,1,2,4,4,42,43,17,18,63,65,0.97,
Edinson Cavani,9,93'37,-,-,1,6,,1,1,4,-,5,-,-,2,2,2,11,12,7,11,20,25,0.8,
Zlatan Ibrahimović,10,93'37,-,-,8,4,5,,2,4,4,3,-,-,4,1,1,22,24,11,14,34,39,0.87,
Blaise Matuidi,14,75'22,-,-,3,1,2,4,,6,1,4,-,-,1,0,0,11,14,11,12,22,26,0.85,
Maxwell,17,93'37,-,3,2,12,5,5,9,,-,2,5,-,2,1,1,31,34,13,15,45,50,0.9,
Gregory van der Wiel,23,93'37,2,5,4,3,-,4,-,1,,4,1,-,1,0,0,12,14,13,13,25,27,0.93,
Marco Verratti,24,62'58,1,6,3,20,1,2,6,1,5,,4,-,-,2,5,31,33,16,18,49,56,0.88,
David Luiz,32,93'37,3,6,1,4,2,2,1,6,1,4,,-,2,6,8,23,23,3,4,32,35,0.91,
Ezequiel Lavezzi 22,,18'15,-,-,-,-,-,-,-,1,-,-,-,,1,0,0,0,0,2,3,2,3,0.67,
Javier Pastore 27,,30'40,-,1,4,4,2,2,-,3,1,-,2,2,,1,1,14,15,6,8,21,24,0.88,
Total passes received:,,,7,31,34,61,22,36,30,37,24,48,33,4,20,26,33,239 257 122 140,,,,387,430,0.9,
,,,,,,,,,,,,,,,,,,,,,,,,05:50:42CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
