Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Amsterdam ArenA - Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,
,AFC Ajax,,,,,,,,,4 - 0,,,,,,,,APOEL FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,2,3,4,10,11,16,19,20,25,26,12,21,30,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasper Cillessen,22,93'22,,2,4,13,1,-,-,1,-,3,-,-,-,-,7,7,15,15,2,2,24,24,1
Ricardo van Rhijn,2,93'22,5,,31,12,11,5,2,2,15,6,1,3,2,-,19,20,62,66,14,15,95,101,0.94
Joël Veltman,3,93'22,5,33,,38,6,5,1,4,4,7,11,7,2,1,26,26,86,88,12,13,124,127,0.98
Niklas Moisander,4,93'22,5,9,43,,4,12,2,-,-,8,30,4,-,-,11,11,99,105,7,7,117,123,0.95
Davy Klaassen,10,93'22,1,15,7,1,,2,-,1,6,5,3,3,-,-,1,1,23,26,20,22,44,49,0.9
Ricardo Kishna,11,93'22,-,4,4,6,2,,10,2,2,15,7,4,-,1,6,6,32,36,19,23,57,65,0.88
Lucas Andersen,16,67'38,-,3,1,1,2,4,,1,3,8,3,-,-,-,1,2,13,17,12,14,26,33,0.79
Arkadiusz Milik,19,84'23,-,1,-,2,1,2,2,,2,2,2,-,-,-,1,1,8,9,5,5,14,15,0.93
Lasse Schöne,20,74'34,-,12,2,-,5,3,4,3,,4,1,-,-,-,3,3,16,18,15,17,34,38,0.89
Thulani Serero,25,93'22,-,14,14,7,3,12,3,3,2,,10,5,-,1,4,5,55,57,15,16,74,78,0.95
Nick Viergever,26,93'22,1,1,4,25,2,17,6,2,3,10,,2,-,-,5,5,54,55,14,16,73,76,0.96
Jairo Riedewald 12,,25'44,-,3,6,-,3,8,-,1,-,4,4,,-,-,2,2,18,18,9,10,29,30,0.97
Anwar El Ghazi 21,,18'48,-,-,-,-,1,-,-,-,-,-,-,-,,-,0,0,0,2,1,1,1,3,0.33
Richairo Zivkovic 30,,8'59,-,1,-,-,-,-,-,-,-,2,-,-,-,,0,0,1,1,2,2,3,3,1
Total passes received:,,,17,98,116 105,,41,70,30,20,37,74,72,28,4,3,86,89,482 513 147 163,,,,715,765,0.93
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,78,5,7,8,9,11,15,16,23,26,28,4,20,46,PC,PA,PC,PA,PC,PA,PC,PA,%
Urko Pardo,78,93'22,,3,-,1,1,-,1,2,2,1,-,-,-,-,4,9,5,5,2,2,11,16,0.69
Carlão,5,93'22,3,,1,1,-,1,4,4,4,-,4,1,-,3,2,2,19,20,5,5,26,27,0.96
George Efrem,7,65'05,-,2,,5,1,2,1,2,1,1,1,-,-,-,2,2,8,10,6,7,16,19,0.84
Tiago Gomes,8,93'22,1,2,4,,1,-,2,2,3,4,12,1,1,-,1,2,23,23,9,13,33,38,0.87
Cillian Sheridan,9,64'39,-,-,2,2,,1,-,2,-,2,1,-,-,-,0,0,8,10,2,6,10,16,0.62
Nektarios Alexandrou,11,93'22,-,1,1,1,2,,3,4,-,1,-,1,-,-,0,2,10,11,4,4,14,17,0.82
Marios Antoniades,15,93'22,2,5,-,2,5,2,,4,4,-,1,2,-,-,1,3,22,24,4,4,27,31,0.87
Vinicius,16,93'22,-,2,3,2,1,4,7,,5,5,4,-,-,3,4,6,22,24,10,12,36,42,0.86
Tasos Papazoglou,23,93'22,4,4,1,1,3,-,2,1,,-,4,-,1,-,6,8,13,16,2,2,21,26,0.81
Nuno Morais,26,71'28,1,-,3,3,1,1,3,3,3,,3,-,-,-,3,4,15,18,3,6,21,28,0.75
Mário Sérgio,28,93'22,1,4,3,12,1,2,1,2,-,2,,1,-,-,4,6,14,22,11,13,29,41,0.71
Kostakis Artymatas,4,21'53,-,-,-,3,-,2,1,-,-,-,2,,-,3,1,1,7,8,3,3,11,12,0.92
Pieros Sotiriou 20,,28'43,-,-,-,-,-,1,-,-,-,1,-,-,,1,0,0,1,2,2,2,3,4,0.75
Stathis Aloneftis 46,,28'17,-,1,-,-,-,1,2,1,-,-,-,-,-,,1,2,2,3,2,2,5,7,0.71
Total passes received:,,,12,24,18,33,16,17,27,27,22,17,32,6,2,10,29,47,169 196,,65,81,263,324,0.81
,,,,,,,,,,,,,,,,,,,,,,,,05:50:45CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
