Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stamford Bridge - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea FC,,,,,,,,,3 - 1,,,,,Sporting Clube de Portugal,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,12,14,17,19,21,24,28,7,18,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Petr Čech,1,93'16,,4,1,3,-,-,-,5,-,5,2,1,2,-,11,17,11,11,1,1,23,29,0.79
Filipe Luís,3,93'16,2,,8,2,1,1,5,12,8,8,1,-,2,4,5,6,31,32,18,21,54,59,0.92
Cesc Fàbregas,4,82'47,-,5,,2,6,10,5,10,6,3,5,1,-,-,6,7,28,34,19,21,53,62,0.85
Kurt Zouma,5,93'16,3,-,2,,2,1,-,1,2,19,11,-,1,1,6,7,34,35,3,3,43,45,0.96
John Obi Mikel,12,93'16,2,3,10,7,,2,3,2,9,5,4,-,-,1,3,7,36,39,9,10,48,56,0.86
André Schürrle,14,73'51,2,1,5,1,3,,2,1,-,-,6,-,-,-,2,2,11,11,8,9,21,22,0.95
Mohamed Salah,17,70'53,-,4,6,-,-,1,,10,5,-,-,-,-,-,0,0,14,17,12,13,26,30,0.87
Diego Costa,19,93'16,-,5,7,-,3,3,5,,4,-,3,1,1,-,0,0,17,20,15,18,32,38,0.84
Nemanja Matić,21,93'16,1,12,4,9,7,1,6,3,,7,1,-,3,-,1,3,37,38,16,16,54,57,0.95
Gary Cahill,24,93'16,11,12,4,13,9,-,1,1,8,,2,-,-,1,3,3,49,49,10,10,62,62,1
César Azpilicueta,28,93'16,7,1,8,5,8,7,2,1,1,-,,1,-,1,4,8,28,32,10,13,42,53,0.79
Ramires,7,19'25,-,1,-,-,-,-,-,2,-,-,-,,-,-,0,1,2,2,1,2,3,5,0.6
Loïc Rémy 18,,22'23,-,3,1,-,-,-,-,1,2,-,-,-,,2,0,0,3,4,6,6,9,10,0.9
Ruben Loftus-Cheek 36,,10'28,-,1,-,1,-,-,-,2,1,1,1,2,1,,0,0,9,9,1,1,10,10,1
Total passes received:,,,28,52,56,43,39,26,29,51,46,48,36,6,10,10,41,61,310 333 129 144,,,,480,538,0.89
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,9,11,14,17,18,23,26,33,47,8,10,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Rui Patrício,1,93'16,,2,2,-,-,-,2,1,2,1,-,-,-,-,4,8,6,6,0,0,10,14,0.71
Maurício,3,93'16,4,,2,2,3,-,-,3,3,7,1,1,1,-,1,3,21,23,5,6,27,32,0.84
Islam Slimani,9,93'16,-,1,,1,4,5,4,4,-,2,2,2,-,1,1,1,13,15,12,16,26,32,0.81
Diego Capel,11,60'23,-,-,3,,-,1,1,3,-,6,-,-,-,-,0,0,6,7,8,12,14,19,0.74
William Carvalho,14,60'23,-,2,6,-,,9,9,9,3,2,7,-,-,-,4,5,30,34,13,15,47,54,0.87
João Mário,17,69'17,-,2,3,2,8,,6,6,2,2,4,-,-,-,2,3,21,23,12,12,35,38,0.92
André Carrillo,18,93'16,2,2,3,3,7,5,,5,1,2,8,3,7,1,2,3,25,26,22,30,49,59,0.83
Adrien Silva,23,93'16,-,1,7,-,7,6,14,,1,6,8,-,2,-,6,7,38,42,8,10,52,59,0.88
Paulo Oliveira,26,93'16,-,4,3,-,2,1,2,2,,-,4,5,-,-,4,6,14,16,5,5,23,27,0.85
Jonathan Silva,33,93'16,-,3,1,9,1,2,4,4,-,,-,-,3,1,1,1,17,20,10,13,28,34,0.82
Ricardo Esgaio,47,93'16,-,3,2,-,2,4,13,5,1,-,,2,-,-,2,4,21,21,9,11,32,36,0.89
André Martins,8,23'58,-,1,2,-,-,-,3,4,3,1,2,,1,3,0,0,12,12,8,8,20,20,1
Fredy Montero 10,,32'52,-,-,1,-,-,1,4,2,-,2,-,-,,1,0,0,5,6,6,6,11,12,0.92
Carlos Mané 36,,32'53,-,-,1,-,-,-,1,-,-,3,-,2,-,,0,0,3,3,4,5,7,8,0.88
Total passes received:,,,6,21,36,17,34,34,63,48,16,34,36,15,14,7,27,41,232 254 122 149,,,,381,444,0.86
,,,,,,,,,,,,,,,,,,,,,,,,05:49:50CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
