Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stadion Ljudski vrt - Maribor,,,,,,,,,,,,,,,,,,,,,,,,,
,NK Maribor,,,,,,,,,0 - 1,,,,,,,FC Schalke 04,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,5,8,9,10,26,28,30,39,44,70,11,14,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasmin Handanović,33,94'43,,-,-,-,-,2,5,2,-,1,-,-,-,-,4,4,5,5,1,1,10,10,1
Željko Filipović,5,94'43,-,,4,1,3,3,21,8,4,3,5,-,-,3,9,12,36,40,10,13,55,65,0.85
Sintayehu Sallalich,8,65'47,-,2,,2,2,1,1,2,-,-,1,-,-,-,1,1,9,11,1,3,11,15,0.73
Tavares,9,94'43,-,3,1,,6,-,2,4,5,-,2,-,-,4,1,1,13,15,13,15,27,31,0.87
Agim Ibraimi,10,83'13,-,4,3,2,,-,6,5,2,-,3,-,-,-,3,4,12,14,10,13,25,31,0.81
Aleksander Rajčević,26,94'43,2,5,2,4,2,,5,13,3,6,1,-,1,1,8,8,34,35,3,3,45,46,0.98
Mitja Viler,28,94'43,-,14,-,8,4,-,,-,11,8,-,-,1,4,2,6,40,43,8,11,50,60,0.83
Petar Stojanović,30,76'41,1,5,10,5,5,11,1,,1,2,7,-,-,-,4,7,31,34,13,17,48,58,0.83
Damjan Bohar,39,94'43,-,4,2,2,3,5,6,-,,1,5,-,-,1,1,1,17,18,11,12,29,31,0.94
Arghus,44,94'43,2,1,-,1,1,10,11,2,-,,1,-,-,1,10,10,18,19,2,2,30,31,0.97
Aleš Mertelj,70,94'43,-,4,1,4,5,2,1,11,3,2,,-,-,1,3,4,18,19,13,13,34,36,0.94
Luka Zahović 11,,11'29,-,-,-,-,-,-,1,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,1
Jean-Philippe Mendy 14,,28'56,-,-,-,-,-,-,-,-,-,-,1,-,,-,0,0,0,0,1,1,1,1,1
Dare Vršič 22,,18'02,-,-,-,-,-,-,5,-,1,2,1,1,-,,1,1,6,7,3,4,10,12,0.83
Total passes received:,,,5,42,23,29,31,34,65,47,30,25,27,1,2,15,47,59,240 261,,89,108,376,428,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,12,13,15,22,23,25,27,33,2,7,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Ralf Fährmann,1,94'43,,4,3,3,-,-,-,3,1,-,2,-,-,-,8,11,4,4,4,4,16,19,0.84
Jan Kirchhoff,3,94'43,3,,27,4,-,2,-,2,1,2,25,-,1,-,4,5,62,64,1,1,67,70,0.96
Benedikt Höwedes,4,94'43,2,18,,1,2,8,1,11,1,7,10,-,1,-,8,9,45,46,9,9,62,64,0.97
Marco Höger,12,88'34,-,-,-,,7,2,16,4,3,4,1,-,1,-,2,2,22,27,14,18,38,47,0.81
Choupo-Moting,13,94'43,-,-,-,5,,1,4,2,1,5,1,1,3,2,2,3,11,15,12,16,25,34,0.74
Dennis Aogo,15,94'43,2,7,5,7,3,,5,10,-,3,3,-,-,-,5,6,31,32,9,10,45,48,0.94
Atsuto Uchida,22,94'43,-,2,-,9,5,6,,-,3,2,6,-,2,1,1,3,24,28,11,12,36,43,0.84
Christian Fuchs,23,94'43,1,4,12,-,2,3,1,,-,4,-,-,5,-,4,5,21,23,7,7,32,35,0.91
Klaas-Jan Huntelaar,25,92'39,-,-,-,-,3,-,1,-,,-,-,-,2,-,0,0,3,6,3,5,6,11,0.55
Tranquillo Barnetta,27,56'52,-,1,1,-,3,2,3,3,2,,4,-,-,-,2,3,11,14,6,9,19,26,0.73
Roman Neustädter,33,94'43,4,16,4,7,4,4,11,-,1,1,,-,-,-,5,7,44,47,3,4,52,58,0.9
Marvin Friedrich,2,2'04,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Max Meyer,7,37'51,-,-,1,1,4,1,1,2,-,-,-,-,,-,0,0,5,6,5,7,10,13,0.77
Kaan Ayhan 24,,6'08,-,-,-,-,1,1,-,-,-,-,-,-,-,,0,0,1,1,1,1,2,2,1
Total passes received:,,,12,52,53,37,34,30,43,37,13,28,52,1,15,3,41,54,284 313,,85,103,410,470,0.87
,,,,,,,,,,,,,,,,,,,,,,,,05:49:53CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
