Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,1 - 1,,,,,,FC Shakhtar Donetsk,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,4,5,7,10,15,18,21,26,36,99,3,28,30,PC,PA,PC,PA,PC,PA,PC,PA,%
Andrés Fernández,25,94'51,,7,8,-,1,1,-,-,2,1,-,3,-,-,6,7,17,17,0,0,23,24,0.96
Maicon,4,94'51,3,,9,2,4,5,-,15,7,3,-,4,-,1,10,12,33,36,10,13,53,61,0.87
Iván Marcano,5,94'51,7,10,,1,7,4,1,3,15,8,2,4,2,-,11,13,40,42,13,13,64,68,0.94
Ricardo Quaresma,7,94'51,-,2,4,,4,6,2,8,3,2,2,-,-,3,6,6,22,23,8,9,36,38,0.95
Juan Quintero,10,70'18,-,2,3,6,,8,4,8,5,3,8,1,-,-,3,3,31,35,14,14,48,52,0.92
Evandro,15,94'51,-,3,11,9,7,,2,6,12,2,3,2,6,3,5,5,42,44,19,19,66,68,0.97
Adrián López,18,54'49,-,-,-,1,2,2,,2,8,3,1,1,-,-,0,0,9,10,11,12,20,22,0.91
Ricardo,21,94'51,3,13,2,15,9,11,2,,2,5,1,4,2,-,6,8,46,48,17,17,69,73,0.95
Alex Sandro,26,94'51,4,3,6,6,7,5,9,1,,3,5,5,10,2,4,7,53,58,9,11,66,76,0.87
Rúben Neves,36,40'08,2,6,6,2,6,8,3,4,2,,1,-,-,-,1,1,32,32,7,8,40,41,0.98
Vincent Aboubakar,99,94'51,-,-,-,6,2,4,1,4,2,3,,-,-,-,2,2,12,14,8,10,22,26,0.85
Bruno Martins Indi,3,54'43,4,4,2,-,1,1,-,1,10,-,2,,2,1,1,2,26,27,1,1,28,30,0.93
Kelvin 28,,40'03,-,1,2,1,1,3,-,3,3,-,3,1,,3,0,1,15,17,6,6,21,24,0.88
Óliver Torres 30,,24'33,-,-,-,3,-,4,-,1,1,-,-,1,2,,2,2,8,9,2,2,12,13,0.92
Total passes received:,,,23,51,53,52,51,62,24,56,72,33,28,26,24,13,57,69,386 412 125 135,,,,568,616,0.92
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,6,8,10,13,20,21,29,38,44,77,11,17,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Andriy Pyatov,30,94'51,,2,2,1,1,2,-,-,1,6,1,-,-,-,5,6,10,10,1,1,16,17,0.94
Taras Stepanenko,6,87'24,1,,3,3,2,1,-,3,8,7,1,1,-,-,3,4,23,24,4,4,30,32,0.94
Fred,8,94'51,1,8,,2,1,3,1,3,6,3,7,-,-,-,2,3,27,28,6,9,35,40,0.88
Bernard,10,68'01,-,3,1,,5,-,1,4,1,1,2,-,-,-,2,2,12,17,4,4,18,23,0.78
Vyacheslav Shevchuk,13,94'51,1,-,1,3,,-,-,3,2,1,-,-,-,2,1,2,11,13,1,3,13,18,0.72
Douglas Costa,20,67'47,1,1,3,2,1,,1,2,2,1,6,-,-,-,4,5,9,12,7,8,20,25,0.8
Olexandr Gladkiy,21,94'51,-,1,3,-,-,2,,1,-,1,-,2,-,1,1,2,4,6,6,7,11,15,0.73
Alex Teixeira,29,94'51,-,2,2,4,2,1,1,,1,-,2,-,1,2,1,2,13,17,4,4,18,23,0.78
Serhiy Kryvtsov,38,94'51,7,3,6,-,-,3,1,-,,6,6,2,-,-,4,8,26,26,4,4,34,38,0.89
Yaroslav Rakitskiy,44,94'51,4,3,1,1,3,-,3,1,6,,3,1,1,-,7,14,17,21,3,3,27,38,0.71
Ilsinho,77,94'51,1,-,6,2,-,9,1,1,5,1,,-,-,1,3,4,15,17,9,11,27,32,0.84
Marlos 11,,27'04,-,-,1,-,-,-,-,-,2,-,1,,-,-,0,1,3,3,1,2,4,6,0.67
Fernando 17,,7'27,-,-,-,-,1,-,-,-,-,-,-,-,,-,0,0,1,1,0,1,1,2,0.5
Taison 28,,26'50,-,-,-,-,-,-,-,1,1,-,2,1,-,,1,1,2,3,2,3,5,7,0.71
Total passes received:,,,16,23,29,18,16,21,9,19,35,27,31,7,2,6,34,54,173 198,,52,64,259,316,0.82
,,,,,,,,,,,,,,,,,,,,,,,,05:48:07CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
