Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 10 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Estadio de San Mamés - Bilbao,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Club,,,,,,,,,2 - 0,,,,,,,FC BATE Borisov,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,6,8,10,11,14,15,17,22,24,20,21,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Gorka Iraizoz,1,93'10,,3,9,3,-,-,-,-,-,2,1,-,-,-,1,3,16,16,1,1,18,20,0.9
Aymeric Laporte,4,93'10,6,,21,6,2,3,3,-,9,-,8,-,-,-,6,11,46,49,6,6,58,66,0.88
Mikel San José,6,93'10,5,19,,16,7,-,6,15,5,1,-,-,-,2,4,10,68,72,4,4,76,86,0.88
Ander Iturraspe,8,93'10,3,6,14,,3,5,8,9,1,6,4,1,-,1,7,11,41,46,13,15,61,72,0.85
Óscar de Marcos,10,93'10,-,1,1,5,,4,6,3,3,2,3,-,-,1,2,3,15,18,12,18,29,39,0.74
Ibai Gómez,11,86'34,-,1,-,3,2,,2,2,1,1,3,-,-,-,0,4,8,16,7,10,15,30,0.5
Markel Susaeta,14,93'10,-,2,2,2,1,6,,10,7,3,1,-,1,4,4,5,25,31,10,16,39,52,0.75
Andoni Iraola,15,75'22,2,7,12,5,1,2,8,,3,1,2,-,-,-,5,6,31,33,7,8,43,47,0.91
Mikel Rico,17,93'10,1,2,4,3,6,2,3,1,,2,5,1,1,2,4,6,26,34,3,5,33,45,0.73
Guillermo Fernández,22,77'56,-,1,-,2,-,2,5,1,2,,2,-,-,-,0,0,9,11,6,12,15,23,0.65
Mikel Balenziaga,24,93'10,2,8,1,1,3,10,3,2,5,1,,-,2,-,3,4,28,33,7,8,38,45,0.84
Aritz Aduriz 20,,15'14,-,-,-,-,-,-,1,-,-,-,-,,1,-,0,0,2,5,0,0,2,5,0.4
Borja Viguera 21,,6'36,-,-,-,-,-,-,2,-,-,-,2,-,,1,0,0,3,3,2,2,5,5,1
Unai Lopez 29,,17'48,-,-,2,-,3,1,1,-,2,-,-,-,1,,0,1,6,10,4,7,10,18,0.56
Total passes received:,,,19,50,66,46,28,35,48,43,38,19,31,2,6,11,36,64,324 377,,82,112,442,553,0.8
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,34,5,7,8,14,20,21,23,42,55,62,2,13,25,PC,PA,PC,PA,PC,PA,PC,PA,%
Artem Soroko,34,93'10,,-,1,-,1,2,4,1,-,-,-,-,-,-,2,10,6,7,1,1,9,18,0.5
Evgeni Yablonski,5,76'30,2,,5,5,1,3,-,2,4,4,3,-,-,-,1,2,15,20,13,15,29,37,0.78
Aleksandr Karnitski,7,93'10,-,3,,1,-,5,-,1,-,1,-,-,-,-,1,6,6,14,4,9,11,29,0.38
Aleksandr Volodko,8,59'59,-,3,3,,2,1,1,3,-,1,-,-,-,-,1,2,5,10,8,12,14,24,0.58
Anri Khagush,14,93'10,1,2,-,-,,1,-,-,7,-,-,-,1,-,1,1,7,10,4,8,12,19,0.63
Vitali Rodionov,20,83'06,-,1,1,3,1,,1,2,3,1,1,-,-,-,0,0,8,11,6,11,14,22,0.64
Egor Filipenko,21,93'10,3,3,-,3,2,-,,4,-,3,1,-,-,-,3,5,11,13,5,8,19,26,0.73
Edgar Olekhnovich,23,93'10,-,2,4,2,1,2,1,,1,2,4,-,-,1,2,2,13,17,5,9,20,28,0.71
Maksim Volodko,42,93'10,-,2,4,-,2,3,-,-,,1,1,-,3,2,1,2,11,13,6,13,18,28,0.64
Nemanja Tubić,55,93'10,6,2,-,1,1,2,1,2,-,,-,-,-,1,2,2,12,14,2,3,16,19,0.84
Mikhail Gordeychuk,62,93'10,-,1,3,1,-,1,1,4,-,-,,-,-,-,0,0,3,4,8,11,11,15,0.73
Dmitri Likhtarovich,2,10'05,-,-,1,-,2,-,-,1,1,-,1,,1,-,1,1,4,4,2,3,7,8,0.88
Nikolai Signevich 13,,33'11,-,1,1,-,-,1,-,-,1,-,-,-,,-,0,1,0,2,4,6,4,9,0.44
Dmitri Baga 25,,16'40,-,-,-,-,-,1,1,-,-,2,1,-,-,,1,1,4,6,0,0,5,7,0.71
Total passes received:,,,12,20,23,16,13,22,10,20,17,15,12,0,5,4,16,35,105 145,,68,109,189,289,0.65
,,,,,,,,,,,,,,,,,,,,,,,,05:49:40CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,11 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
