Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Stadio Georgios Karaiskakis - Piraeus,,,,,,,,,,,,,,,,,,,,,,,,,
,Olympiacos FC,,,,,,,,,4 - 2,,,,,,,,Malmö FF,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,3,7,8,10,11,14,19,22,26,6,23,27,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,96'29,,-,3,-,1,-,5,1,-,1,1,1,-,-,8,9,5,5,0,0,13,14,0.93
Giannis Maniatis,2,96'29,1,,1,-,4,8,3,8,4,2,4,3,-,-,7,7,25,26,6,7,38,40,0.95
Alberto Botía,3,96'29,6,2,,1,3,1,2,7,1,1,1,-,-,-,2,2,19,20,4,4,25,26,0.96
Kostas Mitroglou,7,88'48,-,5,-,,3,4,5,1,-,-,1,-,-,-,1,1,6,9,12,14,19,24,0.79
Delvin N'Dinga,8,96'29,-,3,2,1,,5,6,3,4,-,7,-,-,-,3,3,19,19,9,10,31,32,0.97
Alejandro Domínguez,10,90'24,-,5,3,4,1,,-,9,3,-,7,1,-,-,6,7,21,26,6,10,33,43,0.77
Pajtim Kasami,11,96'29,-,2,-,6,3,4,,4,2,-,10,4,-,-,0,2,21,24,14,17,35,43,0.81
Omar Elabdellaoui,14,96'29,1,4,8,-,1,4,2,,4,2,1,4,-,-,2,4,22,23,7,9,31,36,0.86
David Fuster,19,77'40,-,3,-,3,1,4,3,3,,-,-,-,-,-,1,1,7,10,9,13,17,24,0.71
Éric Abidal,22,96'29,2,4,3,-,2,-,-,-,-,,-,-,-,-,0,1,7,10,4,5,11,16,0.69
Arthur Masuaku,26,96'29,2,3,2,5,4,4,12,-,-,2,,-,-,-,6,6,19,22,9,10,34,38,0.89
Ibrahim Afellay,6,18'49,-,1,-,-,-,1,1,3,-,-,2,,-,-,1,1,6,7,1,2,8,10,0.8
Dimitris Siovas 23,,6'05,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Jorge Benitez 27,,7'41,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,12,32,22,20,23,35,39,39,18,8,34,13,0,0,37,44,177 201,,81,101,295,346,0.85
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,3,4,6,7,8,9,20,24,32,33,11,14,15,PC,PA,PC,PA,PC,PA,PC,PA,%
Robin Olsen,25,96'29,,2,8,4,1,-,-,4,1,1,-,-,1,-,11,13,10,10,1,1,22,24,0.92
Anton Tinnerholm,3,96'29,2,,1,2,2,-,2,5,1,-,-,1,1,-,3,4,12,14,2,3,17,21,0.81
Filip Helander,4,96'29,4,-,,12,1,2,1,4,2,4,-,-,1,-,5,8,25,28,1,1,31,37,0.84
Markus Halsti,6,96'29,2,7,11,,4,8,-,7,-,-,-,-,1,-,3,5,34,34,3,5,40,44,0.91
Magnus Eriksson,7,75'15,-,7,3,2,,4,1,3,2,-,1,-,2,-,5,8,11,13,9,11,25,32,0.78
Enock Adu,8,93'29,-,2,6,2,6,,1,9,-,5,8,1,-,-,5,8,29,29,6,6,40,43,0.93
Markus Rosenberg,9,96'29,-,2,-,-,1,1,,-,-,-,1,-,-,2,0,0,4,8,3,4,7,12,0.58
Ricardinho,20,96'29,4,4,3,3,9,6,4,,2,1,6,3,1,-,9,14,25,28,12,13,46,55,0.84
Isaac Kiese Thelin,24,80'52,-,2,-,-,1,2,-,1,,1,1,-,-,-,0,0,4,8,4,6,8,14,0.57
Pa Konate,32,57'08,-,-,1,-,-,2,-,-,1,,4,-,-,-,3,3,2,3,3,5,8,11,0.73
Emil Forsberg,33,96'29,-,1,-,-,1,5,3,4,1,1,,1,2,1,0,0,12,14,8,10,20,24,0.83
Simon Thern 11,,21'14,-,-,-,-,-,2,-,3,-,-,1,,-,-,0,0,4,4,2,2,6,6,1
Simon Kroon 14,,39'21,-,1,-,-,1,-,1,-,1,-,-,1,,-,1,1,3,4,1,1,5,6,0.83
Pawel Cibicki 15,,15'36,-,-,-,-,-,1,-,-,-,-,-,1,-,,0,0,1,2,1,1,2,3,0.67
Total passes received:,,,12,28,33,25,27,33,13,40,11,13,22,8,9,3,45,64,176 199,,56,69,277,332,0.83
,,,,,,,,,,,,,,,,,,,,,,,,01:38:09CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,10 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
