Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Anfield - Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool FC,,,,,,,,,1 - 1,,,,,,,FC Basel 1893,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,2,3,6,8,9,14,21,24,31,37,10,18,50,PC,PA,PC,PA,PC,PA,PC,PA,%
Simon Mignolet,22,94'20,,2,1,4,-,4,-,2,1,-,10,-,-,-,5,8,15,15,4,4,24,27,0.89
Glen Johnson,2,94'20,2,,-,3,2,-,-,14,2,10,9,-,4,5,5,8,34,39,12,16,51,63,0.81
José Enrique,3,45'12,-,-,,1,2,-,5,1,1,-,1,-,-,-,1,3,6,8,4,5,11,16,0.69
Dejan Lovren,6,94'20,1,1,2,,2,-,4,5,4,2,14,-,2,-,5,6,27,36,5,7,37,49,0.76
Steven Gerrard,8,94'20,-,7,4,-,,2,8,2,7,9,-,-,3,-,2,5,22,26,18,22,42,53,0.79
Rickie Lambert,9,45'12,-,-,-,-,1,,2,-,-,2,1,-,-,-,0,0,2,6,4,6,6,12,0.5
Jordan Henderson,14,94'20,-,1,3,3,9,-,,7,6,9,2,2,1,1,3,3,31,38,10,16,44,57,0.77
Lucas,21,73'15,1,7,2,4,8,4,7,,10,10,16,-,1,4,6,7,54,59,14,18,74,84,0.88
Joe Allen,24,94'20,1,4,2,1,8,-,12,10,,8,5,4,2,2,5,7,38,40,16,16,59,63,0.94
Raheem Sterling,31,94'20,-,7,-,-,6,-,3,6,7,,1,2,-,-,0,2,16,21,16,20,32,43,0.74
Martin Škrtel,37,94'20,9,12,-,12,4,1,1,16,11,5,,-,1,-,4,4,56,57,12,12,72,73,0.99
Coutinho 10,,21'05,-,1,-,-,2,-,1,-,-,3,-,,1,-,1,1,6,7,1,3,8,11,0.73
Alberto Moreno 18,,49'09,-,2,-,4,1,-,2,1,1,1,1,1,,-,2,2,11,14,1,2,14,18,0.78
Lazar Marković 50,,14'59,-,7,-,-,-,-,1,-,3,1,-,-,-,,1,1,9,9,2,3,12,13,0.92
Total passes received:,,,14,51,14,32,45,11,46,64,53,60,60,9,15,12,40,57,327 375 119 150,,,,486,582,0.84
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,7,9,11,16,17,19,20,25,33,34,6,21,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,94'20,,1,2,1,3,3,2,1,-,1,-,-,-,-,4,10,10,10,0,0,14,20,0.7
Luca Zuffi,7,87'23,-,,3,6,1,-,1,6,6,2,3,-,-,-,2,2,17,21,9,12,28,35,0.8
Marco Streller,9,73'41,-,3,,5,-,-,-,1,5,5,2,-,-,-,1,2,13,16,7,9,21,27,0.78
Shkelzen Gashi,11,94'20,-,7,3,,-,1,5,5,-,4,-,-,-,1,1,3,16,25,9,12,26,40,0.65
Fabian Schär,16,94'20,-,4,2,2,,4,2,3,1,5,2,-,-,1,2,7,18,21,6,7,26,35,0.74
Marek Suchý,17,94'20,3,1,-,-,3,,4,-,1,1,1,-,-,-,3,4,8,9,3,3,14,16,0.88
Behrang Safari,19,94'20,1,2,5,6,-,5,,4,-,2,-,-,-,-,3,6,19,22,3,4,25,32,0.78
Fabian Frei,20,94'20,-,4,4,8,6,-,4,,1,6,6,-,-,-,8,12,21,25,10,11,39,48,0.81
Derlis Gonzalez,25,94'20,-,2,5,1,-,-,-,1,,5,4,-,1,-,2,3,9,12,8,9,19,24,0.79
Mohamed Elneny,33,83'07,1,4,6,3,5,1,-,7,3,,9,-,-,1,5,6,23,24,12,14,40,44,0.91
Taulant Xhaka,34,94'20,-,1,3,2,3,-,-,5,6,7,,-,-,1,2,4,14,15,12,17,28,36,0.78
Walter Samuel,6,6'58,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,1,0,0,0,1,0
Marcelo Díaz 21,,11'14,-,-,-,-,-,-,-,-,-,-,-,-,,2,1,1,0,0,1,1,2,2,1
Breel Embolo 36,,20'39,-,1,-,-,-,-,-,-,1,-,-,-,1,,0,1,3,6,0,0,3,7,0.43
Total passes received:,,,5,30,33,34,21,14,18,33,24,38,27,0,2,6,34,61,171 207,,80,99,285,367,0.78
,,,,,,,,,,,,,,,,,,,,,,,,02:25:58CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,10 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
