Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,4 - 0,,,,,,PFC Ludogorets 1945,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,5,7,8,11,14,17,18,23,24,12,20,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Keylor Navas,13,93'31,,7,2,-,3,1,-,1,4,-,3,1,-,-,4,4,17,17,1,1,22,22,1
Raphaël Varane,2,93'31,2,,4,-,5,3,2,6,9,5,9,-,2,1,4,5,37,39,7,8,48,52,0.92
Fábio Coentrão,5,59'41,1,-,,2,7,1,2,1,5,8,2,-,-,-,1,2,17,18,11,14,29,34,0.85
Cristiano Ronaldo,7,93'31,-,-,3,,7,6,1,2,-,9,6,2,4,-,0,1,22,27,18,22,40,50,0.8
Toni Kroos,8,59'58,-,1,5,10,,8,6,1,1,22,23,-,-,-,4,4,59,63,14,15,77,82,0.94
Gareth Bale,11,82'39,-,2,2,6,9,,6,7,-,5,5,2,-,-,1,2,28,35,15,20,44,57,0.77
Javier Hernández,14,93'31,-,1,-,1,2,5,,-,-,2,3,-,1,1,0,0,10,14,6,10,16,24,0.67
Álvaro Arbeloa,17,93'31,1,5,-,-,2,7,-,,1,2,11,-,2,1,3,4,21,21,8,8,32,33,0.97
Nacho,18,93'31,4,7,1,1,10,-,-,1,,11,6,1,2,-,3,3,26,27,15,15,44,45,0.98
Isco,23,93'31,-,6,12,16,18,8,6,3,2,,16,5,2,-,7,8,67,74,20,25,94,107,0.88
Asier Illarramendi,24,93'31,1,4,2,15,13,17,4,9,5,19,,3,4,2,3,3,74,76,21,22,98,101,0.97
Marcelo 12,,33'49,-,-,-,3,-,3,-,-,1,5,1,,1,1,2,2,11,14,2,4,15,20,0.75
Jesé 20,,33'33,-,1,-,1,-,-,-,2,-,3,1,2,,1,0,0,8,10,3,4,11,14,0.79
Álvaro Medrán 26,,10'51,-,-,-,-,-,-,2,1,-,3,-,-,1,,1,1,5,7,1,1,7,9,0.78
Total passes received:,,,9,34,31,55,76,59,29,34,28,94,86,16,19,7,33,39,402 442 142 169,,,,577,650,0.89
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,21,7,8,17,18,25,27,55,80,84,93,11,12,88,PC,PA,PC,PA,PC,PA,PC,PA,%
Vladislav Stoyanov,21,93'31,,1,-,1,3,2,1,-,9,1,1,-,1,-,9,11,10,10,1,2,20,23,0.87
Mihail Alexandrov,7,60'25,1,,7,1,-,-,-,3,6,1,-,-,-,-,0,0,10,13,9,14,19,27,0.7
Fábio Espinho,8,62'40,1,7,,2,8,1,-,2,6,2,6,-,-,-,5,7,21,24,9,12,35,43,0.81
Dani Abalo,17,93'31,-,4,1,,4,3,4,1,16,2,1,-,-,3,3,4,19,21,17,21,39,46,0.85
Svetoslav Dyakov,18,93'31,1,-,11,8,,6,2,5,15,-,1,-,3,6,4,5,40,40,14,16,58,61,0.95
Yordan Minev,25,93'31,-,-,7,4,4,,2,-,-,1,4,-,3,1,1,1,17,18,8,10,26,29,0.9
Cosmin Moţi,27,93'31,1,-,4,-,7,3,,-,1,-,-,1,-,1,1,2,13,14,4,4,18,20,0.9
Georgi Terziev,55,93'31,1,2,3,-,4,2,-,,1,1,-,-,-,-,2,2,8,9,4,4,14,15,0.93
Júnior Caiçara,80,93'31,1,8,5,21,11,2,2,2,,-,2,-,2,3,3,5,34,35,22,26,59,66,0.89
Marcelinho,84,18'32,-,1,-,2,-,-,-,1,1,,2,-,-,-,2,2,4,5,1,2,7,9,0.78
Virgil Misidjan,93,71'15,-,2,4,2,3,3,-,-,2,-,,-,-,1,1,3,7,8,9,11,17,22,0.77
Júnior Quixadá 11,,22'16,-,-,-,2,1,-,-,-,-,-,-,,2,1,0,0,3,3,3,4,6,7,0.86
Anicet Abel 12,,30'51,-,-,-,1,3,2,1,-,2,-,-,1,,5,1,1,8,8,6,6,15,15,1
Wanderson 88,,33'06,-,-,-,2,7,-,-,-,1,-,2,3,4,,1,1,13,15,5,6,19,22,0.86
Total passes received:,,,6,25,42,46,55,24,12,14,60,8,19,5,15,21,33,44,207 223 112 138,,,,352,405,0.87
,,,,,,,,,,,,,,,,,,,,,,,,02:00:46CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,10 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
