Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Stade Louis II - Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Monaco FC,,,,,,,,,2 - 0,,,,,,,Football Club Zenit,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,5,7,8,9,13,14,17,24,28,11,15,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,93'15,,1,-,-,-,-,-,-,2,1,-,-,-,1,3,4,1,1,1,1,5,6,0.83
Fabinho,2,93'15,1,,-,11,1,1,-,3,-,-,2,-,-,1,1,2,12,20,7,8,20,30,0.67
Aymen Abdennour,5,93'15,-,-,,1,1,1,2,1,-,2,1,-,-,-,0,0,6,7,3,3,9,10,0.9
Nabil Dirar,7,90'51,1,11,-,,5,2,4,2,2,-,2,-,-,3,1,1,18,20,13,15,32,36,0.89
João Moutinho,8,93'15,-,9,-,7,,-,2,3,9,4,1,-,1,-,4,6,23,25,9,10,36,41,0.88
Dimitar Berbatov,9,56'54,-,-,-,1,1,,-,3,-,1,2,-,-,-,0,0,4,5,4,6,8,11,0.73
Wallace,13,93'15,1,2,3,1,-,-,,-,-,1,2,-,-,-,2,4,5,5,3,3,10,12,0.83
Tiémoué Bakayoko,14,93'15,-,3,1,6,7,3,2,,5,3,6,-,-,1,1,1,21,24,15,17,37,42,0.88
Ferreira-Carrasco,17,92'55,-,-,-,-,5,5,-,7,,2,-,-,-,2,2,2,10,11,9,12,21,25,0.84
Andrea Raggi,24,93'15,1,-,4,-,3,-,-,4,6,,3,-,-,1,0,2,13,15,9,9,22,26,0.85
Jérémy Toulalan,28,93'15,-,3,-,6,6,2,3,5,4,2,,-,-,1,3,4,17,20,12,15,32,39,0.82
Lucas Ocampos 11,,20,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Bernardo Silva 15,,2'24,-,-,-,-,1,-,-,-,-,-,-,-,,1,0,0,2,2,0,0,2,2,1
Anthony Martial 23,,36'22,-,-,-,2,2,-,-,1,2,2,-,-,-,,0,0,7,9,2,2,9,11,0.82
Total passes received:,,,4,29,8,35,32,14,13,29,30,18,19,0,1,11,17,26,139 164,,87,101,243,291,0.84
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,Medium,,Short,,,Total,,
From,,TP,1,4,6,7,19,20,21,23,24,28,35,5,17,PC,PA,PC,PA,PC,PA,PC,PA,%,
Yuri Lodygin,1,93'15,,-,2,1,-,1,-,-,7,1,1,-,-,3,3,9,9,1,1,13,13,1,
Domenico Criscito,4,93'15,1,,13,3,1,6,4,1,1,5,13,1,1,4,4,37,42,9,10,50,56,0.89,
Nicolas Lombaerts,6,93'15,5,13,,-,1,12,6,1,11,4,1,-,-,2,5,47,50,5,5,54,60,0.9,
Hulk,7,93'15,-,1,-,,2,4,1,1,2,2,8,-,1,1,2,13,18,8,15,22,35,0.63,
Igor Smolnikov,19,79'37,-,1,1,5,,2,1,3,5,2,3,-,-,0,0,17,18,6,6,23,24,0.96,
Viktor Fayzulin,20,69'05,-,10,3,3,3,,4,1,5,3,8,-,-,0,2,31,33,9,11,40,46,0.87,
Javi García,21,93'15,-,1,9,3,5,2,,1,5,5,4,-,1,5,5,26,27,6,7,37,39,0.95,
José Rondón,23,93'15,-,-,-,2,1,1,-,,-,-,2,-,-,0,0,2,4,4,7,6,11,0.55,
Ezequiel Garay,24,93'15,4,-,11,6,7,6,4,1,,5,7,-,-,7,10,38,40,6,7,51,57,0.89,
Axel Witsel,28,93'15,-,9,-,7,3,2,5,1,1,,10,3,3,0,0,31,32,13,17,44,49,0.9,
Danny,35,93'15,-,13,2,11,6,6,2,1,-,10,,1,2,4,5,29,31,21,23,54,59,0.92,
Aleksandr Ryazantsev,5,13'39,-,-,-,-,-,-,-,1,1,-,1,,1,2,2,2,2,0,0,4,4,1,
Oleg Shatov 17,,24'10,-,-,-,2,-,-,1,-,1,2,2,-,,0,0,5,7,3,5,8,12,0.67,
Total passes received:,,,10,48,41,43,29,42,28,12,39,39,60,5,9,28,38,287 313,,91,114,406,465,0.87,
,,,,,,,,,,,,,,,,,,,,,,,,03:10:45CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,10 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
