Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Estádio do SL Benfica - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
,SL Benfica,,,,,,,,,0 - 0,,,,,,Bayer 04 Leverkusen,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,9,11,15,21,23,24,32,34,37,16,30,97,PC,PA,PC,PA,PC,PA,PC,PA,%
Artur,1,95'49,,-,1,1,-,4,3,3,-,1,-,2,-,-,11,22,4,4,0,0,15,26,0.58
Lisandro López,2,95'49,7,,1,-,4,2,6,5,1,-,4,-,-,-,2,3,21,28,7,8,30,39,0.77
Derley,9,75'07,-,-,,3,5,3,-,-,-,-,-,-,-,-,0,0,5,8,6,13,11,21,0.52
Lima,11,62'04,-,-,-,,3,6,1,3,2,2,-,-,-,-,0,0,9,12,9,12,18,24,0.75
Ola John,15,95'49,1,2,2,2,,5,10,1,1,-,-,-,-,-,2,6,18,25,4,16,24,47,0.51
Pizzi,21,95'49,-,-,3,3,3,,2,3,7,9,3,-,2,2,2,2,27,34,8,18,37,54,0.69
Loris Benito,23,95'49,1,3,2,4,14,2,,4,-,-,-,1,1,2,2,2,26,30,6,8,34,40,0.85
Bryan Cristante,24,95'49,1,2,2,5,3,3,4,,3,4,2,-,2,-,3,4,18,27,10,16,31,47,0.66
Tiago,32,86'55,-,-,1,-,-,3,-,1,,2,4,-,-,-,0,1,8,17,3,9,11,27,0.41
André Almeida,34,95'49,1,1,1,1,1,9,1,5,10,,6,1,1,1,2,3,30,34,7,14,39,51,0.76
César,37,95'49,5,6,-,2,2,4,2,3,-,7,,1,-,-,3,4,27,29,2,4,32,37,0.86
Nélson Oliveira 16,,20'42,-,-,-,-,2,-,-,-,1,-,-,,1,-,0,0,4,5,0,1,4,6,0.67
Talisca 30,,33'45,-,1,-,-,2,3,-,-,1,-,-,-,,-,1,1,5,6,1,2,7,9,0.78
João Teixeira 97,,8'53,-,1,-,-,1,1,-,-,-,-,1,-,-,,0,0,4,5,0,2,4,7,0.57
Total passes received:,,,16,16,13,21,40,45,29,28,26,25,20,5,7,5,28,48,206 264,,63,123,297,435,0.68
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,6,9,10,13,17,21,23,27,38,7,11,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,95'49,,5,1,1,1,-,-,2,-,1,2,-,-,-,5,9,8,8,0,0,13,17,0.76
Emir Spahić,5,95'49,3,,6,2,2,-,5,3,-,5,2,1,-,3,2,4,18,23,12,12,32,39,0.82
Simon Rolfes,6,82'40,2,1,,9,6,2,6,-,2,2,6,-,-,5,4,6,15,23,22,25,41,54,0.76
Josip Drmić,9,70'23,-,-,2,,7,2,1,-,3,4,1,-,-,2,0,0,9,11,13,19,22,30,0.73
Hakan Çalhanoğlu,10,95'49,-,-,4,8,,2,1,2,1,9,4,1,-,4,3,5,14,23,19,32,36,60,0.6
Roberto Hilbert,13,95'49,4,2,1,-,3,,-,5,-,4,1,-,-,1,2,3,12,14,7,12,21,29,0.72
Sebastian Boenisch,17,95'49,1,4,3,-,7,-,,-,1,1,3,1,-,-,2,7,14,25,5,10,21,42,0.5
Ömer Toprak,21,90'17,5,5,2,-,3,4,3,,1,6,2,-,-,-,1,2,22,29,8,11,31,42,0.74
Robbie Kruse,23,45'04,-,-,2,1,-,-,1,-,,1,1,-,-,-,0,1,3,6,3,7,6,14,0.43
Gonzalo Castro,27,95'49,1,1,1,1,9,6,4,2,1,,5,3,-,2,1,5,26,35,9,19,36,59,0.61
Karim Bellarabi,38,95'49,-,-,2,3,5,4,2,1,-,4,,1,-,4,0,0,15,19,11,14,26,33,0.79
Son Heung-Min,7,25'26,-,-,-,-,2,-,-,1,-,1,1,,-,-,0,0,3,4,2,3,5,7,0.71
Stefan Kiessling 11,,13'09,-,-,-,-,2,-,-,-,-,-,-,-,,-,0,0,0,0,2,2,2,2,1
Julian Brandt 19,,50'45,-,1,2,2,2,3,1,2,-,2,2,1,1,,1,1,9,11,9,13,19,25,0.76
Total passes received:,,,16,19,26,27,49,23,24,18,9,40,30,8,1,21,21,43,168 231 122 179,,,,311,453,0.69
,,,,,,,,,,,,,,,,,,,,,,,,02:12:33CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,10 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
