Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Ali Sami Yen Spor Kompleksi - Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,
,Galatasaray AŞ,,,,,,,,,1 - 4,,,,,,,,Arsenal FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,38,3,9,10,11,13,17,22,26,52,77,4,23,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Sinan Bolat,38,93'12,,1,-,-,1,2,-,3,3,-,1,1,-,1,3,4,10,10,0,0,13,14,0.93
Felipe Melo,3,93'12,-,,3,7,6,17,4,1,6,14,10,8,5,-,15,18,56,57,10,12,81,87,0.93
Umut Bulut,9,93'12,-,1,,4,2,1,2,-,-,5,6,3,2,-,1,1,11,11,14,16,26,28,0.93
Wesley Sneijder,10,93'12,-,5,10,,7,7,3,2,1,4,1,1,6,-,3,4,31,35,13,15,47,54,0.87
Bruma,11,77'34,1,13,2,7,,2,2,2,2,10,-,7,1,-,2,2,27,30,20,20,49,52,0.94
Alex Telles,13,93'12,1,7,2,13,6,,3,4,-,3,-,-,6,-,0,1,26,32,19,22,45,55,0.82
Burak Yılmaz,17,46'05,-,3,1,3,4,1,,-,2,3,7,-,-,-,0,0,17,19,7,9,24,28,0.86
Hakan Balta,22,93'12,2,5,-,-,1,12,1,,7,2,-,-,-,-,2,4,27,29,1,1,30,34,0.88
Semih Kaya,26,93'12,2,2,2,1,2,-,-,6,,2,5,6,-,2,3,3,22,24,5,7,30,34,0.88
Emre Çolak,52,93'12,1,13,3,12,7,5,2,3,1,,8,13,4,6,16,17,44,46,18,21,78,84,0.93
Tarık Çamdal,77,46'05,-,3,6,-,2,1,2,1,4,11,,-,-,-,1,3,20,20,9,10,30,33,0.91
Hamit Altıntop,4,47'07,3,7,2,1,14,2,-,2,2,9,-,,-,4,3,4,28,29,15,15,46,48,0.96
Yasin Öztekin 23,,47'07,-,4,-,5,-,9,-,-,-,2,-,1,,-,0,0,11,13,10,12,21,25,0.84
Olcan Adın 29,,15'38,-,1,-,2,-,1,-,-,-,8,-,1,-,,2,2,4,4,7,7,13,13,1
Total passes received:,,,10,65,31,55,52,60,19,24,28,73,38,41,24,13,51,63,334 359 148 167,,,,533,589,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,9,15,16,20,21,22,28,39,35,70,73,PC,PA,PC,PA,PC,PA,PC,PA,%
Wojciech Szczęsny,1,93'12,,4,9,1,-,1,2,5,2,1,1,-,2,-,8,14,20,20,0,0,28,34,0.82
Mathieu Debuchy,2,77'18,3,,-,1,4,2,1,9,-,10,-,5,1,-,1,2,23,28,12,14,36,44,0.82
Per Mertesacker,4,93'12,6,-,,8,3,3,3,7,1,-,4,-,10,-,0,2,38,38,7,7,45,47,0.96
Lukas Podolski,9,93'12,1,-,7,,14,8,2,5,3,3,4,6,3,-,1,1,29,32,26,27,56,60,0.93
Oxlade-Chamberlain,15,93'12,-,5,1,5,,6,4,2,8,15,3,2,3,1,6,9,36,39,13,15,55,63,0.87
Aaron Ramsey,16,46'05,-,2,1,13,6,,1,2,-,6,2,-,-,-,1,3,16,16,16,17,33,36,0.92
Mathieu Flamini,20,46'05,1,2,3,-,7,3,,3,-,1,1,-,-,-,0,0,18,18,3,3,21,21,1
Calum Chambers,21,93'12,8,11,15,1,4,2,1,,1,4,-,7,3,3,6,6,42,42,12,12,60,60,1
Yaya Sanogo,22,93'12,-,-,-,3,4,4,-,1,,3,-,-,-,1,0,0,8,8,8,13,16,21,0.76
Joel Campbell,28,93'12,-,3,-,6,9,4,1,3,3,,-,14,3,1,1,4,24,32,22,26,47,62,0.76
Héctor Bellerín,39,93'12,-,-,-,5,1,3,-,1,-,2,,2,2,-,0,0,11,13,5,9,16,22,0.73
Gedion Zelalem 35,,47'07,-,6,-,6,6,-,-,6,2,9,3,,3,-,0,0,27,28,14,16,41,44,0.93
Maitland-Niles 70,,47'07,2,3,3,7,3,-,-,3,-,3,2,5,,-,1,2,18,20,12,12,31,34,0.91
Stefan O'Connor 73,,15'55,-,-,-,1,-,-,-,3,-,2,-,-,-,,0,0,3,4,3,3,6,7,0.86
Total passes received:,,,21,36,39,57,61,36,15,50,20,59,20,41,30,6,25,43,313 338 153 174,,,,491,555,0.88
,,,,,,,,,,,,,,,,,,,,,,,,02:39:38CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,10 Dec 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
