Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 1st leg - Wednesday 15 April 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Parc des Princes - Paris,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint-Germain,,,,,,,,,,1 - 3,,,,,,,,FC Barcelona,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,30,2,4,5,9,14,17,22,23,25,27,7,32,PC,PA,PC,PA,PC,PA,PC,PA,%,
Salvatore Sirigu,30,"95'13""",,-,5,1,-,-,3,-,-,3,2,-,-,3,10,11,11,0,0,14,21,67%,
Thiago Silva,2,"20'39""",-,,2,2,-,-,-,1,2,-,-,-,-,1,1,4,4,2,2,7,7,100%,
Yohan Cabaye,4,"95'13""",2,1,,6,4,11,5,1,4,3,5,1,1,7,9,22,24,15,16,44,49,90%,
Marquinhos,5,"95'13""",5,3,4,,-,4,3,1,3,5,5,1,5,2,3,30,31,7,9,39,43,91%,
Edinson Cavani,9,"95'13""",-,-,1,-,,2,2,3,2,2,7,2,-,0,0,9,12,12,15,21,27,78%,
Blaise Matuidi,14,"95'13""",-,-,3,4,2,,8,3,1,1,9,-,4,2,2,20,22,13,15,35,39,90%,
Maxwell,17,"95'13""",-,-,4,2,4,11,,2,-,3,8,-,2,0,1,26,28,10,11,36,40,90%,
Ezequiel Lavezzi,22,"95'13""",-,-,-,1,3,1,3,,3,6,4,-,-,1,2,12,16,8,11,21,29,72%,
Gregory van der Wiel,23,"95'13""",1,1,5,4,2,-,-,6,,5,4,-,1,0,0,11,12,18,18,29,30,97%,
Adrien Rabiot,25,"67'01""",1,1,3,4,-,2,3,3,3,,6,-,2,1,2,17,18,10,11,28,31,90%,
Javier Pastore,27,"95'13""",-,1,7,5,3,10,1,5,5,2,,3,2,1,2,23,29,20,23,44,54,81%,
Lucas,7,"28'12""",-,-,1,-,1,-,-,-,1,-,4,,1,1,1,4,4,3,3,8,8,100%,
David Luiz 32,,"74'33""",1,-,3,1,2,-,6,2,2,-,3,1,,6,7,12,12,3,4,21,23,91%,
Total passes received:,,,10,7,38,30,21,41,34,27,26,30,57,8,18,25,40,201 223 121 138,,,,347,401,87%,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,5,8,9,10,11,14,18,6,21,24,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,"95'13""",,1,8,1,3,-,-,-,-,4,3,1,-,-,4,6,16,16,1,1,21,23,91%
Martín Montoya,2,"81'39""",-,,16,16,2,1,3,12,-,-,-,-,-,-,0,1,33,34,17,21,50,56,89%
Gerard Piqué,3,"95'13""",3,10,,8,10,4,2,8,-,18,2,4,3,-,3,8,62,63,7,7,72,78,92%
Ivan Rakitić,4,"75'34""",1,16,4,,11,2,4,17,4,4,5,2,-,-,1,1,38,40,31,32,70,73,96%
Sergio Busquets,5,"95'13""",-,10,6,6,,10,2,12,-,16,9,10,-,2,10,11,39,44,34,36,83,91,91%
Andrés Iniesta,8,"54'35""",-,2,4,1,6,,1,4,9,4,6,-,-,-,3,3,22,25,12,15,37,43,86%
Luis Suárez,9,"95'13""",-,1,1,-,3,-,,4,3,2,1,2,4,-,2,2,10,10,9,11,21,23,91%
Lionel Messi,10,"95'13""",-,7,4,8,15,6,1,,6,6,-,12,-,-,1,4,31,36,33,37,65,77,84%
Neymar,11,"95'13""",-,-,3,7,2,4,3,6,,4,15,4,-,-,1,1,27,32,20,30,48,63,76%
Javier Mascherano,14,"95'13""",3,6,17,5,8,5,1,8,4,,20,6,2,2,8,9,58,59,21,21,87,89,98%
Jordi Alba,18,"95'13""",3,-,-,1,7,10,2,1,28,11,,4,-,7,3,4,46,51,25,27,74,82,90%
Xavi Hernández,6,"40'38""",-,2,2,2,10,-,4,8,6,5,8,,4,1,1,1,33,34,18,19,52,54,96%
Adriano 21,,"13'34""",-,-,1,-,2,-,2,-,-,1,-,4,,-,0,0,7,7,3,3,10,10,100%
Jérémy Mathieu 24,,"19'39""",1,-,3,-,1,-,-,-,1,3,5,2,-,,0,0,14,14,2,2,16,16,100%
Total passes received:,,,11,55,69,55,80,42,25,80,61,78,74,51,13,12,37,51,436 465 233 262,,,,706,778,91%
,,,,,,,,,,,,,,,,,,,,,,,,00:15:16CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Apr 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
