Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 1st leg - Tuesday 14 April 2015,,,,,,,,,,,,,,,,,,,,,,,,
Estadio Vicente Calderón - Madrid,,,,,,,,,,,,,,,,,,,,,,,,
Club Atlético de Madrid,,,,,,,,,,0 - 0,,,,,,,Real Madrid CF,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,3,4,6,7,9,10,14,20,23,8,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Jan Oblak,13,"93'18""",,-,-,-,-,-,7,-,-,-,1,2,-,9,18,1,1,0,0,10,19,53%
Diego Godín,2,"93'18""",-,,-,3,1,1,-,1,2,1,-,-,-,0,3,8,9,1,2,9,14,64%
Guilherme Siqueira,3,"93'18""",-,-,,1,6,2,1,1,1,-,-,-,1,1,2,6,7,6,8,13,17,76%
Mario Suárez,4,"93'18""",-,1,3,,4,6,2,-,3,4,2,2,1,2,4,16,18,10,12,28,34,82%
Koke,6,"82'44""",-,-,5,2,,3,2,12,1,2,-,-,-,1,5,13,18,13,15,27,38,71%
Antoine Griezmann,7,"76'36""",-,-,2,2,6,,1,2,2,1,-,-,-,0,2,8,8,8,15,16,25,64%
Mario Mandžukić,9,"93'18""",-,-,2,1,5,4,,5,-,2,-,-,-,0,0,8,12,11,12,19,24,79%
Arda Turan,10,"93'18""",-,2,1,5,12,2,-,,8,5,-,-,-,2,3,14,19,19,23,35,45,78%
Gabi,14,"93'18""",-,3,1,2,5,7,3,5,,9,2,4,-,1,2,28,33,12,15,41,50,82%
Juanfran,20,"93'18""",-,-,-,2,2,1,3,7,6,,1,1,-,2,3,11,15,10,12,23,30,77%
Miranda,23,"93'18""",2,1,-,1,-,1,-,3,4,-,,-,1,2,4,7,7,4,4,13,15,87%
Raúl García,8,"16'43""",-,-,-,-,-,-,1,1,2,1,-,,-,0,0,3,4,2,3,5,7,71%
Fernando Torres 19,,"10'34""",-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,2,7,14,19,41,27,20,37,29,25,6,9,3,20,46,123 151,,96,121,239,318,75%
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,7,8,9,10,11,12,15,19,17,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,1,"93'18""",,1,2,-,1,1,1,-,1,1,-,-,1,4,10,5,5,0,0,9,15,60%
Raphaël Varane,2,"93'18""",4,,6,-,7,2,1,1,2,4,5,-,-,6,6,17,17,9,12,32,35,91%
Sergio Ramos,4,"93'18""",-,5,,1,16,-,11,4,13,-,4,-,-,3,7,41,43,10,13,54,63,86%
Cristiano Ronaldo,7,"93'18""",-,-,-,,2,6,5,3,5,1,1,-,-,0,0,11,13,12,15,23,28,82%
Toni Kroos,8,"93'18""",-,-,10,4,,3,14,-,5,15,14,1,1,16,16,40,41,11,14,67,71,94%
Karim Benzema,9,"75'25""",-,-,2,7,2,,6,2,5,4,2,-,-,2,3,16,19,12,19,30,41,73%
James Rodríguez,10,"93'18""",-,1,8,7,6,6,,1,17,4,4,-,-,4,8,34,37,16,19,54,64,84%
Gareth Bale,11,"93'18""",-,1,-,2,-,1,1,,2,5,6,-,-,0,0,12,18,6,9,18,27,67%
Marcelo,12,"93'18""",-,-,7,6,8,7,16,2,,2,3,-,2,4,4,30,36,19,21,53,61,87%
Dani Carvajal,15,"84'23""",1,7,1,3,2,5,4,10,-,,21,-,-,2,3,38,39,14,18,54,60,90%
Luka Modrić,19,"93'18""",1,4,6,2,14,6,7,4,1,18,,1,1,6,10,46,51,13,16,65,77,84%
Álvaro Arbeloa 17,,"8'56""",-,1,-,-,-,-,-,-,-,-,-,,-,0,0,1,1,0,1,1,2,50%
Isco 23,,"17'54""",-,-,-,-,1,-,-,3,-,-,-,-,,0,0,2,2,2,2,4,4,100%
Total passes received:,,,6,20,42,32,59,37,66,30,51,54,60,2,5,47,67,293 322 124 159,,,,464,548,85%
,,,,,,,,,,,,,,,,,,,,,,,,01:07:58CET
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,15 Apr 2015
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
