Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 1st leg - Wednesday 15 April 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,3 - 1,,,,,,FC Bayern München,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,4,6,7,8,9,16,26,30,15,17,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,"94'15""",,2,1,3,-,-,-,1,-,1,-,-,1,-,3,7,6,7,0,0,9,14,64%
Danilo,2,"94'15""",1,,1,5,1,7,-,-,3,-,2,-,-,-,2,3,11,14,7,8,20,25,80%
Bruno Martins Indi,3,"94'15""",8,-,,3,3,-,1,-,-,5,2,-,1,2,3,4,17,19,5,5,25,28,89%
Maicon,4,"94'15""",3,5,4,,1,1,-,3,-,5,1,-,-,-,11,15,12,13,0,1,23,29,79%
Casemiro,6,"94'15""",1,3,4,1,,2,1,1,1,4,1,-,1,-,2,5,13,15,5,8,20,28,71%
Ricardo Quaresma,7,"85'01""",-,7,1,2,-,,-,1,2,2,3,-,-,-,2,2,11,13,5,5,18,20,90%
Yacine Brahimi,8,"80'11""",-,-,-,-,3,2,,1,2,-,6,-,-,-,0,0,8,9,6,7,14,16,88%
Jackson Martínez,9,"94'15""",-,1,-,-,-,-,1,,2,1,4,-,-,1,1,1,7,11,2,5,10,17,59%
Hector Herrera,16,"94'15""",-,4,-,2,2,3,-,1,,1,3,-,1,1,2,3,9,10,7,9,18,22,82%
Alex Sandro,26,"94'15""",1,-,3,1,1,-,5,5,2,,3,-,-,1,2,3,13,16,7,8,22,27,81%
Óliver Torres,30,"75'25""",-,6,6,1,4,4,5,3,3,5,,-,-,-,6,6,21,23,10,11,37,40,92%
Evandro 15,,"9'14""",-,-,-,-,1,-,-,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,100%
Hernâni 17,,"14'04""",-,-,-,-,-,-,-,-,2,-,-,-,,1,0,0,2,2,1,1,3,3,100%
Rúben Neves 36,,"18'50""",-,-,2,-,-,-,-,3,-,-,-,-,-,,0,1,4,5,1,3,5,9,56%
Total passes received:,,,14,28,22,18,16,19,13,19,17,24,25,0,4,6,34,50,135 158,,56,71,225,279,81%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,6,9,13,17,18,19,21,25,20,28,PC,PA,PC,PA,PC,PA,PC,PA,%,
Manuel Neuer,1,"94'15""",,2,8,1,1,4,7,1,-,1,2,-,2,8,13,19,19,2,2,29,34,85%,
Xabi Alonso,3,"74'15""",5,,7,14,2,2,6,5,11,5,2,4,-,5,5,40,41,18,18,63,64,98%,
Dante,4,"94'15""",13,8,,11,3,3,8,15,9,6,1,5,7,3,6,68,73,18,20,89,99,90%,
Thiago Alcántara,6,"94'15""",-,10,8,,2,7,4,15,9,7,3,4,1,8,11,40,44,22,24,70,79,89%,
Robert Lewandowski,9,"94'15""",-,-,1,4,,-,1,3,1,3,-,-,1,0,1,9,11,5,6,14,18,78%,
Rafinha,13,"94'15""",1,2,4,5,-,,9,1,1,8,3,-,4,2,3,31,33,5,7,38,43,88%,
Jérôme Boateng,17,"94'15""",5,5,22,6,2,9,,2,2,3,-,4,1,6,9,48,54,7,8,61,71,86%,
Juan Bernat,18,"94'15""",1,3,12,11,3,2,2,,2,3,1,10,-,1,1,37,39,12,13,50,53,94%,
Mario Götze,19,"57'00""",-,4,6,9,3,3,1,3,,-,7,-,-,1,2,11,12,24,28,36,42,86%,
Philipp Lahm,21,"94'15""",1,5,5,6,1,7,9,-,4,,2,3,1,0,0,30,33,14,16,44,49,90%,
Thomas Müller,25,"94'15""",1,1,-,3,4,-,-,1,3,1,,-,1,0,1,8,8,7,10,15,19,79%,
Sebastian Rode 20,,"37'15""",-,2,4,7,3,2,3,6,-,-,1,,3,3,4,17,19,11,12,31,35,89%,
Holger Badstuber 28,,"20'00""",2,-,1,4,-,6,1,1,-,5,-,3,,0,2,20,21,3,3,23,26,88%,
Total passes received:,,,29,42,78,81,24,45,51,53,42,42,22,33,21,37,58,378 407 148 167,,,,563,632,89%,
,,,,,,,,,,,,,,,,,,,,,,,,00:37:00CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Apr 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
