Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 1st leg - Tuesday 14 April 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,1 - 0,,,,,,,AS Monaco FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,8,9,10,19,21,23,26,33,37,15,27,32,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"93'13""",,7,2,-,-,7,4,1,4,1,1,1,-,1,8,9,18,18,3,3,29,30,97%
Giorgio Chiellini,3,"93'13""",7,,4,1,7,7,19,8,1,14,5,1,-,-,10,11,46,52,18,19,74,82,90%
Claudio Marchisio,8,"93'13""",-,3,,9,6,8,13,2,8,6,3,1,-,-,6,10,42,44,11,13,59,67,88%
Álvaro Morata,9,"82'17""",-,1,4,,4,-,1,5,3,-,5,-,-,-,0,0,13,16,10,13,23,29,79%
Carlos Tévez,10,"93'13""",-,5,5,6,,4,2,12,4,10,3,-,-,-,3,3,32,33,16,19,51,55,93%
Leonardo Bonucci,19,"93'13""",3,14,6,2,4,,10,5,6,1,1,2,-,-,5,8,42,44,7,7,54,59,92%
Andrea Pirlo,21,"73'51""",-,8,10,1,6,10,,11,9,3,6,-,-,-,12,13,49,54,3,3,64,70,91%
Arturo Vidal,23,"93'13""",-,8,6,1,16,5,5,,6,7,3,-,-,-,2,3,40,45,15,16,57,64,89%
Stephan Lichtsteiner,26,"93'13""",1,-,11,2,1,5,3,2,,-,6,1,-,-,1,5,19,23,12,14,32,42,76%
Patrice Evra,33,"93'13""",1,10,2,4,6,-,9,15,-,,6,-,2,-,0,1,40,43,15,19,55,63,87%
Roberto Pereyra,37,"86'46""",-,1,8,3,5,-,1,5,3,7,,-,-,1,1,2,20,24,13,14,34,40,85%
Andrea Barzagli 15,,"19'22""",-,-,-,-,3,-,-,-,3,-,-,,-,1,1,1,6,6,0,0,7,7,100%
Stefano Sturaro 27,,"6'27""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,1,0,0,0,1,0%
Alessandro Matri 32,,"10'56""",-,-,-,-,2,-,-,-,-,-,-,-,-,,0,0,1,2,1,1,2,3,67%
Total passes received:,,,12,57,58,29,60,46,67,66,47,49,39,6,2,3,49,66,368 405 124 141,,,,541,612,88%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,5,6,7,8,17,22,23,24,9,12,15,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,"93'13""",,1,6,2,1,1,1,2,-,1,2,-,-,-,10,18,7,7,0,0,17,25,68%
Fabinho,2,"93'13""",-,,1,2,-,-,8,1,5,4,4,-,1,1,4,5,20,21,3,3,27,29,93%
Layvin Kurzawa,3,"93'13""",1,2,,7,1,-,-,9,8,2,-,-,-,-,2,2,19,22,9,10,30,34,88%
Aymen Abdennour,5,"93'13""",3,1,5,,5,-,-,3,4,1,1,1,-,-,4,5,20,21,0,0,24,26,92%
Ricardo Carvalho,6,"93'13""",1,5,-,1,,-,4,-,-,-,3,-,-,-,2,2,9,10,3,3,14,15,93%
Nabil Dirar,7,"50'42""",-,-,-,-,-,,2,1,2,-,4,-,-,-,0,2,7,9,2,3,9,14,64%
João Moutinho,8,"93'13""",-,5,3,2,-,3,,-,8,8,1,1,1,4,1,2,28,31,7,11,36,44,82%
Ferreira-Carrasco,17,"93'13""",-,-,4,3,-,-,-,,8,4,-,1,-,1,3,3,12,16,6,9,21,28,75%
Geoffrey Kondogbia,22,"93'13""",-,2,9,1,1,4,2,8,,3,3,-,-,3,2,3,24,29,10,13,36,45,80%
Anthony Martial,23,"86'26""",-,4,1,-,-,-,6,3,1,,-,-,-,2,0,0,6,7,11,16,17,23,74%
Andrea Raggi,24,"70'37""",3,2,-,-,2,3,2,-,-,-,,-,-,3,1,4,8,8,6,6,15,18,83%
Dimitar Berbatov,9,"22'36""",-,-,1,-,-,-,-,-,1,-,-,,-,-,0,0,2,4,0,1,2,5,40%
Matheus Carvalho 12,,"6'47""",-,-,-,-,-,-,-,-,2,-,-,-,,-,0,0,1,2,1,1,2,3,67%
Bernardo Silva 15,,"42'31""",-,1,-,-,1,-,5,2,-,2,2,1,-,,2,2,6,6,6,8,14,16,88%
Total passes received:,,,8,23,30,18,11,11,30,29,39,25,20,4,2,14,31,48,169 193,,64,84,264,325,81%
,,,,,,,,,,,,,,,,,,,,,,,,00:43:47CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,15 Apr 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
