Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 2nd leg - Wednesday 22 April 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Stade Louis II - Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Monaco FC,,,,,,,,,0 - 0,,,,,,,,Juventus,,,,,,,
,,,,,,,,Juventus win 1 - 0 on aggregate,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,5,8,15,17,22,23,24,28,9,12,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,"95'06""",,1,2,5,2,-,-,-,1,3,1,-,-,-,3,10,12,12,0,0,15,22,68%
Fabinho,2,"95'06""",3,,-,2,11,15,3,5,2,2,2,-,-,-,3,7,27,31,15,19,45,57,79%
Layvin Kurzawa,3,"95'06""",1,4,,9,3,2,5,12,-,-,7,1,-,-,4,6,23,29,17,21,44,56,79%
Aymen Abdennour,5,"95'06""",8,4,12,,3,1,-,3,4,12,2,-,-,-,15,18,30,30,4,4,49,52,94%
João Moutinho,8,"95'06""",-,12,7,5,,6,2,6,3,3,6,1,-,1,4,6,29,32,19,23,52,61,85%
Bernardo Silva,15,"95'06""",-,10,4,3,9,,5,3,2,1,1,1,-,-,5,5,16,18,18,21,39,44,89%
Ferreira-Carrasco,17,"87'50""",-,3,5,-,1,6,,2,-,-,3,-,-,-,1,1,6,7,13,14,20,22,91%
Geoffrey Kondogbia,22,"95'06""",-,4,10,2,8,3,1,,5,3,5,2,-,-,2,3,27,32,14,18,43,53,81%
Anthony Martial,23,"76'19""",-,-,7,-,3,2,2,4,,-,1,1,-,-,0,1,10,10,10,10,20,21,95%
Andrea Raggi,24,"95'06""",4,11,2,4,3,1,-,-,3,,3,1,-,-,9,10,19,19,4,4,32,33,97%
Jérémy Toulalan,28,"46'01""",1,3,8,6,2,4,5,2,4,3,,-,-,-,4,6,30,32,4,5,38,43,88%
Dimitar Berbatov,9,"49'05""",-,1,-,-,1,-,-,1,1,-,-,,-,-,1,1,2,5,1,5,4,11,36%
Matheus Carvalho 12,,"7'16""",-,-,-,-,1,-,-,-,-,-,-,1,,-,0,0,1,1,1,2,2,3,67%
Valère Germain 18,,"18'47""",-,-,-,-,-,-,1,-,-,-,-,-,-,,0,0,1,1,0,1,1,2,50%
Total passes received:,,,17,53,57,36,47,40,24,38,25,27,31,8,0,1,51,74,233 259 120 147,,,,404,480,84%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,8,9,10,15,19,21,23,26,33,14,20,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"95'06""",,4,-,-,-,1,1,4,4,1,-,2,-,-,7,11,10,10,0,0,17,21,81%
Giorgio Chiellini,3,"95'06""",1,,1,1,2,-,4,8,7,-,7,1,1,-,2,3,20,23,11,11,33,37,89%
Claudio Marchisio,8,"95'06""",-,2,,2,3,3,1,3,1,9,-,3,-,-,1,2,18,21,8,11,27,34,79%
Álvaro Morata,9,"69'12""",-,-,2,,1,1,-,3,2,2,2,-,-,-,0,0,8,10,5,14,13,24,54%
Carlos Tévez,10,"95'06""",-,1,8,2,,1,1,4,5,2,3,-,-,1,1,1,19,23,8,11,28,35,80%
Andrea Barzagli,15,"95'06""",1,-,3,1,1,,5,5,2,5,-,-,-,-,1,2,16,19,6,7,23,28,82%
Leonardo Bonucci,19,"95'06""",1,6,2,3,2,1,,2,4,4,-,-,-,1,7,9,15,18,4,5,26,32,81%
Andrea Pirlo,21,"95'06""",-,5,5,5,13,5,2,,3,-,4,-,1,1,4,9,29,33,11,17,44,59,75%
Arturo Vidal,23,"77'44""",1,10,-,4,9,1,5,3,,1,7,1,-,-,3,6,30,33,9,12,42,51,82%
Stephan Lichtsteiner,26,"95'06""",-,-,5,3,3,1,-,5,-,,-,-,-,3,0,0,13,17,7,8,20,25,80%
Patrice Evra,33,"91'01""",1,3,3,2,-,-,2,2,6,-,,1,-,-,0,0,12,14,8,9,20,23,87%
Fernando Llorente 14,,"25'54""",-,-,1,-,3,-,-,1,2,2,1,,-,-,0,0,6,7,4,5,10,12,83%
Simone Padoin 20,,"4'05""",-,1,-,-,-,-,-,-,-,-,-,-,,-,0,0,1,1,0,0,1,1,100%
Roberto Pereyra 37,,"17'22""",-,-,-,-,1,1,-,1,-,4,-,1,-,,0,0,4,4,4,5,8,9,89%
Total passes received:,,,5,32,30,23,38,15,21,41,36,30,24,9,2,6,26,43,201 233,,85,115,312,391,80%
,,,,,,,,,,,,,,,,,,,,,,,,00:17:19CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,23 Apr 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
