Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 2nd leg - Tuesday 21 April 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,2 - 0,,,,,,,Paris Saint-Germain,,,,,,,,
,,,,,,,,FC Barcelona win 5 - 1 on aggregate,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,8,9,10,11,14,18,22,6,7,20,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,"93'09""",,6,2,1,-,1,-,1,9,8,1,1,-,-,9,11,16,16,5,5,30,32,94%
Gerard Piqué,3,"93'09""",7,,4,-,-,1,4,-,9,2,9,3,-,4,7,9,33,35,3,3,43,47,91%
Ivan Rakitić,4,"93'09""",2,11,,3,2,3,19,1,3,3,18,4,-,3,5,7,46,49,21,21,72,77,94%
Sergio Busquets,5,"55'23""",-,-,6,,1,3,5,1,4,4,8,2,-,-,4,4,18,19,12,13,34,36,94%
Andrés Iniesta,8,"46'00""",-,6,2,5,,5,2,4,2,15,2,-,-,-,4,4,22,25,17,17,43,46,93%
Luis Suárez,9,"75'19""",-,-,5,1,3,,3,3,-,1,6,-,-,-,1,2,8,11,13,16,22,29,76%
Lionel Messi,10,"93'09""",-,3,4,1,7,4,,5,1,3,20,8,1,3,4,5,22,24,34,38,60,67,90%
Neymar,11,"93'09""",-,1,1,1,4,3,4,,3,13,-,5,6,1,2,2,20,23,20,29,42,54,78%
Javier Mascherano,14,"93'09""",6,4,8,1,3,-,3,1,,17,6,8,2,4,12,12,44,44,7,8,63,64,98%
Jordi Alba,18,"93'09""",1,1,1,4,21,-,3,25,13,,2,13,2,1,3,4,40,44,44,48,87,96,91%
Daniel Alves,22,"93'09""",-,8,17,7,3,3,25,1,-,1,,2,1,3,1,3,38,45,32,35,71,83,86%
Xavi Hernández,6,"47'08""",-,2,7,3,-,1,4,11,6,11,2,,2,8,0,0,39,40,18,19,57,59,97%
Pedro Rodríguez,7,"17'50""",-,-,3,-,-,-,1,2,-,2,1,6,,1,0,0,8,11,8,9,16,20,80%
Sergi Roberto 20,,"37'45""",-,1,6,-,-,-,-,1,6,4,3,5,4,,2,2,19,20,9,9,30,31,97%
Total passes received:,,,16,43,66,27,44,24,73,56,56,84,78,57,18,28,54,65,373,406 243 270,,,670,741,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,4,5,9,10,14,17,23,24,27,32,7,22,25,PC,PA,PC,PA,PC,PA,PC,PA,%
Salvatore Sirigu,30,"93'09""",,-,2,-,-,-,5,1,4,1,4,-,-,-,1,3,14,14,2,2,17,19,89%
Yohan Cabaye,4,"66'54""",-,,5,4,4,1,3,4,13,3,4,-,-,-,2,3,17,17,22,23,41,43,95%
Marquinhos,5,"93'09""",6,5,,1,2,-,2,6,9,4,6,-,-,-,4,5,26,27,11,12,41,44,93%
Edinson Cavani,9,"80'08""",-,6,-,,4,5,2,3,4,1,1,-,-,-,1,1,11,12,14,17,26,30,87%
Zlatan Ibrahimović,10,"93'09""",-,5,-,3,,2,8,4,5,7,4,2,1,-,2,3,24,27,15,19,41,49,84%
Blaise Matuidi,14,"80'19""",-,-,1,1,3,,6,-,9,9,1,2,-,-,1,1,11,15,20,22,32,38,84%
Maxwell,17,"93'09""",1,1,-,-,10,7,,-,9,12,3,3,-,-,1,3,22,22,23,27,46,52,88%
Gregory van der Wiel,23,"93'09""",1,4,7,2,1,2,1,,9,8,2,1,-,-,1,1,20,24,17,18,38,43,88%
Marco Verratti,24,"93'09""",-,13,5,2,12,15,8,3,,24,6,2,1,2,5,7,62,66,26,28,93,101,92%
Javier Pastore,27,"93'09""",-,4,6,5,3,4,8,11,15,,2,4,3,-,2,6,31,35,32,39,65,80,81%
David Luiz,32,"93'09""",4,4,7,2,3,1,7,-,6,5,,1,2,-,5,8,30,32,7,8,42,48,88%
Lucas,7,"26'15""",-,-,-,2,3,1,2,1,1,-,-,,-,2,0,0,8,9,4,4,12,13,92%
Ezequiel Lavezzi 22,,"13'00""",-,-,-,-,1,-,1,-,-,1,-,-,,1,0,0,1,1,3,4,4,5,80%
Adrien Rabiot 25,,"12'49""",-,-,1,-,-,-,-,-,2,2,2,1,-,,0,0,5,5,3,3,8,8,100%
Total passes received:,,,12,42,34,22,46,38,53,33,86,77,35,16,7,5,25,41,282 306 199 226,,,,506,573,88%
,,,,,,,,,,,,,,,,,,,,,,,,00:35:23CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Apr 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
