Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter-finals 2nd leg - Wednesday 22 April 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,1 - 0,,,,,,Club Atlético de Madrid,,,,,,,,,
,,,,,,,Real Madrid CF win 1 - 0 on aggregate,,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,5,7,8,10,14,15,23,17,20,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,1,"95'41""",,5,4,1,-,2,-,1,-,2,2,-,-,-,8,11,8,8,1,1,17,20,85%
Raphaël Varane,2,"95'41""",5,,9,4,10,2,8,1,2,7,8,-,-,1,8,9,45,45,4,4,57,58,98%
Pepe,3,"95'41""",3,9,,9,1,2,11,5,1,9,2,-,-,-,10,12,33,33,9,9,52,54,96%
Sergio Ramos,4,"95'41""",1,9,6,,4,4,7,9,-,10,7,-,-,-,9,11,38,42,10,12,57,65,88%
Fábio Coentrão,5,"91'25""",-,8,2,3,,8,7,-,3,-,16,-,-,-,3,4,30,32,14,14,47,50,94%
Cristiano Ronaldo,7,"95'41""",-,-,1,1,2,,2,4,4,3,7,-,-,-,0,0,12,14,12,14,24,28,86%
Toni Kroos,8,"95'41""",-,5,6,6,5,4,,8,2,9,14,-,-,-,16,16,39,40,4,5,59,61,97%
James Rodríguez,10,"95'41""",-,-,2,9,3,8,4,,7,7,2,-,-,-,4,5,30,33,8,9,42,47,89%
Javier Hernández,14,"91'46""",-,-,1,-,3,3,-,4,,1,3,-,-,-,1,1,8,9,6,7,15,17,88%
Dani Carvajal,15,"95'41""",1,3,10,16,2,5,3,14,1,,1,-,-,-,1,1,40,41,15,17,56,59,95%
Isco,23,"93'28""",-,7,1,6,15,7,12,1,3,2,,-,-,-,3,5,37,40,14,14,54,59,92%
Álvaro Arbeloa 17,,"4'16""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Jesé 20,,"3'55""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Asier Illarramendi 24,,"2'13""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,10,46,42,55,45,45,54,47,23,50,62,0,0,1,63,75,320 337,,97,106,480,518,93%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,5,6,7,9,10,17,18,20,23,8,14,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Jan Oblak,13,"95'41""",,-,1,-,-,5,1,-,1,-,-,1,-,-,7,17,1,1,1,1,9,19,47%
Diego Godín,2,"95'41""",1,,3,2,-,-,-,-,-,-,-,-,-,-,0,2,3,4,3,3,6,9,67%
Tiago,5,"85'58""",1,1,,13,3,-,5,4,6,3,1,-,3,-,2,2,24,24,14,16,40,42,95%
Koke,6,"95'41""",-,-,7,,6,3,9,-,5,3,3,-,1,-,2,4,18,21,17,19,37,44,84%
Antoine Griezmann,7,"65'24""",-,-,4,2,,-,4,1,2,-,-,-,1,-,0,0,9,10,5,5,14,15,93%
Mario Mandžukić,9,"95'41""",-,-,1,-,2,,3,1,-,2,-,3,2,-,0,0,5,10,9,9,14,19,74%
Arda Turan,10,"75'51""",-,-,3,7,2,2,,1,3,2,-,3,2,-,0,0,10,11,15,20,25,31,81%
Saúl Ñíguez,17,"45'30""",-,-,-,-,-,1,-,,1,-,1,-,-,-,0,0,2,4,1,1,3,5,60%
Jesús Gámez,18,"95'41""",-,1,4,5,1,1,2,1,,-,1,-,-,-,1,3,8,12,7,7,16,22,73%
Juanfran,20,"95'41""",-,-,4,1,1,2,2,-,-,,2,1,1,-,0,1,4,5,10,10,14,16,88%
Miranda,23,"95'41""",1,2,2,-,1,2,1,-,-,2,,-,1,-,3,6,7,7,2,2,12,15,80%
Raúl García,8,"30'17""",-,-,-,1,-,3,1,-,-,1,-,,1,-,0,0,3,3,4,4,7,7,100%
Gabi 14,,"50'11""",-,2,2,3,2,-,1,-,-,-,-,1,,-,3,6,4,8,4,7,11,21,52%
José María Giménez 24,,"9'43""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,3,6,31,34,18,19,29,8,18,13,8,9,12,0,18,41,98,120,92,104,208,265,78%
,,,,,,,,,,,,,,,,,,,,,,,,00:24:29CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,23 Apr 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
