Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Wednesday 25 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal Stadium - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,,,,1 - 3,,,,,,,AS Monaco FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,3,4,6,11,12,17,19,23,34,39,7,14,15,PC,PA,PC,PA,PC,PA,PC,PA,%
David Ospina,13,"95'49""",,1,5,4,-,-,1,-,-,-,-,-,-,1,2,5,6,6,4,4,12,15,80%
Kieran Gibbs,3,"95'49""",2,,-,5,5,3,10,6,1,6,-,-,-,3,1,1,24,26,16,16,41,43,95%
Per Mertesacker,4,"95'49""",3,-,,23,7,-,1,14,-,7,8,2,2,1,0,0,57,58,11,11,68,69,99%
Laurent Koscielny,6,"95'49""",2,4,10,,6,-,3,12,1,6,1,1,1,4,4,5,41,41,6,6,51,52,98%
Mesut Özil,11,"95'49""",-,5,2,-,,4,10,9,6,11,3,-,2,4,2,2,31,35,23,26,56,63,89%
Olivier Giroud,12,"60'36""",-,-,-,-,1,,1,4,-,2,-,-,-,-,0,0,2,5,6,8,8,13,62%
Alexis Sánchez,17,"95'49""",-,5,-,2,12,3,,6,1,3,1,-,1,1,3,8,20,28,12,17,35,53,66%
Santi Cazorla,19,"82'17""",1,8,10,6,7,2,10,,6,11,3,-,1,2,5,6,42,45,20,23,67,74,91%
Danny Welbeck,23,"95'49""",-,4,-,-,4,-,2,1,,1,3,1,-,-,0,0,11,13,5,6,16,19,84%
Francis Coquelin,34,"68'50""",-,6,11,4,10,1,6,9,2,,3,-,-,-,7,7,31,31,14,17,52,55,95%
Héctor Bellerín,39,"95'49""",-,-,9,-,4,1,1,1,1,-,,2,1,2,2,4,12,14,8,10,22,28,79%
Tomáš Rosický,7,"13'32""",-,1,-,-,-,-,-,-,1,-,3,,-,1,1,2,0,0,5,5,6,7,86%
Theo Walcott 14,,"35'13""",-,-,-,-,2,-,1,-,-,-,1,-,,1,0,0,4,5,1,2,5,7,71%
Oxlade-Chamberlain 15,,"26'59""",-,1,1,-,3,-,2,2,-,-,1,-,2,,4,4,7,12,1,2,12,18,67%
Total passes received:,,,8,35,49,44,62,14,48,64,19,47,28,6,10,20,31,44,288 319 132 153,,,,451,516,87%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,5,7,8,9,13,21,22,23,38,3,15,17,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,"95'49""",,-,-,-,1,1,-,-,-,-,-,1,-,-,3,3,0,0,0,0,3,3,100%
Fabinho,2,"95'49""",1,,3,5,9,1,3,4,3,5,1,-,-,2,6,7,24,26,7,7,37,40,92%
Aymen Abdennour,5,"95'49""",2,1,,-,2,1,7,7,3,-,-,-,-,-,2,4,18,20,3,3,23,27,85%
Nabil Dirar,7,"82'23""",1,4,-,,7,2,4,-,1,2,5,-,-,2,2,3,15,17,11,12,28,32,88%
João Moutinho,8,"95'49""",-,6,3,10,,2,-,2,10,3,6,1,1,1,3,5,24,28,18,19,45,52,87%
Dimitar Berbatov,9,"76'08""",-,4,3,4,6,,-,4,3,2,1,-,-,-,0,0,14,15,13,16,27,31,87%
Wallace,13,"95'49""",5,4,4,1,2,-,,1,4,-,7,-,-,-,1,2,23,24,4,4,28,30,93%
Elderson,21,"95'49""",2,2,2,-,2,5,1,,1,3,-,1,-,2,0,2,16,19,5,6,21,27,78%
Geoffrey Kondogbia,22,"95'49""",-,3,6,3,6,7,4,8,,4,-,1,1,1,1,1,30,30,14,16,45,47,96%
Anthony Martial,23,"84'59""",-,2,-,3,2,2,-,3,3,,1,-,-,1,2,3,11,13,4,5,17,21,81%
Almamy Tourè,38,"95'49""",2,3,1,2,3,3,3,-,3,1,,-,-,-,2,3,16,16,3,4,21,23,91%
Layvin Kurzawa,3,"13'27""",-,-,-,-,-,-,-,-,1,-,-,,-,-,0,0,0,0,1,1,1,1,100%
Bernardo Silva 15,,"10'50""",-,1,-,-,-,-,-,-,-,-,-,-,,3,0,0,1,2,3,3,4,5,80%
Ferreira-Carrasco 17,,"19'41""",-,-,-,-,4,-,-,2,3,1,1,-,2,,3,3,3,3,7,7,13,13,100%
Total passes received:,,,13,30,22,28,44,25,22,31,35,21,22,4,4,12,25,36,195 213,,93,103,313,352,89%
,,,,,,,,,,,,,,,,,,,,,,,,01:38:17CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
