Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Wednesday 18 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
St. Jakob-Park - Basel,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Basel 1893,,,,,,,,,1 - 1,,,,,,,,FC Porto,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,6,7,9,11,17,19,20,25,33,34,24,36,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,"98'56""",,4,1,-,-,7,-,1,-,-,1,-,-,1,4,5,9,9,2,3,15,17,88%
Walter Samuel,6,"98'56""",4,,2,-,2,10,1,6,-,4,3,-,1,2,6,8,23,24,6,7,35,39,90%
Luca Zuffi,7,"98'56""",-,1,,1,2,-,2,4,-,2,-,-,-,3,0,1,10,12,5,6,15,19,79%
Marco Streller,9,"67'28""",-,-,3,,1,-,-,1,-,2,1,-,-,-,0,0,3,6,5,5,8,11,73%
Shkelzen Gashi,11,"87'20""",-,-,1,-,,1,1,3,-,1,-,-,1,-,0,1,7,8,1,3,8,12,67%
Marek Suchý,17,"98'56""",4,10,1,3,-,,1,7,-,9,7,-,-,2,2,6,37,39,5,5,44,50,88%
Behrang Safari,19,"98'56""",2,10,-,-,1,-,,2,-,1,-,-,-,-,1,1,10,12,5,5,16,18,89%
Fabian Frei,20,"98'56""",1,5,4,1,3,6,4,,3,3,6,-,1,2,7,7,25,28,7,8,39,43,91%
Derlis Gonzalez,25,"24'10""",-,-,-,1,-,-,-,-,,-,2,-,-,-,1,1,2,2,0,0,3,3,100%
Mohamed Elneny,33,"98'56""",-,1,4,1,2,3,3,7,-,,6,-,4,2,2,3,22,23,9,10,33,36,92%
Taulant Xhaka,34,"98'56""",1,-,-,2,-,12,-,1,1,3,,-,-,5,1,1,17,18,7,9,25,28,89%
Ahmed Hamoudi 24,,"11'37""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Breel Embolo 36,,"31'29""",-,-,-,-,-,-,-,1,-,1,-,-,,1,0,0,1,1,2,3,3,4,75%
Davide Calla 39,,"74'46""",-,-,1,1,-,1,-,1,-,3,4,-,-,,0,3,8,9,3,7,11,19,58%
Total passes received:,,,12,31,18,10,11,41,13,34,4,30,30,0,7,18,24,37,174 191,,57,71,255,299,85%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,4,5,6,8,9,11,16,26,30,7,10,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,"98'56""",,-,2,12,1,-,-,-,2,-,1,1,-,-,0,0,18,18,1,1,19,19,100%
Danilo,2,"98'56""",3,,3,7,2,1,4,7,7,2,3,4,-,4,12,17,32,35,4,5,48,57,84%
Maicon,4,"98'56""",4,18,,9,1,2,1,1,5,4,1,1,1,1,10,13,36,37,3,3,49,53,92%
Iván Marcano,5,"98'56""",6,3,16,,7,2,5,-,2,22,11,-,-,3,10,15,62,63,5,6,77,84,92%
Casemiro,6,"98'56""",-,8,6,14,,2,-,2,5,5,4,2,1,4,8,10,38,42,7,8,53,60,88%
Yacine Brahimi,8,"65'24""",-,2,-,2,2,,1,1,2,5,7,-,-,-,0,0,12,14,10,11,22,25,88%
Jackson Martínez,9,"98'56""",-,1,-,-,-,1,,-,7,1,-,5,-,1,3,4,7,9,6,8,16,21,76%
Cristian Tello,11,"85'36""",-,7,-,1,4,-,-,,7,-,2,1,-,-,4,4,13,13,5,8,22,25,88%
Hector Herrera,16,"98'56""",1,9,1,4,3,1,3,8,,2,13,2,1,-,10,11,29,35,9,12,48,58,83%
Alex Sandro,26,"98'56""",2,1,2,12,3,12,3,5,5,,10,2,-,2,3,5,48,50,8,8,59,63,94%
Óliver Torres,30,"72'38""",-,5,2,7,8,11,5,4,3,9,,1,-,-,9,11,32,32,14,15,55,58,95%
Ricardo Quaresma,7,"33'32""",1,4,3,-,2,-,-,-,1,-,-,,2,-,2,2,8,9,3,3,13,14,93%
Juan Quintero 10,,"13'21""",-,1,-,-,2,-,-,-,1,1,-,2,,-,1,1,3,3,3,3,7,7,100%
Rúben Neves 36,,"26'18""",1,1,1,1,5,-,-,1,2,2,-,2,1,,4,4,9,9,4,5,17,18,94%
Total passes received:,,,18,60,36,69,40,32,22,30,49,53,52,23,6,15,76,97,347 369,,82,96,505,562,90%
,,,,,,,,,,,,,,,,,,,,,,,,00:17:48CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,19 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
