Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Wednesday 25 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
BayArena - Leverkusen,,,,,,,,,,,,,,,,,,,,,,,,,
Bayer 04 Leverkusen,,,,,,,,,,1 - 0,,,,,,Club Atlético de Madrid,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,7,8,9,10,13,14,18,27,38,6,11,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,"96'08""",,4,-,-,2,1,3,-,1,1,1,-,-,-,4,6,9,9,0,0,13,15,87%
Emir Spahić,5,"96'08""",7,,2,2,3,8,3,6,5,14,-,3,-,-,2,5,36,40,15,15,53,60,88%
Son Heung-Min,7,"96'08""",-,-,,4,1,8,3,1,6,5,6,5,-,-,0,0,12,14,27,28,39,42,93%
Lars Bender,8,"70'15""",-,2,3,,3,6,5,2,2,6,4,-,-,-,2,3,11,11,20,22,33,36,92%
Josip Drmić,9,"82'55""",-,-,4,2,,8,-,-,-,1,3,1,-,-,0,2,10,12,9,14,19,28,68%
Hakan Çalhanoğlu,10,"89'51""",-,5,8,5,6,,2,2,2,9,6,1,-,-,1,1,23,26,22,26,46,53,87%
Roberto Hilbert,13,"96'08""",2,2,4,4,1,4,,7,1,14,5,1,-,-,4,7,24,27,17,18,45,52,87%
Papadopoulos,14,"96'08""",3,8,2,4,-,3,8,,-,9,1,2,-,-,3,4,24,24,13,13,40,41,98%
Wendell,18,"96'08""",2,4,7,-,2,5,-,-,,4,1,1,1,-,1,3,16,19,10,12,27,34,79%
Gonzalo Castro,27,"96'08""",1,5,7,6,7,3,15,10,9,,11,3,1,-,9,13,55,59,14,16,78,88,89%
Karim Bellarabi,38,"96'08""",1,1,5,2,-,5,11,1,-,4,,-,1,1,2,2,11,13,19,22,32,37,86%
Simon Rolfes,6,"25'53""",-,4,3,-,-,1,1,1,1,3,1,,-,-,1,1,9,11,5,6,15,18,83%
Stefan Kiessling 11,,"13'13""",-,-,-,-,-,-,-,-,1,1,-,-,,1,0,0,0,0,3,3,3,3,100%
Julian Brandt 19,,"6'17""",-,-,-,-,-,-,1,-,-,1,-,-,-,,0,0,1,1,1,1,2,2,100%
Total passes received:,,,16,35,45,29,25,52,52,30,28,72,39,17,3,2,29,47,241 266 175 196,,,,445,509,87%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,5,7,9,10,14,17,20,23,8,18,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Miguel Ángel Moyà,1,"96'08""",,-,-,-,-,2,-,-,-,2,-,1,-,1,5,6,1,1,0,0,6,7,86%
Diego Godín,2,"96'08""",-,,1,-,4,-,-,1,1,-,-,-,-,-,1,2,4,7,2,3,7,12,58%
Guilherme Siqueira,3,"37'53""",-,-,,-,-,1,-,-,1,-,1,-,-,-,1,1,1,2,1,1,3,4,75%
Tiago,5,"78'52""",1,-,-,,5,1,5,5,1,3,1,-,-,-,3,4,10,12,9,9,22,25,88%
Antoine Griezmann,7,"96'08""",-,-,1,2,,2,2,4,-,3,-,1,-,-,1,1,9,9,5,10,15,20,75%
Mario Mandžukić,9,"96'08""",-,-,1,-,-,,2,2,-,1,-,-,1,1,0,0,4,11,4,6,8,17,47%
Arda Turan,10,"66'50""",-,1,-,2,2,2,,3,2,6,-,-,-,-,2,2,9,12,7,8,18,22,82%
Gabi,14,"96'08""",-,-,1,5,1,2,7,,1,3,-,1,1,-,1,2,13,19,8,12,22,33,67%
Saúl Ñíguez,17,"41'52""",-,-,-,-,1,4,2,1,,1,1,-,-,-,0,0,6,6,4,4,10,10,100%
Juanfran,20,"96'08""",-,-,-,-,1,1,7,4,-,,3,1,-,1,1,4,13,15,4,5,18,24,75%
Miranda,23,"96'08""",-,-,-,1,1,2,1,-,-,1,,1,-,-,2,3,5,6,0,1,7,10,70%
Raúl García,8,"54'17""",-,-,-,1,1,-,1,2,-,1,-,,-,1,0,1,3,7,4,4,7,12,58%
Jesús Gámez 18,,"58'16""",-,-,-,-,2,-,-,-,-,-,1,1,,-,0,0,3,3,1,2,4,5,80%
Fernando Torres 19,,"29'18""",-,-,-,-,-,1,-,-,-,-,-,2,-,,0,0,1,1,2,2,3,3,100%
Total passes received:,,,1,1,4,11,18,18,27,22,6,21,7,8,2,4,17,26,82,111,51,67,150,204,74%
,,,,,,,,,,,,,,,,,,,,,,,,01:20:39CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
