Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Tuesday 24 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,2 - 1,,,,,,,Borussia Dortmund,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,9,10,19,21,23,26,33,11,20,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"95'14""",,5,-,4,-,-,3,2,-,2,-,-,-,-,0,1,13,14,3,3,16,18,89%
Giorgio Chiellini,3,"95'14""",1,,7,6,2,6,18,3,5,1,9,-,-,-,3,5,45,46,10,11,58,62,94%
Paul Pogba,6,"95'14""",-,4,,4,2,4,3,4,3,1,7,-,-,2,3,3,23,24,8,9,34,36,94%
Claudio Marchisio,8,"95'14""",1,9,6,,2,-,12,-,5,3,3,-,-,-,4,5,33,34,4,6,41,45,91%
Álvaro Morata,9,"95'14""",-,-,2,-,,2,-,-,2,1,-,-,-,3,1,1,3,8,6,9,10,18,56%
Carlos Tévez,10,"90'48""",-,2,4,2,3,,1,1,1,1,3,-,-,-,2,2,11,12,5,12,18,26,69%
Leonardo Bonucci,19,"95'14""",4,18,5,5,4,3,,1,4,6,4,-,-,2,10,14,42,46,4,6,56,66,85%
Andrea Pirlo,21,"36'23""",-,3,2,4,3,2,1,,2,2,3,-,-,-,1,2,16,18,5,6,22,26,85%
Arturo Vidal,23,"88'02""",-,1,4,2,-,3,2,1,,6,2,-,-,2,0,1,15,17,8,9,23,27,85%
Stephan Lichtsteiner,26,"95'14""",2,1,-,3,1,-,3,2,8,,-,-,-,-,2,5,13,14,5,6,20,25,80%
Patrice Evra,33,"95'14""",-,7,5,1,3,3,-,2,1,-,,1,-,-,0,1,18,20,5,8,23,29,79%
Kingsley Coman 11,,"4'26""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Simone Padoin 20,,"7'13""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Roberto Pereyra 37,,"58'51""",-,-,1,2,1,1,-,-,-,2,-,-,-,,0,0,3,5,4,5,7,10,70%
Total passes received:,,,8,50,36,33,21,24,43,16,31,25,32,1,0,9,26,40,235 258,,67,90,328,388,85%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,8,9,10,11,15,17,18,25,26,29,16,21,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Roman Weidenfeller,1,"95'14""",,2,-,-,2,1,1,1,1,-,-,-,2,-,5,12,5,5,0,0,10,17,59%
İlkay Gündoğan,8,"95'14""",2,,7,10,8,5,7,12,3,5,5,3,6,1,10,12,44,45,20,22,74,79,94%
Ciro Immobile,9,"77'11""",-,4,,3,3,-,3,2,-,1,1,-,1,-,1,1,5,11,12,15,18,27,67%
Henrikh Mkhitaryan,10,"95'14""",-,7,4,,8,-,6,8,1,1,2,1,3,-,3,4,22,23,16,20,41,47,87%
Marco Reus,11,"95'14""",-,6,6,2,,1,-,1,2,-,10,-,-,1,2,2,17,20,10,13,29,35,83%
Mats Hummels,15,"95'14""",2,5,2,4,-,,-,3,3,1,11,-,2,3,7,11,28,31,1,3,36,45,80%
Aubameyang,17,"95'14""",-,2,7,1,-,-,,-,1,4,1,-,3,-,0,0,9,14,10,12,19,26,73%
Nuri Şahin,18,"95'14""",1,15,3,4,2,7,-,,1,3,10,1,5,2,4,4,36,37,14,16,54,57,95%
Papastathopoulos,25,"47'02""",3,2,-,-,1,2,1,2,,3,1,-,-,1,2,3,11,11,3,3,16,17,94%
Łukasz Piszczek,26,"31'28""",-,4,1,1,1,1,3,2,3,,-,-,-,-,1,1,11,12,4,6,16,19,84%
Marcel Schmelzer,29,"95'14""",-,1,3,8,8,9,-,8,-,-,,-,-,-,1,5,28,33,8,10,37,48,77%
Jakub Błaszczykowski 16,,"18'03""",-,1,-,1,-,-,-,1,-,-,-,,1,1,0,1,2,4,3,3,5,8,62%
Oliver Kirch 21,,"48'12""",-,5,-,6,-,-,3,2,-,-,-,-,,2,0,3,11,15,7,7,18,25,72%
Matthias Ginter 28,,"63'47""",2,1,-,-,-,4,-,4,-,-,3,-,3,,1,2,11,12,5,5,17,19,89%
Total passes received:,,,10,55,33,40,33,30,24,46,15,18,44,5,26,11,37,61,240 273 113 135,,,,390,469,83%
,,,,,,,,,,,,,,,,,,,,,,,,00:33:29CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,25 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
