Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Wednesday 18 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Arena AufSchalke - Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Schalke 04,,,,,,,,,0 - 2,,,,,,,Real Madrid CF,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,40,4,9,12,13,15,22,25,31,32,33,3,7,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Timon Wellenreuther,40,"95'18""",,2,-,2,-,1,1,-,2,1,2,-,-,2,6,17,7,7,0,0,13,24,54%
Benedikt Höwedes,4,"95'18""",2,,-,4,1,-,4,-,1,-,1,2,1,2,1,3,10,11,7,7,18,21,86%
Kevin-Prince Boateng,9,"95'18""",-,2,,1,5,4,5,-,2,-,3,1,2,3,4,4,17,18,7,8,28,30,93%
Marco Höger,12,"81'39""",-,1,2,,3,2,11,-,-,-,2,3,-,2,0,2,18,19,8,10,26,31,84%
Choupo-Moting,13,"95'18""",-,-,4,7,,4,4,1,-,-,3,2,3,2,0,0,12,14,18,21,30,35,86%
Dennis Aogo,15,"95'18""",1,-,3,1,5,,-,-,4,1,5,4,-,-,1,3,14,17,9,10,24,30,80%
Atsuto Uchida,22,"95'18""",-,2,2,6,4,-,,2,1,-,6,2,1,1,2,4,20,23,5,7,27,34,79%
Klaas-Jan Huntelaar,25,"32'19""",-,-,-,1,1,-,-,,-,-,-,-,-,-,0,0,0,1,2,2,2,3,67%
Matija Nastasić,31,"95'18""",4,2,4,-,3,8,-,-,,6,2,1,-,-,6,8,18,22,6,8,30,38,79%
Joel Matip,32,"95'18""",2,1,2,3,2,-,3,-,5,,2,1,1,2,5,5,16,18,3,3,24,26,92%
Roman Neustädter,33,"58'35""",2,5,7,2,6,5,3,2,7,1,,-,-,-,4,5,26,27,10,10,40,42,95%
Jan Kirchhoff,3,"36'43""",-,1,1,3,3,3,1,-,2,-,-,,2,3,2,2,14,17,3,5,19,24,79%
Max Meyer,7,"13'39""",-,-,1,-,-,3,1,-,1,-,-,1,,-,0,1,3,5,4,4,7,10,70%
Felix Platte 36,,"62'59""",-,-,3,1,3,1,-,-,-,-,-,4,1,,0,0,6,7,7,9,13,16,81%
Total passes received:,,,11,16,29,31,36,31,34,5,25,9,26,21,11,17,31,54,181 206,,89,104,301,364,83%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,7,8,9,11,12,15,16,23,14,17,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,1,"95'18""",,4,4,3,-,-,1,4,1,1,2,-,-,-,7,9,13,13,0,0,20,22,91%
Raphaël Varane,2,"95'18""",4,,17,2,5,-,-,21,3,2,10,-,-,-,8,9,50,50,6,6,64,65,98%
Pepe,3,"95'18""",3,11,,2,6,1,2,8,16,3,1,-,4,1,12,13,39,41,7,9,58,63,92%
Cristiano Ronaldo,7,"95'18""",-,-,-,,2,2,3,7,4,4,4,-,-,-,1,1,14,19,11,16,26,36,72%
Toni Kroos,8,"95'18""",-,7,6,6,,1,6,9,7,13,7,-,-,-,12,12,40,44,10,11,62,67,93%
Karim Benzema,9,"80'13""",-,-,-,4,4,,4,3,3,-,2,-,-,-,0,0,10,12,10,14,20,26,77%
Gareth Bale,11,"95'18""",1,2,2,5,1,3,,2,5,7,3,2,1,1,8,11,16,24,11,14,35,49,71%
Marcelo,12,"95'18""",-,10,1,10,10,8,1,,-,1,31,-,-,3,8,16,42,46,26,28,76,90,84%
Dani Carvajal,15,"83'48""",1,2,10,4,5,1,13,2,,12,-,-,-,-,2,4,32,34,16,17,50,55,91%
Lucas Silva,16,"95'18""",-,3,4,4,5,3,15,4,8,,5,-,2,-,6,6,37,41,10,11,53,58,91%
Isco,23,"86'28""",-,6,4,5,7,6,3,26,3,3,,-,-,-,7,9,40,42,16,16,63,67,94%
Javier Hernández 14,,"15'06""",-,-,-,-,1,-,1,-,-,1,-,,-,-,0,0,2,2,1,1,3,3,100%
Álvaro Arbeloa 17,,"11'30""",1,-,1,-,-,-,5,-,-,1,-,-,,-,0,0,6,6,2,2,8,8,100%
Asier Illarramendi 24,,"8'50""",-,1,-,-,-,-,-,2,-,-,-,-,-,,1,1,2,3,0,1,3,5,60%
Total passes received:,,,10,47,49,45,46,25,54,88,50,48,65,2,7,5,72,91,343 377 126 146,,,,541,614,88%
,,,,,,,,,,,,,,,,,,,,,,,,00:18:08CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,19 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
