Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 2nd leg - Tuesday 17 March 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Stade Louis II - Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Monaco FC,,,,,,,,,0 - 2,,,,,,,,Arsenal FC,,,,,,,
,,,,,,"aggregate 3 - 3, AS Monaco FC win on away goals",,,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,5,7,8,9,13,22,23,28,15,17,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,"96'10""",,-,2,-,-,-,-,1,-,1,-,-,-,-,2,3,2,2,0,0,4,5,80%
Fabinho,2,"96'10""",1,,-,-,5,5,3,1,-,-,1,1,1,-,1,2,12,14,5,5,18,21,86%
Layvin Kurzawa,3,"96'10""",1,-,,4,-,3,3,1,4,3,4,1,-,-,1,1,16,19,7,8,24,28,86%
Aymen Abdennour,5,"96'10""",2,-,2,,-,1,1,-,6,1,-,-,-,-,1,6,11,13,1,1,13,20,65%
Nabil Dirar,7,"86'48""",-,6,1,1,,2,5,-,2,1,3,-,4,-,3,3,12,13,10,11,25,27,93%
João Moutinho,8,"96'10""",-,4,2,-,7,,3,1,6,2,3,2,5,-,5,5,11,12,19,21,35,38,92%
Dimitar Berbatov,9,"70'17""",-,2,2,2,4,4,,1,3,2,2,-,-,-,2,4,12,13,8,10,22,27,81%
Wallace,13,"96'10""",1,2,-,4,-,-,1,,3,-,2,-,-,-,2,4,9,11,2,2,13,17,76%
Geoffrey Kondogbia,22,"96'10""",1,-,10,-,3,1,-,4,,5,-,1,1,-,3,5,20,23,3,3,26,31,84%
Anthony Martial,23,"60'07""",-,-,4,-,-,2,-,-,1,,2,-,-,-,0,0,4,8,5,5,9,13,69%
Jérémy Toulalan,28,"96'10""",-,5,-,1,1,5,6,2,3,2,,1,3,-,0,2,19,21,10,10,29,33,88%
Bernardo Silva 15,,"25'53""",-,-,-,-,1,2,-,1,1,-,1,,1,-,0,2,5,6,2,2,7,10,70%
Ferreira-Carrasco 17,,"36'03""",-,-,1,-,2,1,-,-,-,-,-,-,,1,0,3,4,5,1,2,5,10,50%
Elderson 21,,"9'21""",-,-,-,-,-,-,-,-,-,-,-,-,1,,0,0,0,0,1,1,1,1,100%
Total passes received:,,,6,19,24,12,23,27,22,12,29,17,18,6,16,1,20,40,137 160,,74,81,231,281,82%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,4,6,11,12,17,18,19,23,34,39,3,14,16,PC,PA,PC,PA,PC,PA,PC,PA,%
David Ospina,13,"96'10""",,5,3,3,-,-,-,-,-,1,1,1,-,-,4,4,8,8,2,2,14,14,100%
Per Mertesacker,4,"96'10""",5,,15,12,1,5,1,13,-,10,9,-,-,6,4,5,67,67,7,9,78,81,96%
Laurent Koscielny,6,"96'10""",3,19,,4,-,5,15,14,-,6,3,2,-,2,6,7,53,54,14,15,73,76,96%
Mesut Özil,11,"96'10""",-,5,4,,7,22,4,14,6,3,7,2,1,6,4,7,51,57,26,33,81,97,84%
Olivier Giroud,12,"96'10""",-,-,1,2,,2,1,2,3,1,-,-,-,-,1,1,5,9,6,6,12,16,75%
Alexis Sánchez,17,"96'10""",-,2,3,10,4,,4,11,7,4,6,1,-,3,2,4,34,40,19,25,55,69,80%
Nacho Monreal,18,"83'23""",-,1,11,11,3,2,,6,7,5,2,-,1,1,2,2,39,39,9,10,50,51,98%
Santi Cazorla,19,"96'10""",-,10,4,26,1,17,7,,6,11,11,2,-,5,11,16,70,74,19,23,100,113,88%
Danny Welbeck,23,"72'15""",-,-,2,7,3,2,3,2,,2,1,-,-,1,0,1,12,14,11,13,23,28,82%
Francis Coquelin,34,"63'27""",1,6,6,6,2,5,10,14,-,,3,-,-,-,4,5,38,38,11,11,53,54,98%
Héctor Bellerín,39,"96'10""",1,11,1,6,-,8,-,7,1,2,,1,3,13,0,0,36,37,18,19,54,56,96%
Kieran Gibbs,3,"12'46""",-,-,-,1,1,1,-,4,-,-,-,,-,1,1,1,6,8,1,1,8,10,80%
Theo Walcott 14,,"23'54""",-,-,-,-,-,-,-,1,-,-,1,-,,2,0,0,2,2,2,2,4,4,100%
Aaron Ramsey 16,,"32'43""",-,1,1,6,1,1,-,6,1,-,13,1,-,,2,4,18,19,11,12,31,35,89%
Total passes received:,,,10,61,51,94,23,70,45,94,31,46,58,10,5,40,41,57,439 466 156 181,,,,636,704,90%
,,,,,,,,,,,,,,,,,,,,,,,,02:25:02CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,18 Mar 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
