Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 2nd leg - Tuesday 10 March 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,4 - 0,,,,,,,FC Basel 1893,,,,,,,,
,,,,,,,,FC Porto win 5 - 1 on aggregate,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,4,5,6,8,11,15,16,26,99,3,7,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,"97'32""",,-,2,2,-,1,-,-,-,2,2,1,-,1,4,8,6,6,1,1,11,15,73%
Danilo,2,"21'07""",-,,-,-,-,-,-,1,-,-,-,-,-,-,0,0,0,2,1,1,1,3,33%
Maicon,4,"97'32""",2,-,,3,-,2,4,-,4,6,4,4,-,1,13,14,16,18,1,1,30,33,91%
Iván Marcano,5,"97'32""",4,-,8,,5,2,-,3,-,3,4,4,-,2,5,5,25,26,5,6,35,37,95%
Casemiro,6,"97'32""",1,-,5,2,,7,3,8,9,8,3,3,-,-,7,7,30,35,12,16,49,58,84%
Yacine Brahimi,8,"78'42""",-,-,1,1,1,,-,8,6,5,3,10,-,-,0,0,20,20,15,19,35,39,90%
Cristian Tello,11,"97'32""",-,-,-,-,1,3,,-,11,8,1,2,-,-,1,1,19,20,6,9,26,30,87%
Evandro,15,"84'18""",-,-,-,4,9,8,2,,9,3,2,8,-,-,1,1,17,17,27,30,45,48,94%
Hector Herrera,16,"97'32""",2,1,2,3,7,8,7,12,,3,4,1,-,1,11,13,24,28,16,17,51,58,88%
Alex Sandro,26,"97'32""",4,-,4,3,2,2,4,4,7,,5,-,-,1,2,4,24,28,10,12,36,44,82%
Vincent Aboubakar,99,"97'32""",1,-,-,1,-,2,5,1,3,4,,-,1,1,2,2,7,12,10,12,19,26,73%
Bruno Martins Indi,3,"76'25""",3,-,2,8,7,10,2,6,3,-,2,,1,2,3,4,30,31,13,13,46,48,96%
Ricardo Quaresma,7,"13'14""",-,-,-,1,-,-,1,-,-,-,-,-,,2,1,1,2,2,1,1,4,4,100%
Rúben Neves 36,,"18'50""",-,-,1,2,1,-,-,-,-,3,1,1,3,,1,1,9,9,2,2,12,12,100%
Total passes received:,,,17,1,25,30,34,46,29,45,53,45,31,34,5,11,51,61,229 254 120 140,,,,400,455,88%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,6,7,9,11,16,19,20,25,33,34,14,36,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,"97'32""",,5,-,4,-,2,6,-,2,1,6,-,-,-,7,9,18,18,1,1,26,28,93%
Walter Samuel,6,"96'21""",6,,1,-,-,7,12,3,2,2,9,-,2,-,4,8,37,39,3,4,44,51,86%
Luca Zuffi,7,"97'32""",-,2,,5,6,-,9,5,1,7,3,3,2,-,1,2,30,36,12,16,43,54,80%
Marco Streller,9,"97'32""",-,-,6,,2,-,2,2,-,1,-,4,2,-,1,3,7,14,11,15,19,32,59%
Shkelzen Gashi,11,"82'26""",-,-,7,3,,-,1,4,1,2,-,1,-,-,1,1,15,17,3,6,19,24,79%
Fabian Schär,16,"62'26""",-,9,2,-,1,,1,1,-,4,1,-,-,-,3,7,14,18,2,4,19,29,66%
Behrang Safari,19,"97'32""",2,10,6,3,11,1,,5,1,-,-,1,-,4,2,5,36,41,6,7,44,53,83%
Fabian Frei,20,"67'53""",-,5,7,-,2,1,7,,2,3,-,-,-,-,1,4,21,24,5,6,27,34,79%
Derlis González,25,"97'32""",1,-,4,2,-,1,-,-,,9,9,1,1,-,2,3,19,20,7,8,28,31,90%
Mohamed Elneny,33,"97'32""",-,-,7,5,1,5,2,3,8,,8,1,3,2,5,6,27,30,13,15,45,51,88%
Taulant Xhaka,34,"97'32""",7,7,1,-,-,4,-,1,11,9,,-,1,-,2,4,33,35,6,7,41,46,89%
Yōichirō Kakitani 14,,"29'39""",-,-,2,3,2,-,2,-,-,-,-,,2,-,0,0,5,5,6,7,11,12,92%
Breel Embolo 36,,"35'05""",-,-,1,1,-,-,-,-,4,4,-,1,,1,0,0,5,5,7,8,12,13,92%
Davide Callà 39,,"15'05""",-,-,2,2,-,-,2,-,-,-,-,-,-,,0,2,5,5,1,2,6,9,67%
Total passes received:,,,16,39,47,28,25,21,45,24,32,43,36,12,13,7,29,54,272 307,,83,106,384,467,82%
,,,,,,,,,,,,,,,,,,,,,,,,00:52:35CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,11 Mar 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
