Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 2nd leg - Wednesday 11 March 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford Bridge - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea FC,,,,,,,,,2 - 2,,,,,,Paris Saint-Germain,,,,,,,,,
,,,"aggregate 3 - 3, Paris Saint-Germain win on away goals after extra time",,,,,,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,7,8,10,19,21,24,26,28,5,11,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Thibaut Courtois,13,"127'19""",,1,2,-,1,-,1,2,2,8,7,-,-,1,7,10,17,17,1,1,25,28,89%
Branislav Ivanović,2,"127'19""",1,,7,4,2,9,2,5,8,3,-,1,-,1,4,4,27,29,12,14,43,47,91%
Cesc Fàbregas,4,"127'19""",1,8,,4,2,10,11,8,3,4,7,-,2,11,12,14,45,47,14,16,71,77,92%
Ramires,7,"95'06""",-,7,3,,2,3,4,1,-,1,2,-,-,6,0,1,22,23,7,8,29,32,91%
Oscar,8,"47'01""",-,1,7,1,,2,3,1,-,4,1,-,-,-,1,1,11,12,8,9,20,22,91%
Eden Hazard,10,"127'19""",1,8,11,5,3,,11,3,-,1,6,3,3,5,4,4,39,44,17,24,60,72,83%
Diego Costa,19,"127'19""",-,4,5,3,3,12,,1,-,-,4,-,1,3,3,3,16,19,17,19,36,41,88%
Nemanja Matić,21,"85'49""",1,4,6,4,5,1,2,,8,5,9,-,-,-,5,6,27,29,13,13,45,48,94%
Gary Cahill,24,"127'19""",3,7,6,1,-,4,1,5,,15,1,1,1,-,2,4,36,36,7,7,45,47,96%
John Terry,26,"127'19""",5,1,6,2,2,6,-,9,11,,16,3,-,2,1,3,50,51,12,13,63,67,94%
César Azpilicueta,28,"127'19""",1,-,11,1,4,14,9,3,3,7,,1,-,2,2,2,39,41,15,15,56,58,97%
Kurt Zouma,5,"41'30""",-,-,3,1,-,2,1,-,1,1,2,,-,-,0,0,6,7,5,5,11,12,92%
Didier Drogba 11,,"32'12""",-,-,-,-,-,3,1,-,-,1,-,-,,-,0,0,2,3,3,3,5,6,83%
Willian 22,,"80'18""",-,3,1,5,-,6,5,3,-,2,3,-,-,,1,2,22,25,5,7,28,34,82%
Total passes received:,,,13,44,69,31,24,72,51,41,36,52,58,9,7,31,42,54,359 383 136 154,,,,537,591,91%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,2,5,8,9,10,14,17,24,27,32,22,23,25,PC,PA,PC,PA,PC,PA,PC,PA,%
Salvatore Sirigu,30,"127'19""",,3,1,2,1,-,-,2,2,-,3,1,-,-,4,7,11,11,0,0,15,18,83%
Thiago Silva,2,"127'19""",2,,6,7,-,1,1,1,12,7,12,1,-,3,5,6,35,35,13,13,53,54,98%
Marquinhos,5,"127'19""",-,4,,6,4,2,1,-,6,10,2,2,-,2,1,1,22,23,16,16,39,40,98%
Thiago Motta,8,"127'19""",-,10,6,,4,1,1,6,23,23,10,3,-,4,7,9,56,57,28,33,91,99,92%
Edinson Cavani,9,"127'19""",-,1,5,3,,1,2,4,5,3,1,-,-,1,1,2,13,14,12,13,26,29,90%
Zlatan Ibrahimović,10,"30'57""",-,-,-,3,-,,2,2,1,2,1,-,-,-,0,0,9,10,2,3,11,13,85%
Blaise Matuidi,14,"83'07""",-,-,1,3,2,3,,6,4,1,2,-,-,-,0,0,13,14,9,9,22,23,96%
Maxwell,17,"127'19""",-,2,-,6,5,2,8,,5,14,7,-,-,3,1,3,31,32,20,24,52,59,88%
Marco Verratti,24,"83'29""",1,3,3,28,4,1,5,7,,21,8,-,-,-,3,5,53,54,25,28,81,87,93%
Javier Pastore,27,"122'30""",1,6,10,16,7,-,5,10,12,,2,4,-,-,7,9,38,49,28,32,73,90,81%
David Luiz,32,"127'19""",5,11,4,8,1,2,2,11,3,4,,1,-,2,10,12,38,39,6,7,54,58,93%
Ezequiel Lavezzi 22,,"43'49""",-,1,1,1,3,-,-,1,-,2,-,,-,2,1,1,5,7,5,6,11,14,79%
Gregory van der Wiel 23,,"4'49""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,1,0,0,0,1,0%
Adrien Rabiot 25,,"44'11""",-,2,-,1,1,-,-,5,-,5,2,1,-,,0,1,12,13,5,5,17,19,89%
Total passes received:,,,9,43,37,84,32,13,27,55,73,92,50,13,0,17,40,56,336 359 169 189,,,,545,604,90%
,,,,,,,,,,,,,,,,,,,,,,,,00:32:14CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,12 Mar 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
