Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 2nd leg - Wednesday 18 March 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,1 - 0,,,,,,Manchester City FC,,,,,,,,,
,,,,,,,,FC Barcelona win 3 - 1 on aggregate,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,8,9,10,11,14,18,22,24,12,21,PC,PA,PC,PA,PC,PA,PC,PA,%,
ter Stegen,1,"92'51""",,8,2,-,-,1,-,2,1,-,5,-,-,2,3,17,17,0,0,19,20,95%,
Gerard Piqué,3,"92'51""",4,,11,3,2,3,1,2,1,9,2,1,-,6,9,27,32,6,7,39,48,81%,
Ivan Rakitić,4,"83'37""",1,4,,2,7,12,1,6,1,12,1,-,-,3,5,29,32,15,17,47,54,87%,
Andrés Iniesta,8,"92'51""",-,4,2,,3,8,18,5,12,2,6,-,-,4,4,32,36,24,25,60,65,92%,
Luis Suárez,9,"92'51""",-,-,2,4,,5,4,-,-,1,-,-,-,0,0,9,15,7,9,16,24,67%,
Lionel Messi,10,"92'51""",-,2,14,7,4,,10,6,6,23,-,-,-,5,6,39,45,28,36,72,87,83%,
Neymar,11,"92'51""",-,3,1,8,1,8,,2,7,1,-,1,-,3,4,14,20,15,20,32,44,73%,
Javier Mascherano,14,"92'51""",3,5,5,9,-,2,1,,5,3,8,1,-,2,3,32,33,8,10,42,46,91%,
Jordi Alba,18,"92'51""",-,2,2,12,4,4,13,5,,2,8,1,-,3,5,32,35,18,22,53,62,85%,
Daniel Alves,22,"90'36""",-,4,3,5,3,32,-,6,-,,1,1,-,0,1,26,28,29,32,55,61,90%,
Jérémy Mathieu,24,"92'51""",4,6,1,8,1,1,4,4,13,1,,-,-,5,8,30,34,8,12,43,54,80%,
Rafinha 12,,"9'15""",-,-,-,-,-,4,-,-,-,-,-,,-,0,0,3,3,1,2,4,5,80%,
Adriano 21,,"2'16""",-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%,
Total passes received:,,,12,39,43,58,25,81,52,38,46,54,32,5,0,33,48,290 330 159 192,,,,482,570,85%,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,7,8,11,16,21,25,26,42,14,15,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,"92'51""",,4,2,3,-,-,1,1,1,2,-,-,1,1,11,18,5,5,0,0,16,23,70%
Bacary Sagna,3,"92'51""",4,,2,2,6,-,3,1,4,-,5,2,7,1,2,2,22,26,13,17,37,45,82%
Vincent Kompany,4,"92'51""",-,5,,1,1,1,-,1,3,4,2,-,1,1,0,1,16,18,4,5,20,25,80%
James Milner,7,"86'14""",1,1,2,,-,1,4,6,4,1,-,1,5,-,4,4,13,13,9,15,26,32,81%
Samir Nasri,8,"45'04""",-,9,-,-,,-,3,2,2,-,3,-,-,-,0,0,10,11,9,11,19,22,86%
Aleksandar Kolarov,11,"92'51""",-,-,-,4,-,,2,2,1,4,2,-,-,-,1,3,9,10,5,6,15,19,79%
Sergio Agüero,16,"92'51""",-,-,-,2,4,2,,5,-,-,3,1,1,-,1,1,9,13,8,9,18,23,78%
David Silva,21,"92'51""",-,3,-,3,6,4,11,,2,-,7,1,1,1,2,2,23,27,14,17,39,46,85%
Fernandinho,25,"92'51""",-,7,3,6,1,1,3,3,,1,5,-,6,-,2,2,28,31,6,9,36,42,86%
Martín Demichelis,26,"92'51""",2,1,2,1,1,9,2,1,2,,2,-,-,1,2,2,20,22,2,4,24,28,86%
Yaya Touré,42,"71'08""",1,4,1,2,4,3,1,6,5,4,,-,3,-,2,2,21,25,11,14,34,41,83%
Wilfried Bony 14,,"21'43""",-,1,-,-,-,-,-,-,-,-,-,,1,1,0,0,1,1,2,4,3,5,60%
Jesús Navas 15,,"47'47""",-,6,-,3,-,-,2,5,2,2,5,1,,1,1,1,21,26,5,6,27,33,82%
Frank Lampard 18,,"6'38""",-,-,-,-,-,1,-,2,2,1,-,-,-,,0,0,1,2,5,6,6,8,75%
Total passes received:,,,8,41,12,27,23,22,32,35,28,19,34,6,27,7,28,38,199 230,,93,123,320,392,82%
,,,,,,,,,,,,,,,,,,,,,,,,00:48:18CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,19 Mar 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
