Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Semi-finals 1st leg - Tuesday 5 May 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,2 - 1,,,,,,,Real Madrid CF,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,8,9,10,19,21,23,26,27,33,14,15,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"94'19""",,4,-,-,-,3,3,7,7,-,-,-,-,-,7,7,17,17,0,0,24,24,100%
Giorgio Chiellini,3,"94'19""",5,,3,1,3,9,12,5,1,1,16,1,-,-,7,7,42,42,8,8,57,57,100%
Claudio Marchisio,8,"94'19""",1,1,,5,7,2,4,4,9,-,-,2,-,-,3,6,26,29,6,8,35,43,81%
Álvaro Morata,9,"79'03""",-,-,1,,6,-,2,3,3,1,-,-,-,-,0,1,10,10,6,11,16,22,73%
Carlos Tévez,10,"86'31""",-,1,3,2,,1,3,6,3,2,10,-,-,-,3,3,20,20,8,11,31,34,91%
Leonardo Bonucci,19,"94'19""",1,7,5,2,2,,8,8,5,-,1,-,-,-,2,4,28,28,9,11,39,43,91%
Andrea Pirlo,21,"94'19""",-,13,6,3,1,4,,7,12,3,9,-,1,-,15,18,36,39,8,11,59,68,87%
Arturo Vidal,23,"94'19""",1,6,3,5,7,8,7,,7,5,2,3,1,2,2,3,41,42,14,18,57,63,90%
Stephan Lichtsteiner,26,"94'19""",2,-,14,3,3,7,8,8,,-,-,2,1,2,0,0,32,35,18,18,50,53,94%
Stefano Sturaro,27,"65'11""",-,3,-,1,3,-,-,-,-,,4,-,-,-,0,0,8,9,3,4,11,13,85%
Patrice Evra,33,"94'19""",-,8,-,2,4,-,11,10,-,5,,-,-,-,1,4,27,28,12,13,40,45,89%
Fernando Llorente 14,,"15'16""",-,-,2,-,-,-,-,-,-,-,-,,-,1,0,0,2,4,1,2,3,6,50%
Andrea Barzagli 15,,"29'08""",-,-,1,-,-,-,1,-,2,-,-,-,,-,0,0,1,1,3,3,4,4,100%
Roberto Pereyra 37,,"7'48""",-,-,-,-,-,-,-,-,2,-,-,-,-,,0,0,1,2,1,1,2,3,67%
Total passes received:,,,10,43,38,24,36,34,59,58,51,17,42,8,3,5,40,53,291 306,,97,119,428,478,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,2,3,4,7,8,10,11,12,15,23,14,20,PC,PA,PC,PA,PC,PA,PC,PA,%,
Iker Casillas,1,"94'19""",,3,4,-,-,1,-,2,6,3,1,1,-,7,10,14,14,0,0,21,24,88%,
Raphaël Varane,2,"94'19""",2,,7,-,-,5,2,-,10,2,8,-,-,2,3,28,29,6,8,36,40,90%,
Pepe,3,"94'19""",5,5,,9,1,11,-,-,3,15,1,-,-,10,13,31,33,9,10,50,56,89%,
Sergio Ramos,4,"94'19""",-,5,10,,3,13,7,3,2,12,1,2,1,4,8,38,40,17,20,59,68,87%,
Cristiano Ronaldo,7,"94'19""",-,2,-,3,,4,2,1,5,-,1,2,1,0,0,13,15,8,9,21,24,88%,
Toni Kroos,8,"94'19""",-,7,6,8,2,,9,3,9,8,8,1,-,13,13,41,43,7,8,61,64,95%,
James Rodríguez,10,"94'19""",-,-,2,9,4,6,,1,8,8,2,2,-,6,8,24,27,12,16,42,51,82%,
Gareth Bale,11,"86'56""",-,-,1,4,3,1,-,,5,2,-,-,-,2,3,7,9,7,7,16,19,84%,
Marcelo,12,"94'19""",-,5,3,7,10,7,6,3,,-,19,3,-,8,12,41,42,14,19,63,73,86%,
Dani Carvajal,15,"94'19""",1,-,11,17,1,4,16,2,2,,-,1,-,1,2,30,33,24,24,55,59,93%,
Isco,23,"63'56""",-,1,-,-,6,9,4,2,17,1,,-,-,2,2,29,31,9,9,40,42,95%,
Javier Hernández 14,,"30'23""",-,-,1,1,-,2,2,3,1,-,-,,1,1,1,8,8,2,3,11,12,92%,
Jesé 20,,"7'23""",-,-,-,1,2,-,-,-,-,-,-,-,,0,0,2,2,1,1,3,3,100%,
Total passes received:,,,8,28,45,59,32,63,48,20,68,51,41,12,3,56,75,306 326 116 134,,,,478,535,89%,
,,,,,,,,,,,,,,,,,,,,,,,,00:06:10CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,06 May 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
