Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,
Semi-finals 1st leg - Wednesday 6 May 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,3 - 0,,,,,,,FC Bayern München,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,8,9,10,11,14,18,22,6,12,15,,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,"95'09""",,3,-,2,1,1,1,-,5,11,2,-,-,-,,11,17,12,12,3,3,26,32,81%
Gerard Piqué,3,"95'09""",5,,5,3,2,2,1,-,2,2,4,-,-,-,,4,7,17,18,5,5,26,30,87%
Ivan Rakitić,4,"81'58""",1,3,,11,-,4,8,3,1,2,11,-,-,-,,2,3,24,29,18,20,44,52,85%
Sergio Busquets,5,"95'09""",1,4,7,,9,1,2,2,4,8,7,-,-,-,,6,6,24,26,15,19,45,51,88%
Andrés Iniesta,8,"86'35""",-,1,4,6,,2,4,7,4,10,3,-,-,-,,2,2,21,24,18,20,41,46,89%
Luis Suárez,9,"95'09""",-,-,3,1,-,,6,2,-,1,-,-,1,-,,0,1,9,13,5,9,14,23,61%
Lionel Messi,10,"95'09""",-,-,9,3,3,6,,6,-,2,2,-,-,-,,4,4,16,17,11,16,31,37,84%
Neymar,11,"95'09""",-,-,2,1,7,4,4,,1,7,1,-,-,-,,0,1,13,14,14,18,27,33,82%
Javier Mascherano,14,"88'26""",7,4,2,4,5,1,1,-,,4,3,-,-,-,,6,9,21,22,4,5,31,36,86%
Jordi Alba,18,"95'09""",4,-,1,3,8,5,4,16,6,,-,-,-,1,,3,4,29,34,16,20,48,58,83%
Daniel Alves,22,"95'09""",-,4,14,2,3,1,12,1,2,1,,-,-,-,,2,2,22,26,16,20,40,48,83%
Xavi Hernández,6,"13'11""",-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,0,0,0,0,0,0,0,0%
Rafinha 12,,"8'34""",-,1,-,-,-,-,-,-,-,-,1,-,,-,,0,0,2,2,0,0,2,2,100%
Marc Bartra 15,,"6'43""",-,-,-,-,-,-,-,-,-,-,-,-,-,,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,18,20,47,36,38,27,43,37,25,48,34,0,1,1,,40,56,210 237 125 155,,,,375,448,84%
,,,To,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,,
From,,TP,1,3,5,6,9,13,17,18,21,25,31,19,,PC,PA,PC,PA,PC,PA,PC,PA,%,,
Manuel Neuer,1,"95'09""",,4,5,1,1,7,4,4,2,1,2,-,,7,12,22,22,2,2,31,36,86%,,
Xabi Alonso,3,"95'09""",3,,5,17,1,10,7,5,11,3,13,1,,6,7,48,54,22,24,76,85,89%,,
Medhi Benatia,5,"95'09""",9,8,,3,2,8,7,-,6,3,1,1,,5,6,30,33,13,15,48,54,89%,,
Thiago Alcántara,6,"95'09""",-,8,7,,4,5,6,10,4,7,8,3,,4,5,41,43,17,18,62,66,94%,,
Robert Lewandowski,9,"95'09""",-,2,-,1,,1,-,4,3,1,2,-,,0,0,6,9,8,11,14,20,70%,,
Rafinha,13,"95'09""",7,15,8,5,-,,3,2,4,3,2,1,,2,4,36,38,12,14,50,56,89%,,
Jérôme Boateng,17,"95'09""",7,3,5,1,3,2,,5,4,-,5,-,,8,12,25,28,2,2,35,42,83%,,
Juan Bernat,18,"95'09""",-,6,-,14,2,1,4,,1,-,1,3,,0,0,17,18,15,20,32,38,84%,,
Philipp Lahm,21,"95'09""",2,13,6,7,1,5,1,3,,8,8,1,,1,1,33,36,21,24,55,61,90%,,
Thomas Müller,25,"78'11""",-,1,1,-,8,2,-,1,6,,5,-,,1,1,13,13,10,16,24,30,80%,,
Schweinsteiger,31,"95'09""",-,6,2,9,5,3,2,6,10,4,,3,,3,3,27,29,20,24,50,56,89%,,
Mario Götze 19,,"16'58""",-,2,1,2,-,1,1,3,-,-,1,,,0,0,7,7,4,5,11,12,92%,,
Total passes received:,,,28,68,40,60,27,45,35,43,51,30,48,13,,37,51,305 330 146 175,,,,488,556,88%,,
,,,,,,,,,,,,,,,,,,,,,,,,,00:22:28CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,,07 May 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,,
