Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Semi-finals 2nd leg - Tuesday 12 May 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Fußball Arena München - Munich,,,,,,,,,,,,,,,,,,,,,,,,,
FC Bayern München,,,,,,,,,,3 - 2,,,,,,,FC Barcelona,,,,,,,,
,,,,,,,,FC Barcelona win 5 - 3 on aggregate,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,6,9,13,17,18,21,25,31,8,19,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Manuel Neuer,1,"95'16""",,3,11,-,1,-,8,-,-,-,-,1,-,-,2,4,18,18,4,4,24,26,92%
Xabi Alonso,3,"95'16""",2,,12,14,4,9,8,7,5,1,10,-,1,4,6,7,55,58,16,17,77,82,94%
Medhi Benatia,5,"95'16""",9,8,,12,1,-,13,13,3,1,6,-,-,2,6,8,48,49,14,15,68,72,94%
Thiago Alcántara,6,"95'16""",2,8,6,,3,9,7,10,3,7,6,-,1,6,11,13,38,42,19,24,68,79,86%
Robert Lewandowski,9,"95'16""",-,2,-,2,,1,2,2,1,6,1,-,-,-,1,2,6,7,10,12,17,21,81%
Rafinha,13,"95'16""",-,7,1,8,-,,16,-,5,5,3,-,-,-,0,0,32,36,13,14,45,50,90%
Jérôme Boateng,17,"95'16""",5,10,7,6,4,9,,-,4,3,6,-,1,3,7,15,37,44,14,16,58,75,77%
Juan Bernat,18,"95'16""",-,5,14,9,3,-,1,,-,4,6,-,1,1,0,0,31,31,13,13,44,44,100%
Philipp Lahm,21,"69'28""",-,4,-,2,2,8,2,-,,4,4,-,-,-,0,0,17,18,9,12,26,30,87%
Thomas Müller,25,"89'03""",-,5,-,2,3,5,3,-,6,,1,-,-,1,0,2,22,27,4,10,26,39,67%
Schweinsteiger,31,"88'48""",-,10,4,6,5,2,2,9,4,4,,-,-,4,1,1,33,36,16,17,50,54,93%
Javi Martínez,8,"6'28""",-,-,1,-,-,-,-,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,100%
Mario Götze 19,,"6'13""",-,1,-,1,-,1,1,-,-,-,-,-,,-,0,0,3,3,1,2,4,5,80%
Sebastian Rode 20,,"25'48""",-,6,3,1,-,2,1,1,-,1,3,-,-,,0,0,13,13,5,8,18,21,86%
Total passes received:,,,18,69,59,63,26,46,64,42,31,36,46,1,4,21,34,52,354 383 138 164,,,,526,599,88%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,8,9,10,11,14,18,22,6,7,24,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,"95'16""",,3,1,2,-,1,1,2,7,9,8,-,-,3,19,31,16,16,2,2,37,49,76%
Gerard Piqué,3,"95'16""",11,,1,1,1,1,2,-,3,1,7,-,2,-,3,7,24,25,3,4,30,36,83%
Ivan Rakitić,4,"73'14""",-,6,,2,2,1,4,2,-,1,8,-,-,-,1,2,14,16,11,13,26,31,84%
Sergio Busquets,5,"95'16""",1,4,4,,4,1,7,2,5,1,7,-,-,1,0,1,22,25,15,17,37,43,86%
Andrés Iniesta,8,"76'22""",-,1,3,9,,-,1,7,3,10,1,-,1,-,1,1,20,21,15,17,36,39,92%
Luis Suárez,9,"47'09""",-,-,1,1,1,,1,7,-,-,6,-,-,-,0,0,11,12,6,9,17,21,81%
Lionel Messi,10,"95'16""",-,4,4,5,4,4,,5,-,3,7,3,1,-,2,2,19,23,19,22,40,47,85%
Neymar,11,"95'16""",-,-,1,-,8,4,8,,-,1,4,-,-,-,3,5,13,17,10,12,26,34,76%
Javier Mascherano,14,"95'16""",6,6,1,1,4,1,-,3,,8,3,-,1,1,8,11,24,25,3,3,35,39,90%
Jordi Alba,18,"95'16""",7,2,2,2,7,-,3,12,10,,1,1,1,1,4,4,34,36,11,14,49,54,91%
Daniel Alves,22,"95'16""",-,6,8,5,2,3,14,1,1,1,,1,11,-,4,7,25,28,24,28,53,63,84%
Xavi Hernández,6,"18'54""",-,1,-,1,-,-,2,-,-,-,3,,-,2,1,1,4,5,4,5,9,11,82%
Pedro Rodríguez,7,"48'06""",-,1,2,-,-,-,3,1,1,-,7,-,,-,2,2,9,10,4,6,15,18,83%
Jérémy Mathieu 24,,"22'02""",1,-,-,-,-,-,-,1,1,3,-,1,1,,0,0,6,7,2,2,8,9,89%
Total passes received:,,,26,34,28,29,33,16,46,43,31,38,62,6,18,8,48,74,241 266 129 154,,,,418,494,85%
,,,,,,,,,,,,,,,,,,,,,,,,00:05:37CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,13 May 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
