Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Semi-finals 2nd leg - Wednesday 13 May 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,1 - 1,,,,,,,,,Juventus,,,,,,
,,,,,,,,Juventus win 3 - 2 on aggregate,,,,,,,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,,
From,,TP,1,2,4,7,8,9,10,11,12,15,23,14,PC,PA,PC,PA,PC,PA,PC,PA,%,,
Iker Casillas,1,"95'04""",,1,2,1,2,-,1,-,5,1,-,-,5,7,8,8,0,0,13,15,87%,,
Raphaël Varane,2,"95'04""",1,,6,-,10,-,2,-,2,5,2,-,4,6,18,19,6,6,28,31,90%,,
Sergio Ramos,4,"95'04""",-,1,,-,11,-,9,3,16,8,6,-,10,14,34,36,10,11,54,61,89%,,
Cristiano Ronaldo,7,"95'04""",-,-,1,,1,3,11,1,5,-,3,1,0,0,10,13,16,17,26,30,87%,,
Toni Kroos,8,"95'04""",-,3,8,2,,3,14,4,13,15,7,-,12,13,43,44,14,15,69,72,96%,,
Karim Benzema,9,"67'12""",-,-,1,3,1,,1,2,2,2,3,-,2,3,5,8,8,8,15,19,79%,,
James Rodríguez,10,"95'04""",1,1,6,7,9,5,,1,17,5,4,1,5,9,35,36,17,20,57,65,88%,,
Gareth Bale,11,"95'04""",-,1,1,3,2,4,2,,2,2,6,2,4,4,10,12,11,13,25,29,86%,,
Marcelo,12,"95'04""",-,1,13,15,8,5,19,2,,2,2,-,5,6,49,50,13,14,67,70,96%,,
Dani Carvajal,15,"95'04""",2,4,2,2,7,2,1,13,2,,18,1,4,4,30,33,20,21,54,58,93%,,
Isco,23,"95'04""",-,4,6,1,6,1,7,5,7,10,,-,4,5,34,36,9,10,47,51,92%,,
Javier Hernández 14,,"27'53""",-,-,-,1,-,-,1,1,-,1,-,,0,0,3,4,1,1,4,5,80%,,
Total passes received:,,,4,16,46,35,57,23,68,32,71,51,51,5,55,71,279 299 125 136,,,,459,506,91%,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,9,10,19,21,23,26,33,14,15,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"95'04""",,3,4,1,2,2,7,1,1,2,1,-,-,-,8,13,13,13,3,3,24,29,83%
Giorgio Chiellini,3,"95'04""",2,,10,2,2,5,5,4,7,1,9,-,-,-,2,2,37,41,8,10,47,53,89%
Paul Pogba,6,"89'12""",-,11,,1,3,5,2,5,4,1,2,1,-,-,2,2,19,25,14,17,35,44,80%
Claudio Marchisio,8,"95'04""",-,3,2,,2,4,3,8,4,5,3,-,-,-,2,3,21,22,11,13,34,38,89%
Álvaro Morata,9,"84'44""",-,-,1,2,,2,-,1,6,1,2,-,-,-,2,3,9,11,4,6,15,20,75%
Carlos Tévez,10,"95'04""",-,-,4,3,5,,1,6,2,7,1,1,-,1,2,2,20,23,9,12,31,37,84%
Leonardo Bonucci,19,"95'04""",3,5,4,1,-,2,,3,6,10,-,-,-,-,2,4,28,29,4,4,34,37,92%
Andrea Pirlo,21,"79'51""",1,8,3,5,-,7,2,,8,3,2,-,-,-,5,8,27,31,7,8,39,47,83%
Arturo Vidal,23,"95'04""",1,6,2,9,4,9,3,2,,2,4,-,-,1,4,4,23,28,16,16,43,48,90%
Stephan Lichtsteiner,26,"95'04""",-,1,2,9,6,1,5,5,4,,1,-,-,-,2,3,23,26,9,12,34,41,83%
Patrice Evra,33,"95'04""",-,5,9,-,4,4,-,1,-,1,,-,-,-,1,2,17,19,6,7,24,28,86%
Fernando Llorente 14,,"10'20""",-,-,3,1,-,1,-,-,-,-,-,,-,1,0,0,3,3,3,3,6,6,100%
Andrea Barzagli 15,,"15'13""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%
Roberto Pereyra 37,,"5'52""",1,-,-,-,-,-,-,-,-,1,-,-,-,,0,0,0,0,2,4,2,4,50%
Total passes received:,,,8,42,44,34,28,42,28,36,42,34,25,2,0,3,32,46,240 271,,96,115,368,432,85%
,,,,,,,,,,,,,,,,,,,,,,,,00:24:57CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,14 May 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
