Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,4 - 0,,,,,,FC Shakhtar Donetsk,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,7,8,9,11,12,15,19,22,3,6,16,PC,PA,PC,PA,PC,PA,PC,PA,%
Keylor Navas,1,"94'17""",,2,3,1,1,-,-,4,2,-,-,1,1,-,3,4,8,8,4,4,15,16,94%
Raphaël Varane,2,"46'10""",3,,6,-,3,1,1,1,8,1,3,-,-,1,3,4,22,22,4,4,28,29,97%
Sergio Ramos,4,"59'49""",1,1,,2,11,-,-,15,1,3,4,-,-,3,3,5,24,24,14,14,41,43,95%
Cristiano Ronaldo,7,"94'17""",-,-,1,,6,8,2,4,2,4,6,-,-,6,1,2,11,13,27,33,39,48,81%
Toni Kroos,8,"94'17""",-,4,3,9,,7,2,15,6,21,19,2,-,10,12,12,60,62,26,27,98,101,97%
Karim Benzema,9,"94'17""",-,-,1,5,4,,1,4,3,1,6,-,-,4,1,2,12,14,16,18,29,34,85%
Gareth Bale,11,"30'26""",-,2,-,3,1,2,,-,1,3,2,-,-,-,1,2,10,10,3,4,14,16,88%
Marcelo,12,"94'17""",-,2,6,9,15,5,2,,-,2,13,1,-,2,4,4,29,30,24,25,57,59,97%
Dani Carvajal,15,"94'17""",2,9,2,4,1,2,1,-,,11,8,4,-,11,2,3,34,37,19,20,55,60,92%
Luka Modrić,19,"94'17""",-,1,6,4,15,2,4,1,12,,10,5,2,10,5,6,49,55,18,19,72,80,90%
Isco,22,"94'17""",-,-,1,10,20,7,3,9,7,12,,-,-,5,2,2,41,45,31,34,74,81,91%
Pepe,3,"48'06""",2,-,-,-,5,1,-,1,4,2,2,,1,4,1,2,16,18,5,5,22,25,88%
Nacho,6,"34'28""",1,-,-,1,3,-,-,7,1,-,-,1,,-,1,1,8,8,5,6,14,15,93%
Mateo Kovačić 16,,"63'51""",-,1,-,6,7,3,-,2,10,15,7,2,2,,0,0,38,38,17,19,55,57,96%
Total passes received:,,,9,22,29,54,92,38,16,63,57,75,80,16,6,56,39,49,362 384 213 232,,,,613,664,92%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,5,6,8,11,21,28,29,33,44,66,10,17,74,PC,PA,PC,PA,PC,PA,PC,PA,%
Andriy Pyatov,30,"94'17""",,11,1,2,1,1,1,-,9,9,-,-,1,-,10,16,24,25,2,2,36,43,84%
Olexandr Kucher,5,"94'17""",4,,5,11,5,-,2,2,15,4,2,1,1,1,5,7,37,40,11,11,53,58,91%
Taras Stepanenko,6,"51'07""",-,5,,4,-,2,1,3,1,6,2,-,-,-,2,3,16,16,6,6,24,25,96%
Fred,8,"94'17""",3,4,2,,16,-,8,12,21,4,6,2,3,1,14,15,43,48,25,27,82,90,91%
Marlos,11,"75'08""",-,7,-,15,,-,4,5,11,2,1,-,-,-,5,5,21,22,19,21,45,48,94%
Olexandr Gladkiy,21,"82'25""",-,-,-,1,1,,1,4,-,1,-,-,1,-,0,2,6,6,3,7,9,15,60%
Taison,28,"67'40""",-,1,3,8,5,2,,7,1,7,9,-,-,-,5,6,21,21,17,17,43,44,98%
Alex Teixeira,29,"94'17""",-,-,4,13,8,4,8,,8,3,3,3,2,1,4,4,25,26,28,31,57,61,93%
Darijo Srna,33,"94'17""",6,18,2,15,10,2,1,9,,2,2,1,1,1,7,12,46,46,17,18,70,76,92%
Yaroslav Rakitskiy,44,"94'17""",10,4,-,5,-,1,8,7,6,,6,2,4,1,11,13,32,34,11,12,54,59,92%
Márcio Azevedo,66,"94'17""",-,-,3,3,1,2,9,4,-,9,,2,1,-,0,0,21,21,13,13,34,34,100%
Bernard 10,,"11'52""",-,1,-,3,-,-,-,2,-,1,-,,4,-,0,0,3,3,8,8,11,11,100%
Maksym Malyshev 17,,"26'37""",2,2,-,2,1,1,-,2,3,2,1,3,,1,1,1,14,14,5,5,20,20,100%
Viktor Kovalenko 74,,"19'09""",-,-,-,2,-,-,-,2,-,-,-,-,1,,0,0,1,1,4,4,5,5,100%
Total passes received:,,,25,53,20,84,48,15,43,59,75,50,32,14,19,6,64,84,310 323 169 182,,,,543,589,92%
,,,,,,,,,,,,,,,,,,,,,,,,02:18:36CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
