Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - VfL Wolfsburg Arena - Wolfsburg,,,,,,,,,,,,,,,,,,,,,,,,,
,VfL Wolfsburg,,,,,,,,,1 - 0,,,,,,,PFC CSKA Moskva,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,7,10,11,12,15,17,18,22,25,34,3,23,27,PC,PA,PC,PA,PC,PA,PC,PA,%
Diego Benaglio,1,"92'10""",,3,-,1,-,3,-,15,5,6,4,1,-,-,9,13,28,28,1,1,38,42,90%
Daniel Caligiuri,7,"84'52""",1,,10,2,-,8,2,-,2,-,-,3,-,-,3,4,19,21,6,11,28,36,78%
Julian Draxler,10,"92'10""",2,5,,13,-,12,7,5,13,2,10,2,1,3,4,5,59,61,12,18,75,84,89%
Max Kruse,11,"92'10""",1,5,13,,-,6,6,7,5,4,12,2,1,1,8,9,38,41,17,20,63,70,90%
Bas Dost,12,"45'08""",-,-,-,2,,1,-,-,-,-,-,-,-,-,0,0,2,3,1,3,3,6,50%
Christian Träsch,15,"92'10""",6,10,12,6,2,,3,2,5,12,-,2,-,1,10,12,47,47,4,8,61,67,91%
André Schürrle,17,"75'34""",1,1,6,5,-,1,,5,3,2,14,-,-,-,4,4,25,30,9,14,38,48,79%
Dante,18,"92'10""",12,-,4,9,3,2,13,,5,4,13,1,-,3,10,16,55,56,4,5,69,77,90%
Luiz Gustavo,22,"92'10""",4,3,9,5,-,11,9,11,,8,7,3,-,1,16,17,41,44,14,14,71,75,95%
Naldo,25,"92'10""",5,2,7,2,1,12,1,9,4,,3,4,-,-,4,5,41,42,5,5,50,52,96%
Ricardo Rodriguez,34,"92'10""",1,4,7,14,-,3,9,12,17,1,,1,-,5,11,12,50,50,13,16,74,78,95%
Nicklas Bendtner,3,"47'02""",-,3,2,5,-,1,2,-,-,-,2,,-,5,1,1,12,14,7,8,20,23,87%
Josuha Guilavogui 23,,"7'18""",-,-,-,1,-,-,-,-,-,-,-,2,,-,0,0,2,3,1,1,3,4,75%
Maximilian Arnold 27,,"16'36""",-,1,5,-,-,1,-,-,2,-,6,-,2,,3,4,13,13,1,1,17,18,94%
Total passes received:,,,33,37,75,65,6,61,52,66,61,39,71,21,4,19,83,102 432 453,,,95,125,610,680,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,Medium,,Short,,,Total,,
From,,TP,35,2,3,4,7,10,18,24,25,42,66,23,88,PC,PA,PC,PA,PC,PA,PC,PA,%,
Igor Akinfeev,35,"92'10""",,1,-,6,1,4,-,9,3,-,3,-,-,5,10,19,19,3,3,27,32,84%,
Mário Fernandes,2,"92'10""",1,,6,3,10,3,1,2,6,-,3,3,-,1,1,21,22,16,19,38,42,90%,
Pontus Wernbloom,3,"92'10""",1,3,,2,4,7,2,6,8,-,3,-,2,2,3,24,29,12,13,38,45,84%,
Sergei Ignashevich,4,"92'10""",3,10,4,,1,8,-,10,4,14,8,2,-,12,16,45,46,7,8,64,70,91%,
Zoran Tošić,7,"77'52""",-,2,4,2,,7,3,3,3,2,3,-,1,4,5,20,23,6,6,30,34,88%,
Alan Dzagoev,10,"92'10""",-,-,6,4,3,,9,2,13,2,3,-,2,5,7,28,32,11,15,44,54,81%,
Ahmed Musa,18,"92'10""",-,-,-,-,4,6,,-,4,2,3,1,-,1,1,11,15,8,8,20,24,83%,
Vasili Berezutski,24,"92'10""",5,10,7,8,2,4,1,,1,1,10,2,-,5,6,41,41,5,5,51,52,98%,
Roman Eremenko,25,"92'10""",-,3,9,5,5,5,4,3,,4,3,-,-,3,4,25,26,13,14,41,44,93%,
Georgi Schennikov,42,"92'10""",2,-,1,11,-,3,3,-,2,,5,-,1,3,7,19,21,6,8,28,36,78%,
Bibras Natcho,66,"64'31""",-,2,5,6,2,8,3,7,8,8,,-,-,6,7,36,37,7,7,49,51,96%,
Georgi Milanov 23,,"14'18""",-,2,-,-,-,-,1,2,1,2,-,,1,0,0,4,4,5,6,9,10,90%,
Seydou Doumbia 88,,"27'40""",-,-,-,-,-,1,1,-,-,-,-,-,,0,0,0,1,2,5,2,6,33%,
Total passes received:,,,12,33,42,47,32,56,28,44,53,35,44,8,7,47,67,293 316 101 117,,,,441,500,88%,
,,,,,,,,,,,,,,,,,,,,,,,,02:18:22CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
