Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - PSV Stadion - Eindhoven,,,,,,,,,,,,,,,,,,,,,,,,,
,PSV Eindhoven,,,,,,,,,2 - 1,,,,,,Manchester United FC,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,5,6,9,11,16,18,20,29,8,19,PC,PA,PC,PA,PC,PA,PC,PA,%,
Jeroen Zoet,1,"101'01""",,3,3,10,-,1,-,-,-,1,1,-,1,4,5,16,16,0,0,20,21,95%,
Héctor Moreno,3,"101'01""",3,,-,7,1,5,-,3,1,2,-,-,-,5,6,15,16,2,3,22,25,88%,
Santiago Arias,4,"101'01""",-,1,,6,2,2,4,2,1,-,3,-,-,1,2,11,12,9,12,21,26,81%,
Jeffrey Bruma,5,"101'01""",11,6,5,,4,4,1,2,2,4,3,1,-,8,15,26,27,9,9,43,51,84%,
Davy Pröpper,6,"101'01""",1,1,3,-,,2,3,4,-,4,2,1,-,3,4,13,16,5,5,21,25,84%,
Luuk de Jong,9,"101'01""",-,-,-,-,6,,3,-,1,2,2,-,-,0,2,7,10,7,8,14,20,70%,
Luciano Narsingh,11,"101'01""",-,-,3,3,1,-,,-,2,-,1,-,-,1,2,8,11,1,4,10,17,59%,
Maxime Lestienne,16,"93'02""",1,2,1,2,-,-,-,,1,2,-,-,-,1,2,4,5,4,7,9,14,64%,
Andrés Guardado,18,"79'16""",-,-,1,2,1,2,1,1,,1,1,-,-,2,3,1,5,7,9,10,17,59%,
Joshua Brenet,20,"101'01""",4,-,-,2,2,2,-,1,2,,2,1,-,3,4,10,13,3,3,16,20,80%,
Jorrit Hendrix,29,"101'01""",3,3,1,3,1,3,-,2,3,2,,-,-,1,2,15,20,5,5,21,27,78%,
Stijn Schaars,8,"21'45""",-,1,1,-,2,-,-,-,-,1,-,,-,1,1,2,2,2,2,5,5,100%,
Jürgen Locadia 19,,"7'59""",-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,1,0,0,0,1,0%,
Total passes received:,,,23,17,18,35,20,21,12,15,13,19,15,3,1,30,48,128 154,,54,67,212,269,79%,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,7,8,9,12,17,18,21,23,31,36,5,25,27,PC,PA,PC,PA,PC,PA,PC,PA,%
David de Gea,1,"101'01""",,-,1,1,2,1,1,1,-,6,3,5,-,1,5,8,16,16,1,1,22,25,88%
Memphis Depay,7,"101'01""",-,,8,11,1,4,-,2,2,2,4,1,-,3,2,2,19,22,17,20,38,44,86%
Juan Mata,8,"101'01""",-,10,,1,3,8,7,14,1,8,9,2,2,2,5,6,39,41,23,24,67,71,94%
Anthony Martial,9,"101'01""",-,2,5,,-,1,5,3,-,2,2,-,-,-,0,0,9,11,11,17,20,28,71%
Chris Smalling,12,"101'01""",8,7,7,-,,2,2,9,1,13,7,12,-,2,9,11,50,51,11,11,70,73,96%
Daley Blind,17,"101'01""",2,5,4,1,4,,3,3,1,10,-,5,-,1,2,4,31,33,6,7,39,44,89%
Ashley Young,18,"93'09""",1,2,5,1,1,-,,2,-,4,6,-,-,-,4,5,14,16,4,4,22,25,88%
Ander Herrera,21,"82'45""",2,5,8,3,10,4,4,,-,7,12,9,-,-,6,7,47,50,11,12,64,69,93%
Luke Shaw,23,"23'35""",-,2,1,-,2,-,-,1,,-,-,-,-,-,0,0,5,5,1,1,6,6,100%
Schweinsteiger,31,"101'01""",3,4,17,6,8,7,6,10,-,,5,8,-,-,4,9,59,62,11,11,74,82,90%
Matteo Darmian,36,"101'01""",-,9,7,5,4,2,6,8,-,5,,2,1,-,1,3,31,33,17,18,49,54,91%
Marcos Rojo,5,"77'26""",2,5,2,1,18,5,1,7,-,11,1,,-,2,4,4,49,50,2,2,55,56,98%
Antonio Valencia 25,,"7'52""",-,-,1,-,-,-,-,-,-,-,2,-,,-,0,0,1,2,2,2,3,4,75%
Marouane Fellaini 27,,"18'16""",-,-,2,-,1,2,-,-,-,1,-,-,-,,0,0,4,5,2,3,6,8,75%
Total passes received:,,,18,51,68,30,54,36,35,60,5,69,51,44,3,11,42,59,374 397 119 133,,,,535,589,91%
,,,,,,,,,,,,,,,,,,,,,,,,02:38:01CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
