Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Ali Sami Yen Spor Kompleksi - Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,
,Galatasaray AŞ,,,,,,,,,0 - 2,,,,,,Club Atlético de Madrid,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,8,10,11,17,22,23,26,52,55,64,7,9,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,"94'10""",,3,4,1,4,5,3,4,-,3,10,-,2,-,15,16,20,20,4,4,39,40,98%
Selçuk İnan,8,"94'10""",1,,9,3,1,5,6,7,1,4,8,3,1,-,5,6,37,39,7,7,49,52,94%
Wesley Sneijder,10,"94'10""",2,6,,7,4,5,13,4,2,-,8,5,5,-,7,9,42,46,12,13,61,68,90%
Lukas Podolski,11,"72'02""",-,3,5,,1,2,6,2,1,1,2,-,1,-,0,0,13,18,11,12,24,30,80%
Burak Yılmaz,17,"94'10""",-,1,2,3,,2,1,-,1,-,-,1,3,1,0,1,6,7,9,10,15,18,83%
Hakan Balta,22,"94'10""",4,10,7,3,1,,7,8,3,2,5,-,2,1,4,5,37,42,12,13,53,60,88%
Lionel Carole,23,"94'10""",-,3,21,5,4,6,,4,2,-,7,-,1,-,7,8,29,33,17,19,53,60,88%
Semih Kaya,26,"94'10""",3,7,5,5,-,15,-,,3,9,15,2,3,1,11,12,47,51,10,11,68,74,92%
Emre Çolak,52,"31'57""",-,2,1,3,-,4,3,1,,4,-,-,-,-,1,1,12,12,5,6,18,19,95%
Sabri Sarıoğlu,55,"46'06""",5,-,1,1,3,2,1,6,4,,1,-,-,-,2,4,19,22,3,5,24,31,77%
Jason Denayer,64,"94'10""",2,6,9,2,1,1,12,17,1,2,,6,3,1,7,8,50,52,6,7,63,67,94%
Yasin Öztekin,7,"48'03""",-,1,3,-,1,-,2,1,-,-,3,,2,-,1,1,9,11,3,3,13,15,87%
Umut Bulut,9,"62'13""",-,3,2,-,1,2,2,-,-,2,1,1,,-,1,1,10,11,3,5,14,17,82%
Sinan Gümüs 18,,"22'08""",-,2,1,-,1,-,-,-,-,-,-,-,-,,0,0,3,4,1,1,4,5,80%
Total passes received:,,,17,47,70,33,22,49,56,54,18,27,60,18,23,4,61,72,334 368 103 116,,,,498,556,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,5,6,7,11,17,20,23,24,9,10,14,PC,PA,PC,PA,PC,PA,PC,PA,%
Jan Oblak,13,"94'10""",,2,-,-,1,3,1,-,-,1,2,2,-,-,8,18,4,4,0,0,12,22,55%
Diego Godín,2,"94'10""",4,,2,7,2,5,-,5,-,-,1,-,-,-,4,7,19,22,3,3,26,32,81%
Guilherme Siqueira,4,"94'10""",-,1,,1,6,3,1,6,-,4,1,-,2,-,3,6,13,18,9,9,25,33,76%
Tiago,5,"94'10""",1,6,3,,14,6,1,8,8,7,5,2,3,5,5,6,44,48,20,21,69,75,92%
Koke,6,"94'10""",-,2,9,14,,5,-,7,11,4,3,-,6,7,4,8,46,52,18,22,68,82,83%
Antoine Griezmann,7,"94'10""",-,2,12,2,8,,4,5,5,7,1,1,1,5,3,4,28,33,22,22,53,59,90%
Jackson Martínez,11,"60'51""",-,-,-,1,1,3,,-,-,2,-,-,-,-,0,0,1,2,6,9,7,11,64%
Saúl Ñíguez,17,"80'49""",1,3,8,3,7,11,-,,2,5,2,1,-,1,5,5,26,29,13,14,44,48,92%
Juanfran,20,"94'10""",2,-,-,9,10,6,-,2,,2,-,-,1,7,3,3,21,24,15,17,39,44,89%
Luciano Vietto,23,"63'04""",-,-,-,3,9,4,3,2,1,,-,1,-,-,0,1,10,12,13,14,23,27,85%
José María Giménez,24,"94'10""",-,5,3,3,4,1,1,2,4,-,,-,-,-,5,7,17,19,1,2,23,28,82%
Fernando Torres,9,"33'18""",-,-,-,-,1,2,-,3,-,1,-,,2,1,0,0,5,7,5,5,10,12,83%
Óliver Torres 10,,"13'21""",-,-,1,2,7,2,-,-,2,-,-,3,,2,1,1,6,7,12,13,19,21,90%
Gabi 14,,"31'05""",-,-,-,9,3,7,-,-,6,-,3,-,2,,0,1,12,12,18,20,30,33,91%
Total passes received:,,,8,21,38,54,73,58,11,40,39,33,18,10,17,28,41,67,252 289 155 171,,,,448,527,85%
,,,,,,,,,,,,,,,,,,,,,,,,04:07:42CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
