Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Estádio do SL Benfica - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
,SL Benfica,,,,,,,,,2 - 0,,,,,,,,FC Astana,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,4,7,10,11,17,19,20,30,33,50,5,9,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Júlio César,12,"95'16""",,4,2,1,2,-,-,-,1,7,4,-,-,-,7,7,13,13,1,1,21,21,100%
Luisão,4,"95'16""",-,,13,-,1,-,-,3,11,16,12,1,-,3,4,4,51,57,5,5,60,66,91%
Andreas Samaris,7,"85'36""",3,14,,8,2,3,7,6,5,11,8,-,-,2,12,13,49,54,8,10,69,77,90%
Nicolás Gaitán,10,"95'16""",-,-,3,,5,6,7,3,4,3,-,-,1,1,2,6,16,22,15,19,33,47,70%
Kostas Mitroglou,11,"95'16""",-,2,-,5,,5,3,3,2,1,-,-,-,1,3,3,13,17,6,8,22,28,79%
Jonas,17,"73'07""",-,2,4,2,3,,2,2,2,-,3,-,-,-,3,3,11,15,6,11,20,29,69%
Eliseu,19,"95'16""",3,1,6,21,3,2,,-,6,6,-,-,1,5,3,3,34,39,17,20,54,62,87%
Gonçalo Guedes,20,"95'16""",-,2,5,2,3,3,1,,4,1,7,-,2,2,1,3,14,15,17,20,32,38,84%
Talisca,30,"77'27""",1,5,12,4,4,3,3,4,,4,4,-,-,1,4,4,36,41,5,10,45,55,82%
Jardel,33,"95'16""",1,18,7,3,1,1,24,1,7,,-,1,-,6,3,4,59,62,8,10,70,76,92%
Nélson Semedo,50,"95'16""",1,4,7,-,4,-,-,9,1,-,,4,-,4,2,4,21,23,11,14,34,41,83%
Ljubomir Fejsa,5,"9'40""",-,-,-,-,1,-,-,1,-,3,5,,-,1,3,3,6,8,2,2,11,13,85%
Raúl Jiménez,9,"17'49""",-,-,-,-,-,-,1,1,-,-,-,-,,-,0,0,1,1,1,1,2,2,100%
Pizzi 21,,"22'09""",-,-,2,4,1,-,4,3,1,4,4,5,-,,4,4,15,16,9,10,28,30,93%
Total passes received:,,,9,52,61,50,30,23,52,36,44,56,47,11,4,26,51,61,339 383 111 141,,,,501,585,86%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,6,8,10,22,33,44,77,88,89,9,15,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Nenad Erić,1,"95'16""",,-,1,-,-,2,-,2,1,-,-,-,-,-,4,8,2,2,0,0,6,10,60%
Marin Aničić,5,"95'16""",3,,3,1,3,-,2,1,6,1,1,-,-,-,4,6,13,14,4,5,21,25,84%
Nemanja Maksimović,6,"95'16""",-,1,,1,7,1,-,1,3,5,-,-,-,-,0,1,8,10,11,12,19,23,83%
Georgi Zhukov,8,"95'16""",-,2,2,,3,4,7,2,3,7,1,1,5,-,5,6,16,22,16,18,37,46,80%
Foxi Kéthévoama,10,"95'16""",-,-,1,2,,1,-,1,5,2,6,3,-,-,0,3,16,20,5,8,21,31,68%
Baurzhan Dzholchiyev,22,"81'24""",-,1,-,5,-,,5,-,-,3,2,2,-,-,2,3,9,13,7,10,18,26,69%
Branko Ilić,33,"92'19""",2,-,-,5,1,4,,4,-,2,3,1,2,-,1,2,18,19,5,7,24,28,86%
Evgeni Postnikov,44,"95'16""",-,4,1,4,-,4,6,,-,5,-,2,-,-,4,4,20,20,2,3,26,27,96%
Dmitri Shomko,77,"95'16""",-,2,2,1,8,1,1,2,,7,2,-,-,-,3,3,16,19,7,15,26,37,70%
Roger Cañas,88,"95'16""",-,10,4,7,5,7,6,5,8,,2,-,-,-,8,10,29,32,17,18,54,60,90%
Junior Kabananga,89,"46'07""",-,-,-,4,4,2,-,-,1,2,,-,-,-,0,1,6,8,7,9,13,18,72%
Aleksei Schetkin,9,"49'09""",-,-,3,-,1,1,1,-,-,-,-,,-,-,0,0,5,7,1,1,6,8,75%
Abzal Beysebekov 15,,"13'52""",-,-,-,5,-,-,-,-,-,-,-,1,,-,0,0,3,3,3,3,6,6,100%
Denys Dedechko 24,,"2'57""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,5,20,17,35,32,27,28,18,27,34,17,10,7,0,31,47,161 189,,85,109,277,345,80%
,,,,,,,,,,,,,,,,,,,,,,,,02:18:31CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
