Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Estadio Ramón Sánchez Pizjuán - Seville,,,,,,,,,,,,,,,,,,,,,,,,,
,Sevilla FC,,,,,,,,,3 - 0,,,,VfL Borussia Mönchengladbach,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,5,9,10,15,17,19,20,23,7,11,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Sergio Rico,1,"92'04""",,-,1,6,-,-,1,9,-,-,-,-,-,-,2,4,15,15,0,0,17,19,89%
Benoît Trémoulinas,2,"92'04""",1,,5,9,2,8,2,1,3,1,-,2,-,1,5,5,21,26,9,10,35,41,85%
Grzegorz Krychowiak,4,"92'04""",1,8,,13,1,5,9,9,12,4,7,1,-,-,16,17,46,47,8,9,70,73,96%
Kolodziejczak,5,"92'04""",6,11,11,,-,4,10,8,7,1,2,3,-,1,9,12,52,55,3,3,64,70,91%
Kevin Gameiro,9,"70'26""",-,1,1,-,,1,1,-,4,2,-,-,-,-,0,1,5,5,5,7,10,13,77%
José Antonio Reyes,10,"83'02""",-,4,4,2,2,,2,-,5,3,2,-,3,-,2,4,19,22,6,14,27,40,68%
Steven N'Zonzi,15,"92'04""",-,5,10,8,-,2,,13,13,4,8,1,-,-,5,6,48,49,11,12,64,67,96%
Marco Andreolli,17,"92'04""",4,-,10,18,-,-,9,,4,3,7,-,-,-,12,14,39,39,4,4,55,57,96%
Éver Banega,19,"75'10""",-,11,4,2,3,8,6,2,,10,8,-,-,-,15,19,33,35,6,8,54,62,87%
Vitolo,20,"92'04""",1,1,6,2,1,1,6,1,3,,9,-,-,-,4,5,18,23,9,13,31,41,76%
Coke,23,"92'04""",-,-,2,1,2,-,8,6,3,10,,2,-,-,2,4,26,29,6,9,34,42,81%
Michael Krohn-Dehli,7,"16'54""",-,-,2,1,-,3,2,-,-,1,-,,-,1,1,1,5,6,4,4,10,11,91%
Ciro Immobile 11,,"21'38""",-,-,1,-,-,-,-,-,1,-,-,-,,1,0,0,1,1,2,3,3,4,75%
Yevhen Konoplyanka 22,,"9'02""",-,3,-,-,-,-,-,-,-,-,1,-,-,,1,1,1,1,2,2,4,4,100%
Total passes received:,,,13,44,57,62,11,32,56,49,55,39,44,9,3,4,74,93,329 353,,75,98,478,544,88%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,6,10,11,13,16,17,24,27,28,8,9,14,PC,PA,PC,PA,PC,PA,PC,PA,%
Yann Sommer,1,"92'04""",,3,1,2,1,1,1,-,4,2,4,-,-,-,8,25,11,11,0,1,19,37,51%
Roel Brouwers,4,"92'04""",3,,2,2,-,-,2,-,9,9,2,2,-,-,1,1,28,28,2,2,31,31,100%
Håvard Nordtveit,6,"92'04""",1,1,,2,2,2,8,3,3,7,2,5,-,-,3,3,23,26,10,11,36,40,90%
Thorgan Hazard,10,"92'04""",-,3,2,,6,3,4,-,1,1,3,4,1,1,2,2,16,19,11,13,29,34,85%
Raffael,11,"82'46""",-,-,3,6,,-,6,1,-,1,-,1,-,1,0,0,12,14,7,8,19,22,86%
Lars Stindl,13,"66'55""",-,3,-,-,2,,2,9,2,3,-,-,-,-,1,2,13,13,7,9,21,24,88%
Ibrahima Traoré,16,"92'04""",-,1,4,4,2,2,,6,3,5,3,4,1,1,4,6,22,23,10,12,36,41,88%
Oscar Wendt,17,"92'04""",1,-,4,2,5,4,6,,10,-,1,5,-,1,0,1,25,26,14,14,39,41,95%
Tony Jantschke,24,"92'04""",8,8,6,5,-,1,1,13,,1,1,-,-,1,4,6,38,39,3,4,45,49,92%
Julian Korb,27,"92'04""",2,5,2,5,1,2,7,-,3,,5,4,1,-,1,1,25,29,11,11,37,41,90%
André Hahn,28,"72'06""",-,3,2,-,2,2,-,1,1,1,,1,-,-,1,2,6,11,6,8,13,21,62%
Mahmoud Dahoud,8,"25'08""",1,1,6,2,3,-,3,4,3,3,-,,-,-,3,3,17,17,6,7,26,27,96%
Josip Drmic,9,"9'17""",-,-,-,1,-,-,1,1,-,-,-,-,,-,0,0,3,3,0,1,3,4,75%
Nico Schulz 14,,"19'58""",-,-,-,1,-,-,-,-,-,-,-,2,-,,0,0,2,2,1,2,3,4,75%
Total passes received:,,,16,28,32,32,24,17,41,38,39,33,21,28,3,5,28,52,241 261,,88,103,357,416,86%
,,,,,,,,,,,,,,,,,,,,,,,,02:15:59CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
