Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 16 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Stadio Olimpico - Rome,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Roma,,,,,,,,,1 - 1,,,,,,,FC Barcelona,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,2,3,4,9,11,14,16,20,24,44,26,7,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Wojciech Szczęsny,25,"50'48""",,-,-,-,5,1,-,1,-,-,2,-,-,-,6,10,3,3,0,0,9,13,69%
Antonio Rüdiger,2,"96'20""",1,,2,1,1,-,-,1,-,-,-,-,1,-,3,4,3,3,1,1,7,8,88%
Lucas Digne,3,"96'20""",-,2,,6,2,1,5,-,-,-,-,-,1,-,2,2,8,10,7,7,17,19,89%
Radja Nainggolan,4,"96'20""",1,-,3,,2,2,6,7,2,-,2,-,1,-,5,5,11,12,10,11,26,28,93%
Edin Džeko,9,"96'20""",-,-,-,5,,3,2,2,-,2,1,-,-,-,3,4,6,16,6,8,15,28,54%
Mohamed Salah,11,"96'20""",-,-,1,3,1,,1,3,3,2,-,-,-,1,1,1,11,12,3,3,15,16,94%
Iago Falqué,14,"82'11""",-,1,2,2,1,-,,2,-,3,-,-,-,-,2,4,4,6,5,8,11,18,61%
Daniele De Rossi,16,"96'20""",-,1,5,6,2,2,1,,5,-,3,-,-,1,8,10,14,19,4,4,26,33,79%
Seydou Keita,20,"96'20""",-,-,-,-,1,4,-,4,,2,-,-,-,1,1,3,6,8,5,5,12,16,75%
Alessandro Florenzi,24,"85'58""",-,-,1,1,1,2,-,-,-,,-,1,-,-,2,6,2,5,2,2,6,13,46%
Kostas Manolas,44,"96'20""",-,-,1,-,4,3,-,3,2,-,,2,-,-,5,7,9,9,1,2,15,18,83%
Morgan De Sanctis 26,,"45'32""",-,-,2,2,3,-,1,1,1,1,-,,-,-,8,11,3,3,0,0,11,14,79%
Juan Manuel Iturbe,7,"14'10""",-,-,-,-,-,-,-,1,-,-,-,-,,-,0,0,1,1,0,0,1,1,100%
Vasilis Torosidis 35,,"10'22""",-,-,-,-,-,1,-,-,1,-,1,-,-,,0,0,3,3,0,0,3,3,100%
Total passes received:,,,2,4,17,26,23,19,16,25,14,10,9,3,3,3,46,67,84,110,44,51,174,228,76%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,5,8,9,10,11,18,20,24,12,14,PC,PA,PC,PA,PC,PA,PC,PA,%,
ter Stegen,1,"96'20""",,12,-,-,-,-,-,1,2,4,5,-,2,5,5,18,18,3,3,26,26,100%,
Gerard Piqué,3,"96'20""",8,,15,11,1,3,16,2,3,19,24,-,2,8,11,82,84,14,14,104,109,95%,
Ivan Rakitić,4,"62'12""",1,13,,9,2,2,9,1,1,9,7,-,-,2,4,35,36,17,19,54,59,92%,
Sergio Busquets,5,"96'20""",-,7,4,,7,-,19,4,6,3,9,-,2,7,8,30,32,24,25,61,65,94%,
Andrés Iniesta,8,"96'20""",-,4,4,7,,2,13,13,16,3,6,-,4,5,6,50,54,17,19,72,79,91%,
Luis Suárez,9,"96'20""",-,-,1,2,-,,4,3,1,1,-,-,1,1,1,5,8,7,9,13,18,72%,
Lionel Messi,10,"96'20""",-,5,7,11,16,4,,14,3,10,5,-,-,6,9,40,47,29,32,75,88,85%,
Neymar,11,"96'20""",-,2,1,2,16,3,13,,9,1,1,-,-,3,4,25,28,20,22,48,54,89%,
Jordi Alba,18,"96'20""",3,2,-,5,16,4,2,11,,-,9,-,-,2,2,35,38,15,16,52,56,93%,
Sergi Roberto,20,"96'20""",-,13,14,5,2,2,15,-,-,,1,-,1,1,1,39,40,13,15,53,56,95%,
Jérémy Mathieu,24,"96'20""",1,34,6,5,14,1,2,4,13,2,,-,-,7,9,65,66,10,11,82,86,95%,
Rafinha 12,,"3'48""",-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%,
Javier Mascherano 14,,"30'20""",-,3,-,3,1,-,3,2,1,-,3,-,,1,1,11,11,4,4,16,16,100%,
Total passes received:,,,13,95,52,60,75,21,96,55,55,52,70,0,12,48,61,435 462 173 189,,,,656,712,92%,
,,,,,,,,,,,,,,,,,,,,,,,,00:58:20CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,17 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
