Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 16 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Stadio Georgios Karaiskakis - Piraeus,,,,,,,,,,,,,,,,,,,,,,,,,
,Olympiacos FC,,,,,,,,,0 - 3,,,,,,,FC Bayern München,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,6,10,11,14,23,26,30,90,91,99,7,77,92,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,"94'39""",,-,1,1,-,6,1,-,3,-,4,-,-,-,8,16,6,6,2,3,16,25,64%
Manuel da Costa,6,"94'39""",3,,-,1,3,-,2,1,1,-,-,-,-,-,1,9,9,13,1,1,11,23,48%
Alejandro Domínguez,10,"60'51""",-,1,,-,3,-,4,1,1,-,1,-,-,-,4,5,5,7,2,3,11,15,73%
Pajtim Kasami,11,"94'39""",-,1,2,,2,1,5,-,1,1,2,-,2,1,2,7,9,9,7,7,18,23,78%
Omar Elabdellaoui,14,"94'39""",3,3,2,3,,1,-,4,4,4,2,1,4,-,1,1,18,20,12,14,31,35,89%
Dimitris Siovas,23,"94'39""",5,3,-,1,-,,2,-,-,-,1,-,2,-,3,4,10,10,1,1,14,15,93%
Arthur Masuaku,26,"94'39""",-,5,3,3,1,2,,-,1,1,1,-,2,-,5,6,8,9,6,8,19,23,83%
Leandro Salino,30,"94'39""",-,-,2,1,5,1,-,,1,2,2,1,-,-,0,0,9,13,6,6,15,19,79%
Felipe Pardo,90,"81'39""",-,-,1,-,2,-,-,3,,1,-,1,-,-,0,0,5,7,3,5,8,12,67%
Esteban Cambiasso,91,"65'52""",-,-,-,4,4,1,2,2,2,,3,-,-,-,1,2,11,13,6,9,18,24,75%
Ideye Brown,99,"94'39""",-,-,2,-,-,-,1,2,1,2,,2,-,-,0,1,7,8,3,6,10,15,67%
Kostas Fortounis,7,"28'47""",-,1,-,-,3,-,2,-,-,-,3,,-,1,1,1,4,4,5,5,10,10,100%
Hernâni 77,,"33'48""",-,-,-,1,1,-,1,1,-,-,1,-,,-,0,0,2,2,3,5,5,7,71%
Sebá 92,,"13'00""",-,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,1,1,0,1,1,2,50%
Total passes received:,,,11,14,13,15,24,12,20,14,15,11,20,6,10,2,26,52,104 122,,57,74,187,248,75%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,6,9,11,14,17,18,21,23,25,27,19,29,32,PC,PA,PC,PA,PC,PA,PC,PA,%
Manuel Neuer,1,"94'39""",,1,-,1,7,8,1,3,2,-,9,1,1,2,6,9,25,25,5,5,36,39,92%
Thiago Alcántara,6,"94'39""",-,,2,12,11,7,9,15,8,12,10,-,2,2,11,11,57,63,22,24,90,98,92%
Robert Lewandowski,9,"59'12""",-,2,,-,-,1,2,-,-,2,-,-,-,-,0,0,0,2,7,7,7,9,78%
Douglas Costa,11,"94'39""",-,6,2,,2,2,8,3,11,2,-,-,2,-,1,1,28,29,9,11,38,41,93%
Xabi Alonso,14,"76'18""",-,17,-,10,,8,6,6,11,3,10,-,-,-,8,9,47,53,16,16,71,78,91%
Jérôme Boateng,17,"94'39""",8,11,1,3,7,,4,6,4,3,19,-,-,-,5,8,52,56,9,12,66,76,87%
Juan Bernat,18,"94'39""",2,6,1,8,10,2,,-,15,-,7,1,2,2,0,1,30,32,26,26,56,59,95%
Philipp Lahm,21,"94'39""",1,15,1,3,3,8,1,,2,4,1,-,2,1,1,2,31,35,10,10,42,47,89%
Arturo Vidal,23,"78'50""",-,13,1,5,12,9,12,3,,3,6,-,3,-,4,4,38,41,25,28,67,73,92%
Thomas Müller,25,"94'39""",2,6,2,1,2,-,-,6,4,,-,-,1,-,2,2,8,11,14,17,24,30,80%
David Alaba,27,"94'39""",10,7,2,4,13,17,5,1,9,1,,1,-,1,5,6,48,50,18,19,71,75,95%
Mario Götze 19,,"15'50""",-,-,-,-,-,-,2,-,-,1,-,,-,-,0,0,2,2,1,1,3,3,100%
Kingsley Coman 29,,"35'27""",-,-,-,-,-,-,-,1,5,-,-,1,,1,0,0,6,6,2,4,8,10,80%
Joshua Kimmich 32,,"18'21""",-,1,-,-,-,-,1,2,-,-,3,1,1,,1,2,8,8,0,0,9,10,90%
Total passes received:,,,23,85,12,47,67,62,51,46,71,31,65,5,14,9,44,55,380 413 164 180,,,,588,648,91%
,,,,,,,,,,,,,,,,,,,,,,,,01:37:37CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,17 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
