Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 16 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stamford Bridge - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea FC,,,,,,,,,4 - 0,,,,,,,Maccabi Tel Aviv FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,8,10,18,22,24,28,36,7,14,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Asmir Begović,1,"95'39""",,1,8,1,-,-,-,-,5,-,-,-,-,1,1,1,14,14,1,1,16,16,100%
Cesc Fàbregas,4,"95'39""",-,,3,13,15,21,9,3,2,17,10,8,4,10,10,14,83,85,22,27,115,126,91%
Kurt Zouma,5,"95'39""",2,15,,1,2,-,1,-,5,5,3,1,-,-,4,4,27,28,4,5,35,37,95%
Abdul Rahman Baba,6,"95'39""",2,12,2,,2,16,1,-,3,2,5,-,4,2,1,2,33,35,17,18,51,55,93%
Oscar,8,"68'03""",-,10,-,-,,8,2,-,4,1,12,-,-,4,2,2,28,34,11,15,41,51,80%
Eden Hazard,10,"95'39""",-,11,-,6,12,,2,2,-,5,7,1,3,10,2,3,32,37,25,29,59,69,86%
Loïc Rémy,18,"95'39""",-,5,2,-,4,2,,2,-,6,2,1,-,1,1,1,11,12,13,14,25,27,93%
Willian,22,"22'48""",-,3,-,-,2,1,-,,-,1,2,-,-,-,1,1,6,6,2,2,9,9,100%
Gary Cahill,24,"95'39""",1,14,3,10,2,3,-,1,,2,3,1,-,1,5,5,28,28,8,9,41,42,98%
César Azpilicueta,28,"95'39""",1,18,5,-,5,-,8,3,-,,7,-,1,3,3,5,40,44,8,8,51,57,89%
Ruben Loftus-Cheek,36,"79'50""",-,13,-,5,6,7,2,-,5,10,,2,-,4,2,2,37,40,15,15,54,57,95%
Ramires,7,"27'36""",-,5,3,4,-,2,1,-,1,-,-,,3,-,2,5,12,12,5,5,19,22,86%
Bertrand Traoré 14,,"15'49""",-,4,1,1,-,-,-,-,-,-,-,5,,-,1,1,7,8,3,3,11,12,92%
Diego Costa 19,,"72'50""",-,2,1,1,2,9,-,-,-,1,1,1,1,,1,1,11,15,7,11,19,27,70%
Total passes received:,,,6,113,28,42,52,69,26,11,25,50,52,20,16,36,36,47,369 398 141 162,,,,546,607,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,95,3,6,7,11,18,20,22,24,26,40,15,42,99,PC,PA,PC,PA,PC,PA,PC,PA,%
Predrag Rajković,95,"95'39""",,-,-,-,1,4,1,-,-,6,-,-,-,-,2,7,10,10,0,0,12,17,71%
Yuval Shpungin,3,"74'04""",2,,2,2,2,-,-,-,3,3,2,-,-,1,2,5,11,12,4,4,17,21,81%
Gal Alberman,6,"95'39""",-,2,,9,2,6,4,-,12,9,6,1,3,-,1,2,40,43,13,14,54,59,92%
Eran Zahavi,7,"95'39""",-,1,7,,1,2,2,3,4,2,9,1,1,1,0,0,22,25,12,15,34,40,85%
Tal Ben Haim II,11,"67'24""",-,3,1,-,,-,-,-,4,-,-,-,-,-,0,0,5,7,3,5,8,12,67%
Eytan Tibi,18,"95'39""",4,-,9,5,-,,4,-,3,3,3,-,1,-,2,2,26,28,4,5,32,35,91%
Omri Ben Harush,20,"95'39""",-,-,3,1,-,2,,2,1,3,2,-,-,-,0,1,7,9,7,7,14,17,82%
Avraham Rikan,22,"67'31""",-,-,1,2,-,1,-,,-,-,1,-,-,-,0,0,3,7,2,3,5,10,50%
Nikola Mitrović,24,"95'39""",-,4,8,4,5,4,1,2,,2,2,4,1,-,1,2,21,25,15,16,37,43,86%
Tal Ben Haim I,26,"95'39""",3,5,8,4,2,6,-,-,6,,2,-,1,1,1,1,31,34,6,6,38,41,93%
Nosakhare Igiebor,40,"95'39""",1,3,4,5,2,6,3,-,2,-,,-,-,-,1,1,16,24,9,11,26,36,72%
Dor Miha 15,,"28'15""",-,-,1,-,-,-,-,-,3,1,-,,4,2,0,0,7,7,4,5,11,12,92%
Dor Peretz 42,,"21'35""",-,-,2,2,-,-,-,-,1,1,-,5,,1,0,0,8,8,4,5,12,13,92%
Dejan Radonjić 99,,"28'08""",-,-,1,2,-,-,-,-,1,-,1,-,-,,0,0,0,0,5,6,5,6,83%
Total passes received:,,,10,18,47,36,15,31,15,7,40,30,28,11,11,6,10,21,207 239,,88,102,305,362,84%
,,,,,,,,,,,,,,,,,,,,,,,,00:31:12CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,17 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
