Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 16 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Camp de Mestalla - Valencia,,,,,,,,,,,,,,,,,,,,,,,,,
,Valencia CF,,,,,,,,,2 - 3,,,,,,,Football Club Zenit,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,24,2,5,7,8,10,11,14,15,18,23,9,17,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Jaume Doménech,24,"96'17""",,2,2,-,-,2,-,1,2,2,6,-,2,-,3,4,14,14,2,2,19,20,95%
João Cancelo,2,"96'17""",1,,3,3,11,3,1,-,7,4,1,-,6,1,2,5,30,36,9,11,41,52,79%
Shkodran Mustafi,5,"96'17""",2,5,,1,2,17,-,1,4,5,11,-,2,-,7,8,36,38,7,7,50,53,94%
Álvaro Negredo,7,"96'17""",1,4,1,,1,6,2,1,1,2,-,-,-,2,1,1,14,15,6,8,21,24,88%
Sofiane Feghouli,8,"71'26""",-,9,1,2,,7,1,-,1,1,1,-,-,-,0,0,15,20,8,10,23,30,77%
Daniel Parejo,10,"96'17""",-,14,5,9,12,,1,6,14,6,2,1,3,17,7,10,70,72,13,19,90,101,89%
Pablo Piatti,11,"46'06""",-,-,-,1,-,3,,8,2,3,-,-,-,-,0,0,9,11,8,8,17,19,89%
José Gayà,14,"96'17""",2,-,1,2,-,7,10,,9,2,10,-,-,5,4,4,32,35,12,13,48,52,92%
Enzo Pérez,15,"96'17""",1,8,7,1,3,14,6,10,,4,7,-,1,8,8,11,53,55,9,9,70,75,93%
Javi Fuego,18,"46'06""",-,5,7,1,3,10,-,5,3,,3,-,-,-,1,1,31,32,5,5,37,38,97%
Aymen Abdennour,23,"96'17""",2,1,7,-,-,17,3,12,11,3,,-,-,5,5,5,43,44,13,14,61,63,97%
Paco Alcácer,9,"50'11""",-,-,-,1,-,-,-,1,-,-,-,,-,4,0,0,2,2,4,5,6,7,86%
Rodrigo 17,,"24'51""",-,7,1,1,-,2,-,-,-,-,-,-,,1,0,1,8,8,4,4,12,13,92%
André Gomes 21,,"50'11""",-,-,2,2,-,4,-,12,6,-,3,5,-,,2,3,18,23,14,14,34,40,85%
Total passes received:,,,9,55,37,24,32,92,24,57,60,32,44,6,14,43,40,53,375 405 114 129,,,,529,587,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,6,7,10,19,21,22,24,28,13,17,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Yuri Lodygin,1,"96'17""",,-,1,1,1,-,1,-,4,2,4,1,-,-,9,18,5,5,1,1,15,24,62%
Aleksandr Anyukov,2,"77'29""",2,,-,1,-,3,4,5,2,5,2,-,-,-,3,3,19,21,2,3,24,27,89%
Domenico Criscito,4,"96'17""",2,1,,1,5,6,-,3,1,-,6,-,-,-,3,5,10,11,12,12,25,28,89%
Nicolas Lombaerts,6,"96'17""",2,1,-,,2,2,-,-,-,1,1,-,-,-,3,4,6,7,0,0,9,11,82%
Hulk,7,"96'17""",-,1,1,-,,3,-,3,1,-,3,-,3,-,0,0,8,9,7,8,15,17,88%
Danny,10,"96'17""",-,5,2,1,9,,1,4,4,3,9,1,3,-,7,9,30,35,5,8,42,52,81%
Igor Smolnikov,19,"69'49""",-,3,-,-,1,2,,1,1,1,-,-,-,-,0,1,7,7,2,3,9,11,82%
Javi García,21,"96'17""",-,5,2,2,-,7,2,,1,6,3,-,-,-,0,0,20,22,8,9,28,31,90%
Artem Dzyuba,22,"59'11""",-,1,2,-,5,4,-,1,,-,1,-,-,-,1,1,9,9,4,5,14,15,93%
Ezequiel Garay,24,"96'17""",3,3,1,2,-,5,1,3,2,,4,-,-,1,5,6,17,18,3,3,25,27,93%
Axel Witsel,28,"96'17""",-,5,3,-,4,10,1,7,1,2,,-,1,2,0,1,26,28,10,13,36,42,86%
Luís Neto 13,,"18'48""",-,-,-,-,-,1,-,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,100%
Oleg Shatov 17,,"26'28""",-,-,1,-,-,3,-,1,-,-,2,-,,1,0,0,7,7,1,2,8,9,89%
Viktor Fayzulin 20,,"37'06""",-,-,-,-,-,2,-,-,-,-,-,-,1,,1,2,2,2,0,0,3,4,75%
Total passes received:,,,9,25,13,8,27,48,10,28,17,20,35,2,8,4,32,50,167 182,,55,67,254,299,85%
,,,,,,,,,,,,,,,,,,,,,,,,01:20:59CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,17 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
