Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 16 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - KAA Gent Stadium - Gent,,,,,,,,,,,,,,,,,,,,,,,,,
,KAA Gent,,,,,,,,,1 - 1,,,,,,,Olympique Lyonnais,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,9,10,13,14,19,21,23,27,32,77,4,8,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Matz Sels,1,"95'07""",,4,3,2,2,-,1,1,-,1,2,-,1,-,9,17,7,7,1,1,17,25,68%
Laurent Depoitre,9,"95'07""",-,,3,-,3,1,1,-,2,3,-,-,-,1,0,1,7,7,7,9,14,17,82%
Renato Neto,10,"95'07""",1,1,,2,8,2,8,3,4,10,4,-,1,1,11,13,28,30,6,7,45,50,90%
Stefan Mitrović,13,"95'07""",4,1,1,,5,-,5,7,-,1,2,-,-,-,2,4,18,21,6,7,26,32,81%
Sven Kums,14,"95'07""",-,4,7,4,,1,6,3,3,11,5,-,-,-,14,17,19,24,11,11,44,52,85%
Brecht Dejaegere,19,"40'30""",-,3,1,-,1,,-,-,2,5,-,-,-,-,0,0,8,10,4,5,12,15,80%
Nana Asare,21,"95'07""",1,1,9,5,7,-,,1,6,-,6,-,1,-,1,3,26,28,10,10,37,41,90%
Lasse Nielsen,23,"95'07""",2,1,5,6,5,3,2,,1,6,2,-,-,-,7,9,23,23,3,3,33,35,94%
Moses Simon,27,"70'59""",-,1,1,1,-,2,8,-,,-,-,-,-,-,0,0,9,10,4,4,13,14,93%
Thomas Foket,32,"89'00""",1,5,3,-,6,4,-,7,-,,8,-,-,-,0,5,28,30,6,8,34,43,79%
Danijel Milicevic,77,"83'29""",-,2,1,1,2,2,5,3,3,4,,-,-,-,2,2,11,18,10,10,23,30,77%
Rafinha,4,"3'16""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,1,0,0,0,0,0,1,0%
Thomas Matton,8,"11'37""",-,-,-,-,-,-,1,-,-,-,-,-,,-,0,0,1,2,0,1,1,3,33%
Benito Raman 26,,"20'52""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,1,0,0,0,1,0%
Total passes received:,,,9,23,34,21,39,15,37,25,21,41,29,0,3,2,46,72,185 211,,68,76,299,359,83%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,8,9,10,12,15,19,20,21,23,13,17,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Anthony Lopes,1,"95'07""",,3,-,1,1,1,1,1,3,-,1,-,-,-,7,10,5,5,0,0,12,15,80%
Mapou Yanga-Mbiwa,2,"95'07""",3,,1,-,2,4,2,5,1,7,6,3,-,-,5,7,23,24,6,7,34,38,89%
Corentin Tolisso,8,"95'07""",-,1,,3,5,8,6,4,1,5,1,-,2,-,5,6,23,25,8,9,36,40,90%
Claudio Beauvue,9,"70'40""",-,1,2,,2,-,2,4,2,1,-,1,-,-,1,1,9,12,5,5,15,18,83%
Alexandre Lacazette,10,"95'07""",-,-,-,3,,5,1,6,1,3,-,-,-,1,1,1,9,11,10,12,20,24,83%
Jordan Ferri,12,"82'49""",-,2,4,-,3,,4,14,7,6,-,11,-,-,6,9,32,35,13,14,51,58,88%
Jérémy Morel,15,"95'07""",2,2,5,2,5,2,,10,-,2,4,-,1,2,6,8,17,24,14,18,37,50,74%
Mathieu Valbuena,19,"95'07""",-,3,3,5,9,12,13,,8,3,-,5,-,2,5,5,35,37,23,25,63,67,94%
Rafael,20,"47'05""",-,7,-,1,1,5,-,5,,-,-,-,-,-,1,2,7,8,11,13,19,23,83%
Maxime Gonalons,21,"95'07""",-,5,9,3,1,7,7,4,2,,3,8,2,-,9,11,35,35,7,7,51,53,96%
Samuel Umtiti,23,"95'07""",2,4,1,3,3,-,5,2,-,1,,-,-,-,6,7,13,15,2,4,21,26,81%
Christophe Jallet 13,,"48'02""",-,-,3,2,1,8,-,7,-,2,-,,2,1,2,2,15,18,9,10,26,30,87%
Steed Malbranque 17,,"12'18""",-,-,1,-,-,-,-,-,-,-,-,5,,-,1,1,4,4,1,1,6,6,100%
Aldo Kalulu 26,,"24'27""",-,1,1,-,2,-,1,-,-,-,1,1,-,,1,1,3,4,3,3,7,8,88%
Total passes received:,,,7,29,30,23,35,52,42,62,25,30,16,34,7,6,56,71,230 257 112 128,,,,398,456,87%
,,,,,,,,,,,,,,,,,,,,,,,,00:44:23CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,17 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
