Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 29 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,2 - 1,,,,,,Bayer 04 Leverkusen,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,6,8,9,11,14,19,24,17,18,20,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,"95'12""",,12,1,7,5,-,1,-,11,2,2,-,2,-,8,9,33,33,2,2,43,44,98%
Gerard Piqué,3,"95'12""",12,,5,18,17,4,3,2,25,1,5,2,1,1,7,9,80,81,9,9,96,99,97%
Ivan Rakitić,4,"73'18""",1,6,,8,8,4,3,7,4,7,5,-,1,-,6,9,31,33,17,23,54,65,83%
Sergio Busquets,5,"95'12""",1,9,7,,10,11,-,4,22,3,2,-,1,1,4,5,48,52,19,21,71,78,91%
Dani Alves,6,"95'12""",1,13,10,2,,4,-,5,-,10,2,1,-,1,3,8,36,43,10,10,49,61,80%
Andrés Iniesta,8,"62'01""",-,2,6,7,5,,2,5,4,2,7,-,-,-,2,3,28,32,10,14,40,49,82%
Luis Suárez,9,"95'12""",-,-,2,-,-,2,,11,-,1,1,-,1,-,0,0,6,10,12,16,18,26,69%
Neymar,11,"95'12""",-,-,5,6,2,3,6,,3,-,1,1,1,1,0,0,20,27,9,13,29,40,72%
Javier Mascherano,14,"95'12""",9,37,11,9,4,8,3,3,,-,12,-,-,-,14,20,77,80,5,10,96,110,87%
Sandro Ramírez,19,"64'19""",-,1,1,5,8,2,2,-,-,,-,-,-,-,0,0,14,17,5,10,19,27,70%
Jérémy Mathieu,24,"95'12""",1,4,3,4,2,5,2,9,6,1,,-,2,-,3,7,28,36,8,9,39,52,75%
Munir El Haddadi 17,,"30'53""",-,-,-,-,1,-,1,1,-,-,-,,1,-,0,1,3,4,1,5,4,10,40%
Jordi Alba 18,,"33'11""",-,2,-,1,1,-,1,4,2,-,2,4,,2,1,1,13,14,5,6,19,21,90%
Sergi Roberto 20,,"21'54""",-,-,-,-,-,-,-,3,1,-,-,-,4,,0,0,5,7,3,3,8,10,80%
Total passes received:,,,25,86,51,67,63,43,24,54,78,27,39,8,14,6,48,72,422 469 115 151,,,,585,692,85%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,7,8,10,18,23,26,38,44,11,13,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,"95'12""",,-,-,1,1,-,2,1,-,-,1,2,1,-,7,18,2,2,0,0,9,20,45%
Jonathan Tah,4,"95'12""",2,,-,1,-,1,-,-,-,-,2,1,-,-,0,0,6,7,1,3,7,10,70%
Papadopoulos,5,"95'12""",1,-,,1,1,4,2,5,-,-,1,1,1,-,3,3,11,13,3,5,17,21,81%
Javier Hernández,7,"56'06""",-,-,-,,2,1,-,1,-,3,2,-,-,-,0,0,2,6,7,11,9,17,53%
Lars Bender,8,"95'12""",-,-,-,-,,-,1,3,1,2,5,3,1,3,1,5,10,12,8,11,19,28,68%
Hakan Çalhanoğlu,10,"95'12""",-,-,-,1,2,,4,2,-,3,1,2,-,-,1,3,4,7,10,13,15,23,65%
Wendell,18,"95'12""",1,1,2,1,-,5,,2,-,1,1,-,-,-,2,4,7,8,5,8,14,20,70%
Christoph Kramer,23,"95'12""",2,-,6,1,-,5,2,,2,4,3,1,-,-,2,4,17,21,7,10,26,35,74%
Giulio Donati,26,"77'12""",-,-,-,2,1,1,-,-,,4,3,-,-,1,1,2,7,9,4,4,12,15,80%
Karim Bellarabi,38,"67'14""",-,-,-,3,-,1,-,2,2,,2,-,-,-,0,4,4,7,6,12,10,23,43%
Kevin Kampl,44,"95'12""",-,1,1,-,3,2,1,3,3,5,,1,1,1,1,3,12,13,9,10,22,26,85%
Stefan Kiessling 11,,"39'05""",-,-,-,-,-,2,-,2,-,1,-,,-,4,0,0,1,2,8,9,9,11,82%
Roberto Hilbert 13,,"17'59""",-,-,1,-,-,1,-,1,-,-,-,-,,1,0,1,3,3,1,1,4,5,80%
Julian Brandt 19,,"27'58""",-,-,-,-,2,1,-,2,-,-,3,-,-,,0,0,5,5,3,7,8,12,67%
Total passes received:,,,6,2,10,11,12,24,12,24,8,23,24,11,4,10,18,47,91,115,72,104,181,266,68%
,,,,,,,,,,,,,,,,,,,,,,,,01:22:13CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,30 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
