Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 29 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Arsenal Stadium - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,,,,2 - 3,,,,,,,Olympiacos FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,3,5,6,11,14,15,17,19,24,34,4,16,28,PC,PA,PC,PA,PC,PA,PC,PA,%
David Ospina,13,"96'04""",,-,8,3,-,-,-,2,1,2,-,-,2,-,4,5,11,12,3,3,18,20,90%
Kieran Gibbs,3,"96'04""",1,,3,1,13,1,2,12,14,-,4,2,4,-,4,4,26,27,27,27,57,58,98%
Gabriel,5,"96'04""",1,5,,11,2,-,3,2,20,5,3,3,4,-,7,10,37,38,15,15,59,63,94%
Laurent Koscielny,6,"58'17""",1,5,7,,4,-,-,3,8,-,2,-,-,-,2,3,23,23,5,5,30,31,97%
Mesut Özil,11,"96'04""",-,11,3,1,,2,5,16,20,4,7,-,9,-,6,8,44,49,28,36,78,93,84%
Theo Walcott,14,"96'04""",-,-,-,-,4,,1,3,-,1,-,-,-,-,0,0,3,5,6,6,9,11,82%
Oxlade-Chamberlain,15,"96'04""",1,-,2,3,13,2,,3,5,9,1,1,1,2,4,5,24,24,15,18,43,47,91%
Alexis Sánchez,17,"96'04""",-,4,3,1,10,4,4,,5,3,4,2,1,-,4,6,24,29,13,23,41,58,71%
Santi Cazorla,19,"96'04""",-,11,7,2,22,3,8,11,,10,13,4,8,-,8,12,66,69,25,30,99,111,89%
Héctor Bellerín,24,"87'05""",-,1,5,-,4,2,17,-,6,,2,-,3,-,1,2,24,25,15,19,40,46,87%
Francis Coquelin,34,"61'21""",-,5,2,5,6,-,4,3,10,2,,2,-,-,2,4,21,21,16,17,39,42,93%
Per Mertesacker,4,"37'47""",1,1,2,-,4,-,2,-,2,5,-,,2,-,1,1,17,19,1,1,19,21,90%
Aaron Ramsey 16,,"34'43""",-,5,4,-,5,1,1,3,8,3,-,2,,1,2,3,18,19,13,15,33,37,89%
Joel Campbell 28,,"8'59""",-,-,-,-,-,-,2,-,-,-,-,-,1,,0,0,3,3,0,0,3,3,100%
Total passes received:,,,5,48,46,27,87,15,49,58,99,44,36,16,35,3,45,63,341 363 182 215,,,,568,641,89%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,3,7,11,14,23,30,90,91,92,99,9,29,77,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,"96'04""",,2,-,1,3,2,2,2,-,2,-,1,-,-,9,16,6,6,0,0,15,22,68%
Alberto Botía,3,"96'04""",3,,2,1,2,-,1,-,2,-,1,1,-,-,2,4,3,4,8,8,13,16,81%
Kostas Fortounis,7,"88'20""",1,-,,5,6,2,4,4,3,2,-,-,-,-,8,10,12,14,7,8,27,32,84%
Pajtim Kasami,11,"96'04""",1,1,3,,3,4,6,-,5,2,2,-,-,-,0,2,13,15,14,15,27,32,84%
Omar Elabdellaoui,14,"96'04""",1,2,5,3,,-,-,9,5,-,-,1,-,-,0,1,13,13,13,16,26,30,87%
Dimitris Siovas,23,"96'04""",1,-,1,3,-,,2,1,1,1,-,1,-,-,3,8,4,5,4,4,11,17,65%
Leandro Salino,30,"96'04""",-,-,2,7,-,1,,-,2,-,1,-,-,1,0,3,6,11,8,10,14,24,58%
Felipe Pardo,90,"96'04""",-,-,5,-,6,-,-,,-,-,2,2,-,-,1,2,8,13,6,8,15,23,65%
Esteban Cambiasso,91,"96'04""",-,2,6,2,4,3,2,4,,-,-,-,-,-,3,6,11,15,9,11,23,32,72%
Sebá,92,"74'27""",1,-,2,2,-,-,-,-,1,,1,2,-,-,1,2,5,6,3,5,9,13,69%
Ideye Brown,99,"47'02""",-,-,3,1,-,-,3,1,-,1,,-,-,-,0,0,2,4,7,8,9,12,75%
Alfred Finnbogason,9,"49'02""",-,-,2,-,-,-,1,2,-,2,-,,-,-,1,1,1,1,5,5,7,7,100%
Praxitelis Vouros 29,,"7'44""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,1,0,1,0%
Hernâni 77,,"21'37""",-,-,1,-,-,-,-,-,-,-,-,-,-,,0,0,1,1,0,0,1,1,100%
Total passes received:,,,8,7,32,25,24,12,21,23,19,10,7,8,0,1,28,55,85,108,84,99,197,262,75%
,,,,,,,,,,,,,,,,,,,,,,,,03:49:40CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,30 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
