Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 29 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,2 - 1,,,,,,,,Chelsea FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,4,5,6,8,9,20,22,25,10,15,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,12,"94'26""",,1,2,2,7,1,-,3,-,1,-,-,-,-,7,13,9,9,1,1,17,23,74%
Maxi Pereira,2,"94'26""",-,,-,4,-,4,-,2,2,-,2,-,-,-,1,1,7,9,6,7,14,17,82%
Bruno Martins Indi,3,"94'26""",2,-,,1,3,1,11,3,1,2,9,-,-,1,4,5,16,16,14,14,34,35,97%
Maicon,4,"94'26""",3,5,4,,1,1,1,2,5,2,3,-,-,1,6,8,18,19,4,6,28,33,85%
Iván Marcano,5,"94'26""",2,-,2,3,,2,3,4,-,4,2,-,-,-,3,8,19,23,0,0,22,31,71%
Rúben Neves,6,"78'42""",1,9,1,1,2,,4,2,6,1,4,-,-,-,6,7,14,18,11,13,31,38,82%
Yacine Brahimi,8,"87'14""",-,-,7,-,2,2,,6,1,1,10,-,-,-,0,0,18,21,11,15,29,36,81%
Vincent Aboubakar,9,"94'26""",-,2,2,-,1,1,4,,4,1,6,-,-,-,2,3,14,16,5,14,21,33,64%
André André,20,"80'52""",-,1,-,1,1,6,1,4,,2,2,-,-,-,2,2,7,13,9,11,18,26,69%
Danilo,22,"94'26""",1,2,3,2,6,2,9,3,1,,-,-,-,-,4,6,22,24,3,4,29,34,85%
Giannelli Imbula,25,"94'26""",-,3,3,2,-,7,7,2,3,12,,-,2,-,1,1,25,25,15,19,41,45,91%
Pablo Osvaldo 10,,"7'12""",-,-,1,-,-,-,-,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,100%
Evandro 15,,"15'44""",-,-,-,-,-,-,-,1,-,-,-,-,,-,0,1,1,2,0,0,1,3,33%
Miguel Layún 21,,"13'34""",-,-,-,-,-,-,-,1,-,-,-,-,1,,0,0,2,2,0,0,2,2,100%
Total passes received:,,,9,23,25,16,23,27,40,33,23,26,38,0,3,2,36,55,173 198,,79,104,288,357,81%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,5,7,12,17,19,22,24,28,10,16,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Asmir Begović,1,"94'26""",,1,3,3,1,1,1,5,1,4,-,-,-,1,8,20,11,11,2,2,21,33,64%
Branislav Ivanović,2,"94'26""",5,,8,7,3,1,4,1,1,3,2,-,-,1,11,14,20,22,5,6,36,42,86%
Cesc Fàbregas,4,"94'26""",1,4,,6,7,2,5,10,8,2,3,2,1,3,4,6,34,37,16,20,54,63,86%
Kurt Zouma,5,"94'26""",6,7,6,,1,3,-,1,-,10,-,-,-,1,2,3,29,31,4,4,35,38,92%
Ramires,7,"73'49""",-,3,3,3,,2,1,4,3,2,3,-,-,-,1,2,15,19,8,10,24,31,77%
John Obi Mikel,12,"62'43""",2,5,3,4,3,,-,-,3,4,5,-,-,-,2,5,22,28,5,7,29,40,72%
Pedro Rodríguez,17,"73'39""",-,1,5,-,2,2,,1,1,3,-,1,-,-,1,1,11,11,4,8,16,20,80%
Diego Costa,19,"94'26""",-,2,12,-,2,1,2,,10,-,1,1,-,1,0,2,14,17,18,25,32,44,73%
Willian,22,"94'26""",1,2,9,-,2,5,2,4,,1,6,4,1,-,3,8,20,26,14,20,37,54,69%
Gary Cahill,24,"94'26""",6,2,4,5,1,5,-,-,1,,11,1,1,1,3,5,30,31,5,6,38,42,90%
César Azpilicueta,28,"94'26""",2,-,3,-,1,7,1,3,9,6,,1,1,-,3,7,25,26,6,8,34,41,83%
Eden Hazard 10,,"31'43""",-,-,-,-,-,-,-,6,4,-,1,,2,1,0,1,8,9,6,7,14,17,82%
Kenedy 16,,"20'47""",-,-,-,-,-,-,-,2,2,-,-,1,,1,0,0,6,6,0,0,6,6,100%
Nemanja Matić 21,,"20'37""",1,2,1,3,-,-,-,-,4,2,-,1,-,,2,2,11,13,1,1,14,16,88%
Total passes received:,,,24,29,57,31,23,29,16,37,47,37,32,12,6,10,40,76,256 287,,94,124,390,487,80%
,,,,,,,,,,,,,,,,,,,,,,,,01:11:00CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,30 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
