Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 30 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Astana Arena - Astana,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Astana,,,,,,,,,2 - 2,,,,,,,Galatasaray AŞ,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,6,8,10,22,33,44,77,88,89,9,11,17,PC,PA,PC,PA,PC,PA,PC,PA,%
Nenad Erić,1,"92'32""",,6,1,2,-,-,2,4,2,1,3,-,-,-,10,23,10,10,1,1,21,34,62%
Marin Aničić,5,"92'32""",3,,8,1,3,3,2,10,12,15,2,1,-,-,9,9,40,42,11,12,60,63,95%
Nemanja Maksimović,6,"92'32""",-,9,,-,9,1,1,3,2,5,2,-,-,-,1,2,22,24,9,12,32,38,84%
Georgi Zhukov,8,"88'19""",-,3,3,,1,7,8,6,2,12,3,-,-,1,1,2,26,28,19,24,46,54,85%
Foxi Kéthévoama,10,"81'47""",-,1,1,2,,-,-,1,2,3,6,-,-,-,1,2,12,18,3,9,16,29,55%
Baurzhan Dzholchiyev,22,"78'05""",-,1,1,2,2,,3,1,2,2,3,-,-,-,2,4,8,11,7,13,17,28,61%
Branko Ilić,33,"92'32""",4,4,1,3,2,8,,5,-,3,4,-,-,1,5,8,24,26,6,7,35,41,85%
Evgeni Postnikov,44,"92'32""",5,9,1,9,-,1,10,,3,12,2,-,-,-,4,7,45,48,3,4,52,59,88%
Dmitri Shomko,77,"92'32""",-,3,7,1,5,2,-,3,,5,5,-,2,-,4,4,19,23,10,14,33,41,80%
Roger Cañas,88,"92'32""",-,10,5,18,3,-,7,6,12,,6,-,1,-,12,14,46,49,10,13,68,76,89%
Junior Kabananga,89,"92'32""",-,2,5,8,-,2,1,-,1,4,,-,-,-,1,1,10,15,12,19,23,35,66%
Aleksei Schetkin,9,"4'13""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,1,0,1,0%
Serikzhan Muzhikov 11,,"10'45""",-,-,-,-,-,-,-,-,1,-,1,-,,1,1,1,1,3,1,1,3,5,60%
Tanat Nuserbayev 17,,"14'27""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,2,0,2,0%
Total passes received:,,,12,48,33,46,25,24,34,39,39,62,37,1,3,3,51,77,263 297,,92,132,406,506,80%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,7,8,9,10,11,22,23,26,64,14,18,55,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,"92'32""",,-,-,-,3,1,1,3,1,3,-,-,-,-,7,21,5,5,0,0,12,26,46%
Bilal Kisa,5,"81'08""",-,,2,14,2,13,3,9,3,2,1,2,-,-,3,4,35,37,13,15,51,56,91%
Yasin Öztekin,7,"90'19""",-,5,,7,1,3,-,-,7,-,2,2,-,-,0,0,15,20,12,15,27,35,77%
Selçuk İnan,8,"92'32""",1,11,7,,4,18,6,3,3,5,11,3,-,-,5,12,44,48,23,27,72,87,83%
Umut Bulut,9,"92'32""",-,5,5,-,,5,6,1,1,-,-,-,-,-,0,0,8,10,15,16,23,26,88%
Wesley Sneijder,10,"92'32""",-,12,6,12,4,,3,7,10,1,-,-,1,1,4,9,29,32,24,31,57,72,79%
Lukas Podolski,11,"67'29""",-,5,1,6,3,6,,-,-,-,1,-,-,-,0,2,10,11,12,15,22,28,79%
Hakan Balta,22,"92'32""",-,3,1,10,2,6,-,,3,12,-,2,-,-,2,6,26,29,11,12,39,47,83%
Lionel Carole,23,"92'32""",2,4,3,4,-,9,1,5,,-,-,2,2,-,4,4,12,14,16,22,32,40,80%
Semih Kaya,26,"92'32""",1,7,1,9,-,-,1,6,1,,2,1,-,-,0,1,20,20,9,11,29,32,91%
Jason Denayer,64,"92'32""",2,1,2,1,1,-,3,-,-,1,,-,1,-,3,7,4,9,5,7,12,23,52%
José Rodríguez 14,,"25'03""",-,4,2,2,1,2,-,-,-,-,-,,1,-,0,2,9,10,3,4,12,16,75%
Sinan Gümüs 18,,"11'24""",-,-,-,-,-,1,-,-,1,-,-,-,,-,0,1,0,1,2,3,2,5,40%
Sabri Sarıoğlu 55,,"2'13""",-,-,-,-,-,-,-,-,-,-,1,-,-,,1,1,0,0,0,0,1,1,100%
Total passes received:,,,6,57,30,65,21,64,24,34,30,24,18,12,5,1,29,70,217 246 145 178,,,,391,494,79%
,,,,,,,,,,,,,,,,,,,,,,,,00:32:38CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,01 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
