Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 30 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,2 - 0,,,,,,,,Sevilla FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,9,10,11,15,16,19,21,33,7,12,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"93'03""",,4,-,-,1,-,2,-,4,-,-,-,-,2,2,4,10,10,1,1,13,15,87%
Giorgio Chiellini,3,"93'03""",3,,3,1,7,9,2,-,28,3,21,-,2,-,9,11,67,68,3,5,79,84,94%
Sami Khedira,6,"75'33""",-,2,,2,1,3,6,5,2,5,-,-,-,-,1,3,20,22,5,5,26,30,87%
Álvaro Morata,9,"79'41""",-,1,1,,3,1,-,3,-,3,6,-,-,-,1,1,8,8,9,12,18,21,86%
Paul Pogba,10,"93'03""",-,8,3,4,,7,6,6,6,3,7,-,-,1,7,9,33,37,11,14,51,60,85%
Hernanes,11,"93'03""",-,11,-,3,9,,5,3,6,3,7,-,3,-,5,5,33,37,12,14,50,56,89%
Andrea Barzagli,15,"93'03""",-,3,3,2,2,4,,29,21,2,1,1,-,2,6,7,59,59,5,6,70,72,97%
Juan Cuadrado,16,"93'03""",-,-,9,2,2,4,16,,3,6,4,2,1,1,8,8,34,35,8,9,50,52,96%
Leonardo Bonucci,19,"93'03""",1,29,6,-,2,6,26,3,,1,6,1,-,-,19,21,57,58,5,6,81,85,95%
Paulo Dybala,21,"88'00""",-,-,1,4,2,4,3,4,1,,1,-,-,-,3,3,9,11,8,8,20,22,91%
Patrice Evra,33,"93'03""",-,16,1,5,21,7,-,-,1,1,,-,2,-,1,1,35,38,18,19,54,58,93%
Simone Zaza,7,"13'22""",-,-,-,-,-,-,-,3,-,-,-,,-,-,0,0,1,1,2,2,3,3,100%
Alex Sandro 12,,"17'30""",-,1,-,1,2,2,-,-,-,-,2,1,,-,0,0,7,7,2,2,9,9,100%
Daniele Rugani 24,,"5'03""",-,-,-,-,3,-,1,1,-,-,-,-,-,,0,0,4,4,1,1,5,5,100%
Total passes received:,,,4,75,27,24,55,47,67,57,72,27,55,5,8,6,62,73,377 395,,90,104,529,572,92%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,5,7,9,10,15,17,22,23,8,11,30,PC,PA,PC,PA,PC,PA,PC,PA,%
Sergio Rico,1,"93'03""",,-,4,10,1,-,2,-,5,1,-,-,-,-,5,11,18,18,0,0,23,29,79%
Benoît Trémoulinas,2,"93'03""",1,,2,10,4,2,2,2,-,2,-,-,-,-,1,2,23,24,1,2,25,28,89%
Grzegorz Krychowiak,4,"93'03""",3,9,,8,8,1,6,3,5,3,8,1,-,-,7,8,42,43,6,7,55,58,95%
Kolodziejczak,5,"93'03""",6,6,9,,11,1,1,5,10,1,1,4,-,-,5,6,47,48,3,3,55,57,96%
Michael Krohn-Dehli,7,"93'03""",1,4,12,8,,1,7,3,3,3,8,3,-,-,7,8,39,41,7,8,53,57,93%
Kevin Gameiro,9,"65'09""",-,-,1,-,-,,4,1,-,2,1,-,-,-,0,0,3,3,6,8,9,11,82%
José Antonio Reyes,10,"78'23""",-,4,2,-,5,2,,2,4,5,6,1,-,-,3,5,19,19,9,13,31,37,84%
Steven N'Zonzi,15,"65'29""",1,4,1,8,3,-,3,,2,3,6,-,-,-,5,6,24,25,2,4,31,35,89%
Marco Andreolli,17,"93'03""",2,1,10,8,6,1,3,7,,2,16,-,-,-,9,10,39,39,8,8,56,57,98%
Yevhen Konoplyanka,22,"93'03""",-,1,-,-,5,-,2,-,3,,7,-,-,1,1,3,9,11,9,9,19,23,83%
Coke,23,"93'03""",1,-,6,2,1,1,4,6,9,11,,-,-,1,3,6,20,29,19,23,42,58,72%
Vicente Iborra,8,"27'33""",-,1,1,-,2,-,-,-,3,1,1,,-,-,4,5,5,7,0,0,9,12,75%
Ciro Immobile 11,,"27'54""",-,-,-,-,-,-,-,-,-,-,-,-,,1,0,0,0,0,1,2,1,2,50%
Juan Muñoz 30,,"14'40""",-,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,0,0,1,2,1,2,50%
Total passes received:,,,15,30,48,54,46,9,34,29,44,34,54,10,0,3,50,70,288 307,,72,89,410,466,88%
,,,,,,,,,,,,,,,,,,,,,,,,00:51:11CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,01 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
