Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 20 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Arsenal Stadium - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,,,,2 - 0,,,,,,FC Bayern München,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,4,6,11,14,16,17,18,19,24,34,3,12,15,PC,PA,PC,PA,PC,PA,PC,PA,%
Petr Čech,33,"94'26""",,1,-,2,2,2,3,1,-,-,-,-,5,-,15,32,1,1,0,0,16,33,48%
Per Mertesacker,4,"94'26""",1,,2,-,-,-,-,1,3,3,-,-,-,1,1,1,7,7,3,3,11,11,100%
Laurent Koscielny,6,"94'26""",2,-,,1,-,1,2,5,1,2,-,-,-,1,4,6,9,10,2,3,15,19,79%
Mesut Özil,11,"94'26""",1,-,1,,2,1,8,1,4,1,6,1,2,1,4,4,13,15,12,21,29,40,72%
Theo Walcott,14,"73'40""",-,-,-,2,,2,2,1,-,-,-,-,-,-,0,0,1,5,6,7,7,12,58%
Aaron Ramsey,16,"56'40""",1,2,-,-,2,,1,1,2,2,-,-,-,-,2,3,4,4,5,9,11,16,69%
Alexis Sánchez,17,"81'47""",-,1,3,3,3,-,,2,3,-,1,-,-,-,1,3,8,12,7,20,16,35,46%
Nacho Monreal,18,"94'26""",2,-,2,6,1,-,7,,-,-,-,-,-,-,1,3,13,14,4,4,18,21,86%
Santi Cazorla,19,"94'26""",-,2,2,4,2,3,3,1,,1,4,1,1,1,3,5,9,13,13,16,25,34,74%
Héctor Bellerín,24,"94'26""",2,-,1,2,1,5,1,-,4,,-,-,-,2,2,3,10,11,6,7,18,21,86%
Francis Coquelin,34,"94'26""",-,2,4,3,1,-,4,1,5,2,,1,-,-,2,2,12,12,9,11,23,25,92%
Kieran Gibbs,3,"12'39""",-,-,-,2,-,-,-,-,-,-,1,,1,-,0,0,1,1,3,3,4,4,100%
Olivier Giroud 12,,"20'45""",-,-,-,4,-,-,-,-,-,-,-,-,,1,0,0,2,4,3,4,5,8,62%
Oxlade-Chamberlain 15,,"37'46""",-,1,-,1,-,-,-,-,2,1,1,-,-,,1,1,2,3,3,6,6,10,60%
Total passes received:,,,9,9,15,30,14,14,31,14,24,12,13,3,9,7,36,63,92,112,76,114,204,289,71%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,6,9,11,14,17,18,21,23,25,27,13,32,PC,PA,PC,PA,PC,PA,PC,PA,%,
Manuel Neuer,1,"94'26""",,3,2,-,3,2,6,5,-,-,10,1,1,8,9,22,23,3,3,33,35,94%,
Thiago Alcántara,6,"94'26""",1,,11,8,19,9,8,10,8,14,11,5,2,14,17,64,66,28,31,106,114,93%,
Robert Lewandowski,9,"94'26""",-,1,,7,1,2,8,-,2,1,2,-,1,0,1,13,18,12,17,25,36,69%,
Douglas Costa,11,"94'26""",-,8,5,,6,-,5,4,4,-,1,-,-,1,4,18,26,14,22,33,52,63%,
Xabi Alonso,14,"70'07""",1,21,6,7,,7,14,21,5,1,11,-,-,7,10,72,75,15,16,94,101,93%,
Jérôme Boateng,17,"94'26""",6,8,2,3,7,,2,9,3,3,14,2,1,11,13,40,44,9,9,60,66,91%,
Juan Bernat,18,"94'26""",2,20,5,9,11,1,,1,13,-,17,-,1,1,2,53,54,26,32,80,88,91%,
Philipp Lahm,21,"94'26""",2,15,1,1,20,19,-,,4,7,5,1,1,0,1,63,66,13,18,76,85,89%,
Arturo Vidal,23,"70'03""",-,6,1,2,13,-,6,8,,5,6,-,-,0,0,31,33,16,16,47,49,96%,
Thomas Müller,25,"94'26""",-,9,3,1,-,1,-,13,3,,1,1,1,2,3,19,21,12,16,33,40,82%,
David Alaba,27,"94'26""",8,13,1,3,10,13,29,1,8,-,,2,1,2,4,67,69,20,21,89,94,95%,
Rafinha 13,,"24'23""",-,1,-,5,-,-,1,2,-,-,-,,5,1,1,8,10,5,7,14,18,78%,
Joshua Kimmich 32,,"24'19""",-,4,1,2,-,4,1,1,-,1,3,1,,1,1,8,8,9,10,18,19,95%,
Total passes received:,,,20,109,38,48,90,58,80,75,50,32,81,13,14,48,66,478 513 182 218,,,,708,797,89%,
,,,,,,,,,,,,,,,,,,,,,,,,04:01:56CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,21 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
