Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 20 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,2 - 0,,,,,,,Maccabi Tel Aviv FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,5,6,8,9,17,20,21,25,11,16,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,12,"94'40""",,-,8,10,-,-,-,-,1,5,1,-,-,-,4,4,21,21,0,0,25,25,100%
Maxi Pereira,2,"94'40""",-,,9,2,7,5,2,14,9,-,5,3,1,2,5,6,40,44,14,15,59,65,91%
Bruno Martins Indi,3,"94'40""",2,21,,17,9,3,1,2,2,-,5,-,1,4,6,6,55,55,6,6,67,67,100%
Iván Marcano,5,"94'40""",3,1,13,,6,5,1,2,3,16,5,-,-,5,8,10,48,49,4,4,60,63,95%
Rúben Neves,6,"94'40""",-,10,11,9,,6,-,6,4,4,14,3,1,6,11,13,49,51,14,15,74,79,94%
Yacine Brahimi,8,"84'25""",-,8,1,2,4,,2,-,5,4,8,1,-,3,2,2,22,28,14,14,38,44,86%
Vincent Aboubakar,9,"94'40""",-,2,-,-,2,1,,1,1,-,2,1,3,1,0,0,8,8,6,9,14,17,82%
Jesús Corona,17,"53'56""",-,9,2,-,2,-,-,,6,-,1,-,-,-,0,2,9,12,11,12,20,26,77%
André André,20,"94'40""",1,7,4,-,6,4,3,3,,8,8,-,1,5,3,3,24,24,23,24,50,51,98%
Miguel Layún,21,"94'40""",1,1,2,9,8,8,-,2,3,,1,1,-,3,5,7,28,30,6,9,39,46,85%
Giannelli Imbula,25,"54'09""",-,6,7,2,17,6,2,2,9,1,,-,-,-,4,4,40,42,8,10,52,56,93%
Cristian Tello 11,,"40'45""",-,1,-,-,2,2,-,-,1,2,-,,1,2,1,1,7,9,3,5,11,15,73%
Hector Herrera 16,,"10'15""",-,1,-,1,3,-,4,-,1,1,-,1,,1,0,0,5,5,8,8,13,13,100%
Danilo 22,,"40'32""",1,-,6,-,6,5,1,-,5,-,-,6,2,,8,8,16,18,8,9,32,35,91%
Total passes received:,,,8,67,63,52,72,45,16,32,50,41,50,16,10,32,57,66,372 396 125 140,,,,554,602,92%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,95,6,7,11,15,18,20,24,26,31,42,10,22,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Predrag Rajković,95,"94'40""",,-,2,3,-,-,2,1,5,4,1,-,-,-,8,20,7,7,3,3,18,30,60%
Gal Alberman,6,"94'40""",1,,2,6,3,3,2,3,4,7,3,-,-,2,3,3,24,26,9,9,36,38,95%
Eran Zahavi,7,"94'40""",-,-,,1,2,1,2,6,-,-,3,-,-,1,1,1,7,13,8,12,16,26,62%
Tal Ben Haim II,11,"83'48""",-,3,2,,3,5,1,1,-,-,1,-,2,-,2,2,9,11,7,8,18,21,86%
Dor Miha,15,"72'47""",1,-,2,1,,-,3,1,-,-,5,-,2,-,0,3,11,15,4,5,15,23,65%
Eytan Tibi,18,"94'40""",2,3,1,3,-,,-,1,2,5,1,-,2,2,4,5,14,15,4,4,22,24,92%
Omri Ben Harush,20,"94'40""",1,4,2,1,7,-,,2,2,2,6,-,1,1,1,3,23,27,5,9,29,39,74%
Nikola Mitrović,24,"55'42""",1,4,2,3,1,3,3,,2,3,-,-,-,-,4,5,12,13,6,8,22,26,85%
Tal Ben Haim I,26,"94'40""",-,2,1,2,1,-,3,4,,10,2,2,-,-,5,7,16,16,6,6,27,29,93%
Carlos García,31,"94'40""",8,4,-,2,-,1,12,-,5,,3,1,-,-,2,2,30,31,4,4,36,37,97%
Dor Peretz,42,"94'40""",-,4,4,1,2,3,5,1,1,1,,-,2,2,2,5,12,13,12,14,26,32,81%
Barak Itzhaki 10,,"10'52""",-,-,-,-,-,-,-,-,-,-,1,,1,-,0,0,1,1,1,1,2,2,100%
Avraham Rikan 22,,"38'58""",-,1,1,2,1,2,-,-,-,1,-,-,,1,3,4,4,4,2,2,9,10,90%
Gil Vermouth 28,,"21'53""",-,3,1,1,-,2,1,-,-,-,-,-,-,,0,0,5,5,3,5,8,10,80%
Total passes received:,,,14,28,20,26,20,20,34,20,21,33,26,3,10,9,35,60,175 197,,74,90,284,347,82%
,,,,,,,,,,,,,,,,,,,,,,,,01:49:25CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,21 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
