Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 20 October 2015,,,,,,,,,,,,,,,,,,,,,,,,
Group G - NSK Olimpiyskyi - Kyiv,,,,,,,,,,,,,,,,,,,,,,,,
FC Dynamo Kyiv,,,,,,,,,,0 - 0,,,,,,,,Chelsea FC,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,6,10,16,17,22,24,25,29,34,11,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Olexandr Shovkovskiy,1,"92'07""",,1,16,-,1,6,2,1,1,1,7,-,1,9,13,28,29,0,0,37,42,88%
Danilo Silva,2,"92'07""",3,,1,10,3,3,1,2,-,1,6,-,1,1,3,21,26,9,10,31,39,79%
Aleksandar Dragovic,6,"92'07""",16,-,,-,2,7,2,15,6,1,11,-,-,7,11,47,50,6,9,60,70,86%
Andriy Yarmolenko,10,"92'07""",-,12,1,,5,2,1,-,6,4,-,-,-,2,2,14,14,15,19,31,35,89%
Serhiy Sydorchuk,16,"92'07""",1,6,4,7,,2,-,3,-,1,7,1,-,3,5,22,25,7,8,32,38,84%
Serhiy Rybalka,17,"92'07""",2,8,13,8,3,,1,3,4,6,6,-,1,5,7,41,44,9,11,55,62,89%
Artem Kravets,22,"77'41""",-,-,1,3,2,-,,2,1,4,-,-,-,0,0,6,8,7,10,13,18,72%
Domagoj Vida,24,"92'07""",2,-,9,1,2,1,2,,10,4,-,-,-,3,3,20,23,8,9,31,35,89%
Derlis González,25,"92'07""",-,-,1,1,4,5,3,8,,1,-,2,-,0,0,18,22,7,7,25,29,86%
Vitaliy Buyalskiy,29,"82'23""",-,3,6,5,2,1,3,3,3,,2,-,-,3,3,17,19,8,9,28,31,90%
Yevhen Khacheridi,34,"92'07""",5,5,13,1,8,12,2,1,3,5,,-,-,8,9,40,44,7,7,55,60,92%
Júnior Moraes 11,,"14'26""",-,-,-,-,-,-,-,-,2,1,-,,-,0,0,2,2,1,1,3,3,100%
Denys Garmash 19,,"9'44""",-,-,-,-,-,-,-,1,-,-,-,-,,1,1,0,0,0,0,1,1,100%
Total passes received:,,,29,35,65,36,32,39,17,39,36,29,39,3,3,42,57,276 306,,84,100,402,463,87%
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,4,5,7,10,19,21,22,24,26,28,8,PC,PA,PC,PA,PC,PA,PC,PA,%,
Asmir Begović,1,"92'07""",,-,2,-,1,1,1,1,2,2,-,-,5,12,4,4,1,1,10,17,59%,
Cesc Fàbregas,4,"74'42""",-,,-,-,7,4,5,4,1,2,2,-,2,5,16,19,7,11,25,35,71%,
Kurt Zouma,5,"92'07""",1,1,,1,2,-,3,4,1,4,-,1,5,5,10,10,3,4,18,19,95%,
Ramires,7,"92'07""",2,3,3,,3,-,2,5,1,2,1,-,2,3,17,21,3,8,22,32,69%,
Eden Hazard,10,"92'07""",-,8,1,3,,6,3,2,-,-,3,3,1,2,13,14,15,16,29,32,91%,
Diego Costa,19,"92'07""",-,3,1,3,2,,1,2,-,-,2,1,0,0,7,8,8,9,15,17,88%,
Nemanja Matić,21,"92'07""",1,2,1,4,6,-,,2,8,2,17,-,5,8,30,34,8,13,43,55,78%,
Willian,22,"92'07""",-,2,2,4,2,4,2,,1,1,2,-,1,2,13,17,6,7,20,26,77%,
Gary Cahill,24,"92'07""",4,3,5,4,1,-,3,-,,7,-,-,1,2,23,23,3,3,27,28,96%,
John Terry,26,"92'07""",4,1,-,5,1,-,12,-,6,,9,-,1,5,29,30,8,8,38,43,88%,
César Azpilicueta,28,"92'07""",1,8,-,1,7,-,3,1,-,5,,1,1,7,20,25,6,7,27,39,69%,
Oscar,8,"17'25""",-,-,-,1,1,-,1,-,1,-,-,,1,1,1,4,2,2,4,7,57%,
Total passes received:,,,13,31,15,26,33,15,36,21,21,25,36,6,25,52,183 209,,70,89,278,350,79%,
,,,,,,,,,,,,,,,,,,,,,,,,00:49:14CET
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,21 Oct 2015
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
