Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 20 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Camp de Mestalla - Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valencia CF,,,,,,,,,2 - 1,,,,,,,,,KAA Gent,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,24,2,4,5,8,9,10,14,18,21,22,11,12,17,,PC,PA,PC,PA,PC,PA,PC,PA,%
Jaume Doménech,24,"95'09""",,-,-,1,-,1,-,1,-,2,2,-,-,-,,5,15,2,2,0,0,7,17,41%
João Cancelo,2,"95'09""",-,,1,3,11,2,3,1,1,6,-,-,-,-,,1,2,21,23,6,11,28,36,78%
Santos,4,"95'09""",4,-,,9,-,2,1,1,2,2,1,-,-,1,,4,5,14,18,5,5,23,28,82%
Shkodran Mustafi,5,"95'09""",1,4,3,,4,2,1,2,-,-,2,-,1,1,,7,11,11,13,3,5,21,29,72%
Sofiane Feghouli,8,"95'09""",-,12,-,-,,5,3,-,1,3,1,1,1,2,,1,2,18,20,10,12,29,34,85%
Paco Alcácer,9,"82'44""",-,1,1,-,4,,6,-,-,5,4,1,-,1,,0,0,7,8,16,17,23,25,92%
Daniel Parejo,10,"68'58""",-,2,3,1,2,7,,2,4,3,3,-,-,-,,5,5,15,21,7,10,27,36,75%
José Gayà,14,"95'09""",-,2,9,2,-,2,1,,5,4,14,-,-,-,,6,9,28,31,5,5,39,45,87%
Javi Fuego,18,"95'09""",-,2,3,-,2,-,3,8,,9,1,2,-,1,,2,3,16,18,13,13,31,34,91%
André Gomes,21,"95'09""",-,2,2,-,4,7,2,14,4,,4,3,-,2,,5,8,22,27,17,17,44,52,85%
Santi Mina,22,"61'05""",-,1,-,-,2,1,5,5,-,5,,-,-,-,,2,2,11,14,6,9,19,25,76%
Pablo Piatti 11,,"34'03""",-,-,-,-,-,-,-,2,1,2,-,,1,1,,0,1,3,4,4,4,7,9,78%
Danilo 12,,"12'25""",-,-,-,-,1,-,-,-,-,-,-,1,,-,,0,0,1,1,1,2,2,3,67%
Rodrigo 17,,"26'11""",-,-,-,-,-,-,-,-,2,2,-,-,-,,,0,0,0,0,4,4,4,4,100%
Total passes received:,,,5,26,22,16,30,29,25,36,20,43,32,8,3,9,,38,63,169 200,,97,114,304,377,81%
,,,To,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,,
From,,TP,1,8,9,10,13,14,15,21,23,32,77,27,,PC,PA,PC,PA,PC,PA,PC,PA,%,,
Matz Sels,1,"95'09""",,1,4,-,4,-,1,5,4,3,-,-,,11,16,9,9,2,2,22,27,81%,,
Thomas Matton,8,"84'13""",-,,-,1,1,3,2,-,-,2,1,-,,1,1,3,3,6,7,10,11,91%,,
Laurent Depoitre,9,"95'09""",-,3,,2,-,2,3,-,1,7,4,-,,1,1,11,15,10,14,22,30,73%,,
Renato Neto,10,"95'09""",2,3,-,,2,10,3,11,5,6,11,-,,7,10,28,29,18,18,53,57,93%,,
Stefan Mitrović,13,"95'09""",2,-,1,-,,3,-,15,5,1,-,-,,0,3,22,23,5,6,27,32,84%,,
Sven Kums,14,"95'09""",1,3,8,11,1,,8,14,6,7,7,3,,10,11,48,51,11,15,69,77,90%,,
Kenneth Saief,15,"95'09""",-,2,-,5,2,8,,9,-,1,1,-,,1,2,18,22,9,15,28,39,72%,,
Nana Asare,21,"95'09""",1,3,4,8,5,20,10,,2,-,2,-,,5,7,37,39,13,13,55,59,93%,,
Lasse Nielsen,23,"95'09""",3,-,5,7,9,1,-,2,,3,3,-,,6,9,23,26,4,5,33,40,82%,,
Thomas Foket,32,"95'09""",2,-,2,7,1,3,1,1,3,,9,-,,3,6,19,22,7,10,29,38,76%,,
Danijel Milicevic,77,"95'09""",-,-,7,6,1,7,2,2,5,5,,-,,10,14,17,23,8,15,35,52,67%,,
Moses Simon 27,,"10'56""",-,-,-,-,-,-,-,-,-,-,-,,,0,0,0,0,0,0,0,0,0%,,
Total passes received:,,,11,15,31,47,26,57,30,59,31,35,38,3,,55,80,235 262,,93,120,383,462,83%,,
,,,,,,,,,,,,,,,,,,,,,,,,,03:49:29CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,,22 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,,
