Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - VfL Wolfsburg Arena - Wolfsburg,,,,,,,,,,,,,,,,,,,,,,,,,
,VfL Wolfsburg,,,,,,,,,2 - 0,,,,,,,PSV Eindhoven,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,7,10,11,12,15,18,22,23,25,34,8,17,27,PC,PA,PC,PA,PC,PA,PC,PA,%
Diego Benaglio,1,"94'51""",,-,-,3,2,4,8,2,2,10,2,1,-,-,6,10,27,27,1,1,34,38,89%
Daniel Caligiuri,7,"73'53""",-,,3,2,4,6,-,5,-,-,1,-,-,-,2,2,13,14,6,6,21,22,95%
Julian Draxler,10,"80'59""",2,2,,8,-,3,5,5,6,3,3,-,-,-,4,7,20,22,13,13,37,42,88%
Max Kruse,11,"94'51""",2,3,10,,2,2,8,2,2,6,2,-,-,-,3,4,31,36,5,7,39,47,83%
Bas Dost,12,"94'51""",-,1,1,-,,2,-,5,4,2,-,2,-,-,0,1,12,12,5,9,17,22,77%
Christian Träsch,15,"94'51""",3,5,5,4,3,,4,2,2,9,-,2,-,-,5,7,24,26,10,16,39,49,80%
Dante,18,"94'51""",2,3,6,6,4,-,,4,4,13,8,-,-,-,9,13,36,39,5,5,50,57,88%
Luiz Gustavo,22,"94'51""",-,4,8,5,-,6,6,,5,3,7,-,-,-,4,4,27,29,13,14,44,47,94%
Josuha Guilavogui,23,"85'58""",2,1,2,3,1,8,3,8,,6,2,2,-,-,5,5,27,28,6,10,38,43,88%
Naldo,25,"94'51""",6,3,4,12,7,11,6,-,5,,1,-,-,-,6,9,40,43,9,11,55,63,87%
Ricardo Rodriguez,34,"94'51""",1,1,3,1,1,1,10,4,4,1,,-,-,-,1,1,20,21,6,6,27,28,96%
Vieirinha,8,"20'58""",-,-,-,2,2,1,-,-,-,-,-,,-,1,0,1,2,2,4,5,6,8,75%
André Schürrle 17,,"13'52""",-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,1,0,0,0,1,0%
Maximilian Arnold 27,,"8'53""",-,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,1,1,0,1,1,2,50%
Total passes received:,,,18,23,42,46,26,44,50,37,34,53,26,8,0,1,45,64,280 301,,83,104,408,469,87%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,6,9,10,11,14,18,20,29,7,19,30,PC,PA,PC,PA,PC,PA,PC,PA,%
Jeroen Zoet,1,"94'51""",,17,12,-,5,-,-,2,3,1,2,-,-,-,10,17,27,27,5,5,42,49,86%
Héctor Moreno,3,"94'51""",10,,20,4,1,5,2,6,12,3,12,-,3,2,10,12,64,68,6,7,80,87,92%
Jeffrey Bruma,5,"94'51""",1,20,,2,-,2,3,1,7,18,7,1,-,1,10,12,47,48,6,6,63,66,95%
Davy Pröpper,6,"94'51""",-,-,3,,4,3,4,-,5,4,6,-,1,-,5,8,17,18,8,10,30,36,83%
Luuk de Jong,9,"82'12""",-,1,-,5,,2,4,-,3,-,2,-,-,-,0,0,10,11,7,8,17,19,89%
Adam Maher,10,"94'51""",1,6,1,4,4,,1,3,5,5,3,-,2,2,4,7,25,26,8,10,37,43,86%
Luciano Narsingh,11,"94'51""",-,-,-,5,2,1,,-,1,4,2,-,-,-,0,1,11,13,4,6,15,20,75%
Simon Poulsen,14,"75'11""",3,9,3,-,2,2,1,,3,1,1,-,-,-,2,3,17,17,6,8,25,28,89%
Andrés Guardado,18,"94'51""",3,9,4,4,1,8,2,6,,5,3,-,3,5,5,6,35,39,13,14,53,59,90%
Joshua Brenet,20,"94'51""",7,3,6,6,1,6,5,2,4,,1,1,-,-,8,9,27,31,7,9,42,49,86%
Jorrit Hendrix,29,"74'21""",2,13,6,1,1,4,2,10,3,-,,-,-,-,3,4,32,34,7,9,42,47,89%
Gastón Pereiro,7,"12'40""",-,-,-,-,-,1,-,-,-,-,-,,-,-,0,0,0,1,1,1,1,2,50%
Jürgen Locadia 19,,"20'30""",-,-,1,3,-,1,-,-,3,1,-,-,,1,0,0,9,12,1,1,10,13,77%
Jordy De Wijs 30,,"19'40""",-,3,2,-,-,1,-,-,2,-,-,-,3,,0,0,8,10,3,4,11,14,79%
Total passes received:,,,27,81,58,34,21,36,24,30,51,42,39,2,12,11,57,79,329 355,,82,98,468,532,88%
,,,,,,,,,,,,,,,,,,,,,,,,01:38:02CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
