Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP A - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,1 - 0,,,,,,Paris Saint-Germain,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,7,8,12,14,19,20,22,23,6,16,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Keylor Navas,1,"97'07""",,1,13,1,-,2,-,-,1,-,-,2,-,-,3,8,16,16,1,1,20,25,80%
Raphaël Varane,2,"97'07""",1,,9,-,4,2,2,6,-,-,6,-,-,-,6,7,17,19,7,8,30,34,88%
Sergio Ramos,4,"97'07""",5,3,,5,11,4,5,4,3,1,2,7,1,1,7,11,39,44,6,7,52,62,84%
Cristiano Ronaldo,7,"97'07""",-,-,1,,3,6,6,1,5,2,1,2,-,2,1,2,16,18,12,13,29,33,88%
Toni Kroos,8,"97'07""",-,1,8,4,,2,10,10,2,4,5,2,-,3,4,6,27,28,20,22,51,56,91%
Marcelo,12,"32'13""",-,1,3,7,3,,5,-,1,1,-,-,-,-,1,2,12,13,8,8,21,23,91%
Casemiro,14,"97'07""",-,8,9,4,6,2,,9,3,1,2,4,-,2,5,6,34,34,11,12,50,52,96%
Luka Modrić,19,"97'07""",1,3,5,2,10,-,9,,2,10,12,1,-,3,2,2,34,36,22,24,58,62,94%
Jesé,20,"66'26""",-,-,-,3,5,2,1,1,,3,2,1,-,-,0,1,10,10,8,10,18,21,86%
Isco,22,"85'09""",-,-,-,3,5,2,4,5,2,,6,2,-,-,0,0,15,17,14,17,29,34,85%
Danilo,23,"97'07""",3,4,-,-,4,-,3,7,3,4,,-,1,5,2,5,22,23,10,14,34,42,81%
Nacho,6,"64'54""",1,1,2,4,4,-,1,-,1,4,-,,3,-,2,2,8,11,11,11,21,24,88%
Mateo Kovačić 16,,"11'58""",-,-,2,-,-,-,1,-,-,-,-,1,,-,0,0,2,3,2,3,4,6,67%
Lucas Vázquez 18,,"30'41""",-,-,-,1,2,-,-,4,-,-,2,-,-,,0,1,5,5,4,5,9,11,82%
Total passes received:,,,11,22,52,34,57,22,47,47,23,30,38,22,5,16,33,53,257 277 136 155,,,,426,485,88%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,16,2,6,8,9,10,11,14,17,19,32,7,25,PC,PA,PC,PA,PC,PA,PC,PA,%,
Kevin Trapp,16,"97'07""",,4,-,1,-,2,1,1,5,1,3,-,-,6,7,10,10,2,2,18,19,95%,
Thiago Silva,2,"97'07""",2,,1,15,1,-,12,3,3,7,10,-,6,9,10,38,38,13,13,60,61,98%,
Marco Verratti,6,"16'33""",-,-,,5,1,3,3,3,1,2,1,-,-,1,1,14,14,4,4,19,19,100%,
Thiago Motta,8,"97'07""",1,11,6,,7,3,17,7,11,7,10,4,18,9,10,71,72,22,24,102,106,96%,
Edinson Cavani,9,"97'07""",-,-,1,2,,2,5,10,12,-,2,-,4,1,2,19,19,18,22,38,43,88%,
Zlatan Ibrahimović,10,"97'07""",-,-,1,6,4,,2,6,9,-,-,1,3,1,1,19,22,12,17,32,40,80%,
Ángel Di María,11,"97'07""",-,2,2,9,5,6,,5,5,15,2,1,15,16,19,31,40,20,23,67,82,82%,
Blaise Matuidi,14,"78'18""",-,-,2,9,12,7,1,,16,-,6,-,1,1,2,31,32,22,24,54,58,93%,
Maxwell,17,"97'07""",-,1,2,21,7,13,6,14,,1,11,6,7,4,5,57,60,28,30,89,95,94%,
Serge Aurier,19,"97'07""",-,8,3,4,1,-,9,1,-,,-,2,5,1,1,13,17,19,20,33,38,87%,
David Luiz,32,"97'07""",5,20,-,12,1,2,6,2,12,-,,1,6,6,6,48,49,13,13,67,68,99%,
Lucas,7,"18'49""",-,-,-,2,1,2,3,-,1,-,2,,2,1,1,8,8,4,6,13,15,87%,
Adrien Rabiot 25,,"80'34""",1,4,-,15,4,1,12,3,11,8,7,3,,5,5,41,44,23,25,69,74,93%,
Total passes received:,,,9,50,18,101,44,41,77,55,86,41,54,18,67,61,70,400 425 200 223,,,,661,718,92%,
,,,,,,,,,,,,,,,,,,,,,,,,01:44:58CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,04 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
