Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP B - PSV Stadion - Eindhoven,,,,,,,,,,,,,,,,,,,,,,,,,
,PSV Eindhoven,,,,,,,,,2 - 0,,,,,,,VfL Wolfsburg,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,6,9,10,11,18,19,20,2,7,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Jeroen Zoet,1,"97'14""",,5,2,5,1,3,1,-,4,-,3,-,1,-,8,17,16,17,1,1,25,35,71%
Héctor Moreno,3,"97'14""",10,,-,7,3,5,6,1,9,3,5,1,-,-,10,13,37,39,3,3,50,55,91%
Santiago Arias,4,"97'14""",-,-,,7,2,2,3,10,4,-,-,-,-,-,6,8,17,19,5,7,28,34,82%
Jeffrey Bruma,5,"97'14""",2,14,9,,3,4,1,2,9,-,-,-,-,-,15,20,27,28,2,2,44,50,88%
Davy Pröpper,6,"97'14""",-,7,4,-,,3,2,1,7,2,1,-,-,-,2,6,20,25,5,6,27,37,73%
Luuk de Jong,9,"97'14""",-,1,2,-,6,,1,1,-,2,1,-,2,-,2,2,5,8,9,12,16,22,73%
Adam Maher,10,"77'11""",1,4,3,4,1,-,,1,2,4,1,-,-,-,6,8,12,18,3,3,21,29,72%
Luciano Narsingh,11,"86'05""",-,-,6,-,1,3,3,,1,1,-,-,-,-,1,2,9,10,5,6,15,18,83%
Andrés Guardado,18,"97'14""",4,12,3,9,4,5,3,1,,1,6,-,-,-,6,6,38,40,4,7,48,53,91%
Jürgen Locadia,19,"77'25""",2,1,1,-,5,2,2,1,1,,3,-,-,-,3,3,7,10,8,8,18,21,86%
Joshua Brenet,20,"97'14""",2,4,1,3,3,-,2,1,4,4,,-,-,-,3,3,16,18,5,7,24,28,86%
Nicolas Isimat-Mirin,2,"19'48""",1,-,-,-,-,-,-,-,-,-,-,,-,-,0,1,1,1,0,0,1,2,50%
Gastón Pereiro,7,"11'09""",-,-,-,-,1,1,-,-,-,-,-,-,,-,0,0,0,1,2,2,2,3,67%
Jorrit Hendrix 29,,"20'02""",-,-,-,-,-,-,-,-,1,-,-,-,-,,0,0,1,1,0,0,1,1,100%
Total passes received:,,,22,48,31,35,30,28,24,19,42,17,20,1,3,0,62,89,206 235,,52,64,320,388,82%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,7,12,17,22,23,24,25,27,34,3,8,10,PC,PA,PC,PA,PC,PA,PC,PA,%
Diego Benaglio,1,"97'14""",,3,7,4,-,2,-,6,7,-,-,-,-,-,14,19,12,12,3,3,29,34,85%
Timm Klose,5,"97'14""",7,,1,2,2,5,2,-,10,5,14,1,-,3,4,5,44,48,4,4,52,57,91%
Daniel Caligiuri,7,"97'14""",-,-,,2,3,4,-,9,-,5,1,-,-,3,1,4,14,17,12,17,27,38,71%
Bas Dost,12,"71'22""",-,-,3,,1,2,3,-,-,4,-,-,-,-,0,1,5,5,8,10,13,16,81%
André Schürrle,17,"67'34""",1,6,1,-,,2,2,1,-,1,-,-,-,-,2,4,6,10,6,10,14,24,58%
Luiz Gustavo,22,"97'14""",3,9,2,-,-,,4,9,8,4,9,-,1,4,6,8,40,46,7,8,53,62,85%
Josuha Guilavogui,23,"71'48""",-,2,4,1,3,1,,4,7,2,1,-,-,-,4,6,11,12,10,11,25,29,86%
Sebastian Jung,24,"97'14""",3,2,5,2,5,11,1,,9,-,2,1,2,2,6,6,30,33,9,10,45,49,92%
Naldo,25,"97'14""",2,11,2,4,1,9,5,10,,5,-,1,1,2,7,14,36,38,10,10,53,62,85%
Maximilian Arnold,27,"97'14""",-,3,5,1,3,2,1,1,1,,5,-,2,1,2,3,16,19,7,9,25,31,81%
Ricardo Rodriguez,34,"97'14""",2,4,6,2,4,9,4,-,3,4,,-,1,-,4,7,24,26,11,12,39,45,87%
Nicklas Bendtner,3,"25'52""",-,-,1,-,-,2,-,1,-,-,-,,-,1,0,0,2,2,3,3,5,5,100%
Vieirinha,8,"29'39""",-,1,-,1,-,2,-,3,3,-,-,1,,2,0,0,7,7,6,7,13,14,93%
Julian Draxler 10,,"25'26""",-,2,3,-,-,-,-,3,3,2,1,1,4,,3,4,14,15,2,3,19,22,86%
Total passes received:,,,18,43,40,19,22,51,22,47,51,32,33,5,11,18,53,81,261 290,,98,117,412,488,84%
,,,,,,,,,,,,,,,,,,,,,,,,01:38:46CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,04 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
