Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Estádio do SL Benfica - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
,SL Benfica,,,,,,,,,2 - 1,,,,,,,Galatasaray AŞ,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,4,9,10,17,19,20,28,30,33,34,21,24,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Júlio César,12,"94'38""",,4,1,-,-,1,-,1,1,5,1,-,-,-,2,8,12,12,0,0,14,20,70%
Luisão,4,"94'38""",2,,1,2,2,-,3,11,6,10,9,1,-,-,1,1,35,41,11,12,47,54,87%
Raúl Jiménez,9,"94'38""",-,1,,2,4,-,2,3,2,-,-,-,-,-,2,2,10,15,2,7,14,24,58%
Nicolás Gaitán,10,"84'38""",-,2,6,,5,5,2,1,3,-,-,-,-,-,5,7,14,16,5,13,24,36,67%
Jonas,17,"80'12""",-,1,3,3,,1,2,2,8,1,2,-,-,-,2,3,11,13,10,16,23,32,72%
Eliseu,19,"94'38""",-,3,5,11,5,,6,1,3,2,3,-,-,-,1,3,30,37,8,8,39,48,81%
Gonçalo Guedes,20,"72'45""",-,-,2,-,5,3,,2,2,1,3,-,-,-,0,0,11,13,7,13,18,26,69%
Sílvio,28,"94'38""",-,1,-,5,2,-,4,,1,1,3,-,-,2,1,4,9,10,9,12,19,26,73%
Talisca,30,"92'27""",-,4,4,5,4,13,3,5,,2,3,1,-,2,12,14,26,30,8,12,46,56,82%
Jardel,33,"94'38""",1,8,-,3,1,9,1,-,9,,7,1,-,-,1,1,33,34,6,6,40,41,98%
André Almeida,34,"94'38""",1,9,1,6,-,5,3,2,10,7,,-,-,1,2,2,30,33,13,17,45,52,87%
Pizzi 21,,"14'25""",1,-,-,-,-,1,-,-,-,-,-,,-,-,1,2,0,1,1,1,2,4,50%
Bryan Cristante 24,,"2'11""",-,-,1,-,-,-,-,-,-,-,-,-,,-,0,0,1,1,0,0,1,1,100%
Carcela-González 39,,"21'52""",-,-,-,-,2,-,-,-,-,-,1,-,-,,0,0,2,3,1,1,3,4,75%
Total passes received:,,,5,33,24,37,30,38,26,28,45,29,32,3,0,5,30,47,224 259,,81,118,335,424,79%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,8,10,11,17,21,22,29,55,64,7,9,52,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,"94'38""",,1,2,2,1,3,4,6,1,2,2,-,1,-,10,22,15,15,0,0,25,37,68%
Bilal Kisa,5,"68'24""",1,,5,7,2,-,1,1,3,5,1,-,-,-,3,4,11,12,12,14,26,30,87%
Selçuk İnan,8,"94'38""",-,4,,8,5,-,8,6,7,8,1,-,2,3,6,8,34,39,12,14,52,61,85%
Wesley Sneijder,10,"94'38""",-,5,4,,6,-,2,3,15,4,1,1,-,3,4,5,28,31,12,15,44,51,86%
Lukas Podolski,11,"94'38""",1,2,2,6,,1,-,4,4,2,1,-,-,-,3,5,10,11,10,14,23,30,77%
Burak Yılmaz,17,"73'42""",-,6,-,2,2,,-,-,1,1,-,-,-,-,1,1,3,4,8,9,12,14,86%
Aurélien Chedjou,21,"94'38""",7,2,4,3,1,1,,9,4,5,4,-,-,-,9,13,29,29,2,2,40,44,91%
Hakan Balta,22,"94'38""",4,2,9,5,3,-,12,,8,-,-,2,-,2,5,10,33,36,9,11,47,57,82%
Olcan Adın,29,"94'38""",1,1,5,11,5,3,-,11,,7,-,-,1,3,0,1,27,30,21,25,48,56,86%
Sabri Sarıoğlu,55,"94'38""",-,3,4,4,1,2,2,2,2,,2,-,-,3,1,2,13,19,11,14,25,35,71%
Jason Denayer,64,"73'27""",1,-,2,-,-,-,2,-,-,2,,-,-,-,0,0,6,10,1,1,7,11,64%
Yasin Öztekin,7,"26'14""",-,-,-,-,-,-,-,1,3,1,-,,-,1,1,1,4,4,1,2,6,7,86%
Umut Bulut,9,"20'56""",-,-,1,-,-,-,-,-,-,-,-,1,,1,1,1,2,3,0,0,3,4,75%
Emre Çolak 52,,"21'11""",-,-,7,5,-,-,-,-,-,1,-,2,-,,3,3,7,8,5,7,15,18,83%
Total passes received:,,,15,26,45,53,26,10,31,43,48,38,12,6,4,16,47,76,222 251 104 128,,,,373,455,82%
,,,,,,,,,,,,,,,,,,,,,,,,01:42:59CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,04 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
