Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP D - Estadio Ramón Sánchez-Pizjuán - Seville,,,,,,,,,,,,,,,,,,,,,,,,,
,Sevilla FC,,,,,,,,,1 - 3,,,,,,,Manchester City FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,5,8,19,20,22,23,24,7,11,25,PC,PA,PC,PA,PC,PA,PC,PA,%
Sergio Rico,1,"96'10""",,1,4,2,8,-,2,-,-,2,-,-,-,-,1,2,15,15,3,3,19,20,95%
Benoît Trémoulinas,2,"96'10""",-,,2,4,8,-,9,-,11,1,1,5,1,-,2,4,35,42,5,7,42,53,79%
Adil Rami,3,"96'10""",4,1,,10,11,1,5,1,-,4,1,2,-,-,9,11,27,27,4,5,40,43,93%
Grzegorz Krychowiak,4,"96'10""",1,10,6,,7,1,17,5,1,1,-,14,-,4,2,2,50,51,15,15,67,68,99%
Kolodziejczak,5,"96'10""",-,10,7,10,,1,14,-,1,-,-,5,-,-,3,5,33,33,12,12,48,50,96%
Vicente Iborra,8,"47'03""",-,-,-,1,-,,1,1,1,3,2,-,-,-,0,0,6,8,3,5,9,13,69%
Éver Banega,19,"96'10""",-,13,4,9,3,1,,14,9,9,1,13,-,1,6,12,61,69,10,14,77,95,81%
Vitolo,20,"96'10""",-,1,-,4,-,1,8,,2,4,1,2,-,3,3,3,15,17,8,10,26,30,87%
Yevhen Konoplyanka,22,"96'10""",-,12,-,-,-,2,7,2,,-,1,1,-,1,1,3,14,15,11,13,26,31,84%
Coke,23,"57'00""",-,1,5,2,-,3,6,3,-,,1,-,-,-,0,1,16,19,5,7,21,27,78%
Fernando Llorente,24,"66'04""",-,-,1,-,-,1,4,3,1,1,,-,-,-,0,0,1,3,10,12,11,15,73%
Michael Krohn-Dehli,7,"49'08""",-,6,3,6,3,-,14,2,3,1,1,,1,7,7,9,30,34,10,10,47,53,89%
Ciro Immobile 11,,"30'06""",-,-,-,-,-,-,-,-,1,-,-,-,,-,0,0,1,2,0,0,1,2,50%
Mariano Ferreira 25,,"39'10""",1,1,-,5,1,-,-,2,-,-,1,3,2,,1,2,13,15,2,3,16,20,80%
Total passes received:,,,6,56,32,53,41,11,87,33,30,26,10,45,4,16,35,54,317 350,,98,116,450,520,87%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,6,7,11,14,15,25,30,42,17,18,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,"96'10""",,1,-,-,-,-,5,2,-,1,-,1,-,-,9,21,1,1,0,0,10,22,45%
Bacary Sagna,3,"96'10""",3,,6,6,-,-,2,20,-,1,5,1,-,-,3,4,31,32,10,10,44,46,96%
Vincent Kompany,4,"96'10""",1,9,,1,1,4,1,4,1,3,1,1,-,-,8,11,16,19,3,3,27,33,82%
Fernando,6,"96'10""",1,3,4,,1,3,-,2,6,1,14,-,1,-,1,1,20,21,15,15,36,37,97%
Raheem Sterling,7,"74'42""",1,-,-,3,,7,4,1,6,1,4,-,-,-,2,2,20,20,5,6,27,28,96%
Aleksandar Kolarov,11,"96'10""",1,-,-,1,10,,3,-,7,5,1,2,-,-,2,3,18,20,10,13,30,36,83%
Wilfried Bony,14,"87'28""",-,1,1,1,2,-,,2,2,-,9,-,-,-,1,1,6,6,11,11,18,18,100%
Jesús Navas,15,"96'10""",1,15,1,2,-,1,3,,4,2,10,1,-,-,3,4,22,22,15,16,40,42,95%
Fernandinho,25,"91'45""",-,2,6,1,7,6,2,2,,5,3,4,-,-,3,5,27,29,8,9,38,43,88%
Nicolás Otamendi,30,"96'10""",-,2,4,4,3,5,2,-,5,,-,-,-,-,2,3,18,19,5,5,25,27,93%
Yaya Touré,42,"96'10""",-,7,4,7,2,3,5,5,12,3,,-,-,-,2,3,29,30,17,17,48,50,96%
Kevin De Bruyne 17,,"21'28""",1,1,1,-,-,1,-,3,1,-,2,,-,-,2,2,5,5,3,3,10,10,100%
Fabian Delph 18,,"8'42""",-,-,-,-,-,1,-,-,-,-,-,-,,-,0,0,1,1,0,0,1,1,100%
Martín Demichelis 26,,"4'26""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,9,41,27,26,26,31,27,41,44,22,49,10,1,0,38,60,214 225 102 108,,,,354,393,90%
,,,,,,,,,,,,,,,,,,,,,,,,00:57:01CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,04 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
