Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 4 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP E - Stadio Olimpico - Rome,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Roma,,,,,,,,,3 - 2,,,,,,Bayer 04 Leverkusen,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,2,3,4,9,11,15,16,24,27,44,7,13,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Wojciech Szczęsny,25,"96'05""",,5,-,-,7,4,1,3,2,-,1,-,-,1,11,19,10,10,3,3,24,32,75%
Antonio Rüdiger,2,"96'05""",9,,3,3,1,-,1,4,-,-,3,-,-,-,6,7,14,16,4,4,24,27,89%
Lucas Digne,3,"96'05""",-,1,,1,1,-,-,1,-,2,-,-,-,-,0,4,3,6,3,5,6,15,40%
Radja Nainggolan,4,"96'05""",-,1,4,,2,10,3,1,5,2,-,-,-,-,6,6,13,18,9,11,28,35,80%
Edin Džeko,9,"96'05""",1,-,-,2,,5,3,2,-,1,-,-,-,-,1,3,6,10,7,7,14,20,70%
Mohamed Salah,11,"96'05""",1,-,-,6,2,,5,3,2,-,1,1,1,-,0,0,11,16,11,15,22,31,71%
Miralem Pjanić,15,"96'05""",-,1,2,4,-,3,,7,2,1,2,2,2,2,3,3,12,16,13,13,28,32,88%
Daniele De Rossi,16,"96'05""",1,4,4,6,3,-,4,,3,-,1,-,-,-,2,6,23,25,1,1,26,32,81%
Alessandro Florenzi,24,"57'56""",-,1,-,4,1,5,1,1,,-,1,-,-,-,1,3,10,14,3,4,14,21,67%
Gervinho,27,"69'21""",-,-,1,-,1,1,-,-,-,,1,-,-,-,0,0,3,4,1,1,4,5,80%
Kostas Manolas,44,"96'05""",3,3,2,-,4,-,1,1,1,-,,-,4,1,5,8,14,16,1,1,20,25,80%
Juan Manuel Iturbe,7,"26'44""",-,-,-,1,-,-,-,-,-,-,-,,-,1,0,0,0,0,2,3,2,3,67%
Maicon 13,,"19'46""",1,-,-,-,-,-,1,-,-,-,3,-,,-,1,1,4,7,0,1,5,9,56%
Vasilis Torosidis 35,,"18'23""",-,-,-,1,1,-,-,-,-,-,1,-,-,,1,3,1,1,1,1,3,5,60%
Total passes received:,,,16,16,16,28,23,28,20,23,15,6,14,3,7,5,37,63,124 159,,59,70,220,292,75%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,7,10,11,14,18,21,26,44,19,23,38,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,"96'05""",,3,2,1,-,1,-,1,1,-,-,-,-,-,2,7,6,6,1,1,9,14,64%
Jonathan Tah,4,"96'05""",3,,4,1,4,4,2,1,2,8,5,-,1,-,1,5,27,29,7,7,35,41,85%
Papadopoulos,5,"96'05""",2,5,,-,2,-,1,5,2,-,8,1,1,-,0,2,21,22,6,7,27,31,87%
Javier Hernández,7,"96'05""",-,-,1,,4,1,3,2,1,3,-,-,-,2,0,0,12,18,5,5,17,23,74%
Hakan Çalhanoğlu,10,"96'05""",-,1,3,5,,1,5,4,2,5,8,1,-,1,4,6,18,22,14,15,36,43,84%
Stefan Kiessling,11,"47'00""",-,-,-,3,4,,-,1,4,1,-,-,-,-,1,2,2,5,10,16,13,23,57%
Admir Mehmedi,14,"89'58""",-,-,2,1,3,2,,3,-,3,5,-,1,1,0,1,4,6,17,19,21,26,81%
Wendell,18,"96'05""",3,1,3,3,4,1,1,,2,1,3,-,1,-,2,4,14,18,7,7,23,29,79%
Ömer Toprak,21,"80'16""",-,2,1,2,2,2,1,1,,3,2,-,-,-,1,2,7,11,8,9,16,22,73%
Giulio Donati,26,"96'05""",4,3,1,1,3,1,1,1,2,,4,-,-,3,4,5,11,15,9,12,24,32,75%
Kevin Kampl,44,"96'05""",-,5,3,4,7,1,8,1,2,2,,2,2,2,2,4,27,31,10,16,39,51,76%
Julian Brandt 19,,"6'06""",-,1,-,-,1,-,-,-,-,1,-,,1,-,0,0,2,2,2,2,4,4,100%
Christoph Kramer 23,,"21'27""",-,2,-,-,1,-,1,1,-,2,2,-,,-,0,0,6,8,3,3,9,11,82%
Karim Bellarabi 38,,"27'38""",-,-,-,1,-,-,1,-,-,2,2,-,-,,0,0,6,7,0,0,6,7,86%
Total passes received:,,,12,23,20,22,35,14,24,21,18,31,39,4,7,9,17,38,163 200,,99,119,279,357,78%
,,,,,,,,,,,,,,,,,,,,,,,,00:12:10CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,05 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
