Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 4 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP F - Stadio Georgios Karaiskakis - Piraeus,,,,,,,,,,,,,,,,,,,,,,,,,
,Olympiacos FC,,,,,,,,,2 - 1,,,,,,,GNK Dinamo Zagreb,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,3,5,7,11,14,23,26,77,92,99,6,9,90,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,"94'00""",,-,4,1,1,3,6,2,1,1,1,3,-,1,8,12,16,16,0,0,24,28,86%
Alberto Botía,3,"51'57""",1,,4,1,-,6,3,1,1,1,2,-,-,-,5,7,11,13,4,4,20,24,83%
Luka Milivojević,5,"94'00""",-,5,,7,3,9,6,-,-,2,2,3,2,2,7,8,25,25,9,12,41,45,91%
Kostas Fortounis,7,"94'00""",-,2,3,,4,4,5,3,4,3,3,2,1,6,9,11,25,30,6,7,40,48,83%
Pajtim Kasami,11,"80'58""",-,-,2,4,,2,5,12,-,4,5,1,-,1,5,7,18,18,13,15,36,40,90%
Omar Elabdellaoui,14,"94'00""",2,2,6,6,1,,1,-,8,3,-,1,1,1,3,6,20,24,9,14,32,44,73%
Dimitris Siovas,23,"94'00""",4,6,5,4,7,-,,10,1,3,6,2,-,1,7,9,37,40,5,6,49,55,89%
Arthur Masuaku,26,"94'00""",1,-,2,5,3,2,8,,1,6,5,2,-,-,2,4,28,32,5,11,35,47,74%
Hernâni,77,"64'19""",1,1,-,4,-,3,-,-,,1,1,-,-,-,2,2,4,7,5,9,11,18,61%
Sebá,92,"94'00""",-,-,-,1,2,-,-,8,1,,5,-,-,-,1,1,13,15,3,6,17,22,77%
Ideye Brown,99,"94'00""",-,-,3,6,5,-,1,4,-,2,,-,1,1,2,2,9,13,12,14,23,29,79%
Manuel da Costa,6,"42'02""",2,-,4,4,-,3,4,1,-,1,-,,-,-,5,7,12,13,2,3,19,23,83%
Alfred Finnbogason,9,"13'02""",-,-,-,1,-,2,-,-,-,1,-,-,,1,0,0,4,4,1,1,5,5,100%
Felipe Pardo 90,,"29'41""",-,-,1,2,-,-,-,-,-,-,1,-,-,,0,1,4,4,0,1,4,6,67%
Total passes received:,,,11,16,34,46,26,34,39,41,17,28,31,14,5,14,56,77,226 254,,74,103,356,434,82%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,34,8,10,11,13,15,19,20,30,77,87,3,9,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Eduardo,34,"94'00""",,1,-,6,2,-,1,2,1,-,2,-,-,-,11,26,4,4,0,0,15,30,50%
Domagoj Antolić,8,"94'00""",-,,5,3,3,1,5,2,4,5,3,-,-,-,2,2,24,25,5,5,31,32,97%
Paulo Machado,10,"94'00""",-,3,,5,5,-,6,4,5,4,4,-,2,-,7,13,20,26,11,11,38,50,76%
Junior Fernandes,11,"88'23""",-,1,3,,1,2,1,-,3,7,1,-,-,-,1,1,11,13,7,7,19,21,90%
Gonçalo Santos,13,"94'00""",5,1,5,-,,-,-,-,2,1,8,-,2,-,3,7,16,21,5,5,24,33,73%
Armin Hodžić,15,"57'44""",-,-,-,-,-,,1,1,2,-,1,-,-,-,0,1,2,3,3,3,5,7,71%
Josip Pivarić,19,"79'04""",1,3,2,-,-,1,,8,2,-,1,-,1,-,1,3,13,16,5,5,19,24,79%
Marko Pjaca,20,"80'45""",-,-,-,-,-,2,2,,1,-,-,-,1,-,0,0,1,8,5,10,6,18,33%
Marko Rog,30,"94'00""",-,4,6,3,1,2,2,4,,3,1,-,-,-,1,1,12,16,13,15,26,32,81%
Alexandru Măţel,77,"94'00""",-,2,4,4,3,2,-,2,3,,-,-,-,1,2,2,9,12,10,11,21,25,84%
Jérémy Taravel,87,"94'00""",3,4,5,1,8,1,1,-,4,-,,-,-,-,2,6,18,21,7,7,27,34,79%
Mario Musa,3,"5'37""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Ángelo Henríquez,9,"36'16""",-,3,1,1,-,-,-,1,1,-,1,-,,-,1,2,0,0,7,7,8,9,89%
Leonardo Sigali 22,,"13'15""",-,-,1,1,-,-,-,-,-,-,-,-,-,,0,0,2,2,0,0,2,2,100%
Total passes received:,,,9,22,32,24,23,11,19,24,28,20,22,0,6,1,31,64,132 167,,78,86,241,317,76%
,,,,,,,,,,,,,,,,,,,,,,,,02:52:08CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,05 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
