Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 4 November 2015,,,,,,,,,,,,,,,,,,,,,,,,
GROUP G - Stamford Bridge - London,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea FC,,,,,,,,,2 - 1,,,,,,,FC Dynamo Kyiv,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,7,8,19,21,22,26,28,10,17,PC,PA,PC,PA,PC,PA,PC,PA,%
Asmir Begović,1,"94'41""",,-,3,2,-,1,1,-,1,1,5,-,-,8,11,5,5,1,1,14,17,82%
Cesc Fàbregas,4,"80'28""",-,,1,3,10,8,11,4,5,-,3,-,-,3,3,19,20,23,27,45,50,90%
Kurt Zouma,5,"94'41""",1,-,,1,3,-,-,5,2,7,7,-,-,1,3,19,22,6,6,26,31,84%
Abdul Baba Rahman,6,"94'41""",3,2,1,,-,13,2,13,5,5,1,1,-,4,4,27,31,15,16,46,51,90%
Ramires,7,"94'41""",-,6,5,2,,-,3,7,4,3,5,-,-,0,0,27,33,8,11,35,44,80%
Oscar,8,"80'29""",-,11,1,3,3,,3,2,2,2,-,-,-,0,1,19,25,8,9,27,35,77%
Diego Costa,19,"94'41""",-,3,1,1,3,5,,3,5,-,1,-,-,0,0,11,13,11,14,22,27,81%
Nemanja Matić,21,"94'41""",1,9,7,13,7,2,2,,-,7,2,1,-,6,7,32,37,13,13,51,57,89%
Willian,22,"94'41""",-,3,-,1,4,3,2,-,,1,4,4,-,6,6,8,13,8,14,22,33,67%
John Terry,26,"94'41""",5,2,3,14,1,4,-,8,1,,-,2,-,3,3,27,28,10,11,40,42,95%
César Azpilicueta,28,"94'41""",2,9,1,-,4,-,6,1,6,2,,-,-,5,8,18,20,8,12,31,40,78%
Eden Hazard 10,,"14'12""",-,-,-,2,-,-,-,-,1,-,-,,1,0,0,3,3,1,2,4,5,80%
Pedro Rodríguez 17,,"14'13""",-,-,-,1,1,-,1,-,-,-,-,-,,0,0,2,2,1,1,3,3,100%
Total passes received:,,,12,45,23,43,36,36,31,43,32,28,28,8,1,36,46,217 252 113 137,,,,366,435,84%
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,6,10,16,17,22,24,25,29,34,11,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Olexandr Shovkovskiy,1,"94'41""",,2,6,2,2,6,-,3,-,1,9,-,-,8,12,23,23,0,0,31,35,89%
Antunes,5,"94'41""",1,,3,1,-,2,2,-,3,1,-,-,2,1,5,10,12,4,5,15,22,68%
Aleksandar Dragovic,6,"94'41""",13,5,,2,-,7,1,1,2,3,7,1,1,9,12,31,32,3,5,43,49,88%
Andriy Yarmolenko,10,"94'41""",-,-,3,,3,3,-,13,1,2,2,-,2,2,3,13,16,14,19,29,38,76%
Serhiy Sydorchuk,16,"47'06""",-,-,-,2,,4,4,3,2,-,1,-,-,2,3,8,9,6,7,16,19,84%
Serhiy Rybalka,17,"94'41""",2,3,8,5,4,,1,4,2,4,2,-,7,2,5,34,39,6,9,42,53,79%
Artem Kravets,22,"57'34""",-,1,1,1,1,-,,-,1,-,-,-,-,0,1,4,5,1,2,5,8,62%
Domagoj Vida,24,"94'41""",1,-,1,17,5,-,2,,1,2,3,-,-,0,1,22,24,10,11,32,36,89%
Derlis González,25,"94'41""",-,3,2,-,-,2,2,-,,1,-,-,-,2,4,8,9,0,0,10,13,77%
Vitaliy Buyalskiy,29,"94'41""",-,-,3,5,1,2,-,5,1,,-,-,1,2,3,11,14,5,6,18,23,78%
Yevhen Khacheridi,34,"94'41""",3,3,9,7,2,9,-,3,1,3,,1,1,4,4,31,34,7,8,42,46,91%
Júnior Moraes 11,,"37'07""",-,-,-,1,-,-,-,1,1,-,-,,3,1,1,3,4,2,2,6,7,86%
Denys Garmash 19,,"47'35""",-,2,1,2,-,2,-,2,-,2,2,2,,2,2,9,14,4,4,15,20,75%
Total passes received:,,,20,19,37,45,18,37,12,35,15,19,26,4,17,35,56,207 235,,62,78,304,369,82%
,,,,,,,,,,,,,,,,,,,,,,,,01:40:54CET
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,05 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
