Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 4 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP H - KAA Gent Stadium - Gent,,,,,,,,,,,,,,,,,,,,,,,,,
,KAA Gent,,,,,,,,,1 - 0,,,,,,,,Valencia CF,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,9,10,13,14,15,19,21,23,32,77,4,7,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Matz Sels,1,"94'49""",,8,-,6,-,-,-,1,4,1,1,-,1,-,10,15,10,10,2,2,22,27,81%
Laurent Depoitre,9,"94'49""",-,,2,-,3,2,1,-,1,10,2,-,-,-,2,2,9,10,10,10,21,22,95%
Renato Neto,10,"94'49""",-,2,,8,4,2,2,2,8,6,3,-,-,-,1,3,32,35,4,5,37,43,86%
Stefan Mitrović,13,"94'49""",7,1,2,,4,2,1,13,13,3,2,-,-,-,7,7,38,41,3,3,48,51,94%
Sven Kums,14,"94'49""",1,2,6,6,,3,6,11,7,9,6,-,-,-,6,10,37,38,14,16,57,64,89%
Kenneth Saief,15,"54'16""",-,-,5,-,2,,4,3,-,1,1,-,-,-,2,2,9,10,5,7,16,19,84%
Brecht Dejaegere,19,"92'50""",-,-,4,-,3,1,,2,1,-,4,-,-,-,2,3,9,11,4,7,15,21,71%
Nana Asare,21,"94'49""",3,1,4,6,12,4,4,,1,-,1,-,1,1,7,8,21,23,10,11,38,42,90%
Lasse Nielsen,23,"94'49""",6,7,7,12,4,-,-,-,,6,4,-,-,1,8,13,32,34,7,8,47,55,85%
Thomas Foket,32,"94'49""",1,2,5,-,4,2,2,-,8,,5,-,-,4,2,3,21,30,10,11,33,44,75%
Danijel Milicevic,77,"94'49""",-,3,1,1,6,2,6,1,-,5,,-,1,1,1,1,18,20,8,9,27,30,90%
Rafinha,4,"10'46""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,1,0,1,0%
Kalifa Coulibaly,7,"1'59""",-,-,-,-,-,-,-,-,-,-,1,-,,-,0,0,1,1,0,0,1,1,100%
Benito Raman 26,,"29'47""",-,2,-,-,1,-,-,-,-,-,1,-,-,,0,0,2,4,2,3,4,7,57%
Total passes received:,,,18,28,36,39,43,18,26,33,43,41,31,0,3,7,48,67,239 267,,79,93,366,427,86%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,24,4,5,8,9,10,14,15,18,19,22,2,11,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Jaume Doménech,24,"94'49""",,-,6,-,1,-,1,2,2,3,1,1,-,1,8,20,9,9,1,1,18,30,60%
Santos,4,"94'49""",5,,2,-,1,-,5,2,2,1,1,-,-,1,2,2,16,16,2,2,20,20,100%
Shkodran Mustafi,5,"94'49""",3,1,,3,1,7,3,3,3,8,1,3,1,3,9,11,29,33,2,2,40,46,87%
Sofiane Feghouli,8,"69'03""",-,-,2,,1,2,-,4,1,8,-,-,-,-,0,0,12,19,6,6,18,25,72%
Paco Alcácer,9,"94'49""",-,1,-,-,,2,-,3,-,1,1,-,-,1,0,0,6,9,3,6,9,15,60%
Daniel Parejo,10,"94'49""",-,1,7,4,3,,6,4,3,7,1,1,4,2,2,3,29,34,12,15,43,52,83%
José Gayà,14,"94'49""",-,3,-,-,2,1,,6,4,-,5,-,10,4,1,3,20,27,14,15,35,45,78%
Enzo Pérez,15,"94'49""",1,2,6,2,2,8,5,,4,5,2,-,3,1,5,6,23,25,13,13,41,44,93%
Javi Fuego,18,"62'45""",2,4,4,-,1,7,9,3,,1,2,-,1,-,3,8,23,26,8,8,34,42,81%
Antonio Barragán,19,"94'49""",1,1,3,12,-,5,-,4,2,,-,4,2,1,1,2,22,27,12,14,35,43,81%
Santi Mina,22,"45'01""",-,-,-,-,-,2,3,1,3,-,,-,-,-,1,1,5,6,3,3,9,10,90%
João Cancelo,2,"25'46""",-,-,1,-,-,-,-,-,-,3,-,,-,-,0,1,1,4,3,3,4,8,50%
Pablo Piatti 11,,"49'48""",-,1,1,-,1,4,6,2,-,-,-,-,,3,0,0,11,12,7,9,18,21,86%
André Gomes 21,,"32'04""",2,1,2,1,-,2,3,3,-,1,-,1,-,,2,2,10,10,4,5,16,17,94%
Total passes received:,,,14,15,34,22,13,40,41,37,24,38,14,10,21,17,34,59,216 257,,90,102,340,418,81%
,,,,,,,,,,,,,,,,,,,,,,,,01:16:03CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,05 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
