Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,
GROUP A - Arena Lviv - Lviv,,,,,,,,,,,,,,,
,FC Shakhtar Donetsk,,,,,,4 - 0,,,,,,Malmö FF,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Anton Kanibolotskiy,32,"97'10""",,,,,,,,,,,,
,Olexandr Kucher,5,"97'10""",,,,,,,2,2,,1,,
,Taras Stepanenko,6,"97'10""",,1,,,,,1,1,,1,,
,Fred,8,"71'59""",,,,,,,,,,,,
,Bernard,10,"78'35""",,2,,,,,,2,1,,,
,Marlos,11,"97'10""",,,,,1,1,1,2,,,,
,Olexandr Gladkiy,21,"49'07""",1,3,,,1,1,2,,,,,
,Alex Teixeira,29,"97'10""",1,3,,,3,,2,3,3,1,,
,Darijo Srna,33,"97'10""",1,2,,,,,3,3,,1,,
,Yaroslav Rakitskiy,44,"97'10""",,,,,1,,1,,,,,
,Márcio Azevedo,66,"97'10""",,,,,,,2,,,,,
,Andriy Pyatov,30,,,,,,,,,,,,,
,Dentinho,9,,,,,,,,,,,,,
,Ivan Ordets,18,,,,,,,,,,,,,
,Facundo Ferreyra,19,,,,,,,,,,,,,
,Eduardo,22,"48'03""",1,2,,,,,1,,2,,,
,Taison,28,"25'11""",,1,,,,,,,,,,
,Viktor Kovalenko,74,"18'35""",,,,,,,,,1,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"97'10""",,,,,,,,,,,,1,Johan Wiland
,,"97'10""",,,,,,,,1,,,,2,Pa Konate
,,"97'10""",,,,,,,1,1,,,,3,Anton Tinnerholm
,,"10'39""",,,,,,,,,,,,6,Oscar Lewicki
,,"97'10""",,,,,,,1,,,,,8,Enoch Kofi Adu
,,"97'10""",,1,,,2,,3,2,,,,9,Markus Rosenberg
,,"97'10""",,,,,,,,1,,,,17,Rasmus Bengtsson
,,"97'10""",,,,,,,1,2,,,,20,Vladimir Rodić
,,"93'04""",,,,,1,,3,1,,2,1,21,Kári Árnason
,,"49'07""",,,,,,,2,2,,,,23,Jo Inge Berget
,,"77'11""",,1,,,,,,1,,,,28,Nikola Djurdjić
,,,,,,,,,,,,,,29,Fredrik Andersson
,,"86'31""",,,,,,,2,,,,,5,Erdal Rakip
,,,,,,,,,,,,,,11,Agon Mehmeti
,,"48'03""",,,,,1,,2,1,,1,,13,Yoshimar Yotún
,,"19'59""",,,,,,,,,,,,19,Magnus Wolff Eikrem
,,,,,,,,,,,,,,25,Felipe Carvalho
,,,,,,,,,,,,,,26,Andreas Vindheim
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,11:59:38CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,07 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,
