Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,
GROUP D - Borussia-Park - Monchengladbach,,,,,,,,,,,,,,,
VfL Borussia Mönchengladbach,,,,,,,1 - 1,,,,,,Juventus,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Yann Sommer,1,"94'20""",,,,,,,,,,,,
,Andreas Christensen,3,"94'20""",,,,,,,,,,,,
,Håvard Nordtveit,6,"94'20""",,1,,,1,1,2,,,,,
,Mahmoud Dahoud,8,"94'20""",,1,,1,2,1,1,,,,,
,Raffael,11,"94'20""",,,,,,,1,,,,,
,Lars Stindl,13,"94'20""",,1,,,1,,1,4,,,,
,Álvaro Domínguez,15,"94'20""",,,,,,,,1,,,,
,Ibrahima Traoré,16,"94'20""",,1,,,,2,,2,,,,
,Oscar Wendt,17,"94'20""",,,,,,,3,,,,,
,Fabian Johnson,19,"85'35""",1,1,,,1,1,,1,,,,
,Granit Xhaka,34,"94'20""",,1,,,2,1,1,1,,,,
,Christofer Heimeroth,33,,,,,,,,,,,,,
,Roel Brouwers,4,,,,,,,,,,,,,
,Josip Drmic,9,,,,,,,,,,,,,
,Thorgan Hazard,10,"8'44""",,1,,,,,,,1,,,
,Marvin Schulz,18,,,,,,,,,,,,,
,Branimir Hrgota,31,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'20""",,,,,,,,,,,,1,Gianluigi Buffon
,,"94'20""",,,,,1,,,,,,,3,Giorgio Chiellini
,,"94'20""",,,,,,,2,,,1,,8,Claudio Marchisio
,,"75'21""",,,,,2,1,,2,,,,9,Álvaro Morata
,,"94'20""",,,,,1,2,2,1,,,,10,Paul Pogba
,,"53'22""",,,,,1,2,2,,,,1,11,Hernanes
,,"94'20""",,,,,,,1,1,,,,19,Leonardo Bonucci
,,"63'56""",,1,,,2,1,,1,,1,,21,Paulo Dybala
,,"94'20""",1,1,,,,,2,,,,,26,Stephan Lichtsteiner
,,"87'59""",,,,,,,1,4,1,1,,27,Stefano Sturaro
,,"94'20""",,1,,,1,,,,,,,33,Patrice Evra
,,,,,,,,,,,,,,25,Neto
,,,,,,,,,,,,,,7,Simone Zaza
,,,,,,,,,,,,,,12,Alex Sandro
,,"18'59""",,,,,,,,,,,,15,Andrea Barzagli
,,"30'24""",,,,,,,,,,,,16,Juan Cuadrado
,,,,,,,,,,,,,,17,Mario Mandžukić
,,"6'21""",,,,,,,,,,,,18,Mario Lemina
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,00:57:18CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,04 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,
